Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Phosphatidic Acid Transfer Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Activation Of Protein Kinase C Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Rpap3/R2Tp/Prefoldin-Like Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Trappi Protein Complex -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Trappii Protein Complex -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Trappiii Protein Complex -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Polyuridylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Periciliary Membrane Compartment -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cartilage Homeostasis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Trimethylamine Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Lens Fiber Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To Nerve Growth Factor -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cellular Response To Nerve Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Calcium-Dependent Self Proteolysis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Calcium Homeostasis
GO Term: Protein Linear Deubiquitination -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Spermatoproteasome Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Rqc Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Rna Polymerase I Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic
GO Term: Rna Polymerase Ii Core Complex Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Iii Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic
GO Term: Ribosome-Associated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: B Cell Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Synapse, Proteostasis, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, RNA Spliceosome
GO Term: Gator1 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Gtr1-Gtr2 Gtpase Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Epithelial Cell Apoptotic Process Involved In Palatal Shelf Morphogenesis -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Linoleate 9S-Lipoxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuron Projection Extension -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Molybdopterin Synthase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Maintenance Of Translational Fidelity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Talin Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Vegf-A Complex -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Single-Strand Break-Containing Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Site Of Double-Strand Break -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein K27-Linked Deubiquitination -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Protein K33-Linked Deubiquitination -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: G Protein-Coupled Receptor Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Localization To Nucleoplasm -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Phosphodiesterase Decapping Endonuclease Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Eh Domain Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Trna 3'-End Processing -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Exosomal Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Amino Acid Transport Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Euchromatin Binding -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Protein N-Terminal-Serine Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Protein-N-Terminal-Glutamate Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Oxidoreductase Complex -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, RNA Spliceosome
GO Term: L-Cysteine Desulfurase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Histone Methyltransferase Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Apoptosis
GO Term: Paranodal Junction Maintenance -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Iron-Sulfur Cluster Assembly Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Sting Complex -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Transferase Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Double-Stranded Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Steroid Hormone Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Histone H2At120 Kinase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Apoptosis
GO Term: Uniplex Complex -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: N6-Methyladenosine-Containing Rna Reader Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Cellular Response To Leucine Starvation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Keratin Filament Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Signal Clustering -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Histone H2Aq104 Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Apoptosis
GO Term: Pre-Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Anti-Mullerian Hormone Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Platelet-Derived Growth Factor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Response To Gold Nanoparticle -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Preribosome Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Epigenetic
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Localization To Chromatin -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Renal Amino Acid Absorption -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Bub1-Bub3 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Ire1 Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Glucose Transporter Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Transporter Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Terminal Web -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Apoptosis, Immune Response, Synapse, Proteostasis
GO Term: Meiotic Spindle Midzone -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3M Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Embryonic Lung Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Embryonic Liver Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Embryonic Brain Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Antigen Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Cgrp Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Adrenomedullin Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Rzz Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Ryanodine Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Stereocilia Tip-Link Density -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mirna Transport -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Peroxisomal Importomer Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Upper Tip-Link Density -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, RNA Spliceosome
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: F-Box Domain Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Linear Polyubiquitin Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Leptin Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Omegasome -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Autosumoylation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mtrec Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To Ultrasound -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Dense Core Granule Maturation -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Synapse
GO Term: Ckm Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Cry-Per Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Bone Regeneration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Dom34-Hbs1 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Neuron Projection Maintenance -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Tert-Rmrp Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Phospholipase D Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Cardiac Troponin Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Aip1-Ire1 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Dark Adaptation -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Chop-Atf4 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Anpr-A Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Chop-Atf3 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Phospholamban Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Proximal Dendrite -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Response To Prolactin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Response To Iron Ion Starvation -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Prolactin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Calprotectin Complex -> Biodomain: Synapse, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: S100A8 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: S100A9 Complex -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Nkx-2.5 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Anxa2-P11 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
