Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Autophagy, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction, Unknown
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Apoptosis, RNA Metabolism
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Autophagy, Epigenetic Regulation, Unknown
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Unknown
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Unknown
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, RNA Metabolism, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Autophagy, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Signal Transduction
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 140641 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Unknown
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Protein Polyufmylation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, DNA Repair, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, DNA Repair, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: Neurodevelopment and Neuronal Differentiation, DNA Repair, Epigenetic Regulation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, RNA Metabolism
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Unknown
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Epigenetic Regulation, Unknown
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Unknown
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, DNA Repair, Unknown
GO Term: Gocc Post Mrna Release Spliceosomal Complex -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gocc Synaptonemal Structure -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Adhesion and Interaction, Unknown
GO Term: Gocc Postsynaptic Cytosol -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gocc Mitotic Spindle Midzone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Unknown
GO Term: Gomf Dna Secondary Structure Binding -> Biodomain: Epigenetic Regulation, DNA Repair, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Unknown
GO Term: Gomf Four Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Unknown
GO Term: Gomf Rna Directed Dna Polymerase Activity -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gomf Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Unknown
GO Term: Gomf Metallochaperone Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gomf Copper Chaperone Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gomf Single Stranded Dna Helicase Activity -> Biodomain: DNA Repair, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gomf Potassium Channel Inhibitor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Unknown
GO Term: Gomf Manganese Ion Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Unknown
GO Term: Gomf Mismatched Dna Binding -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Unknown
GO Term: Gomf Structural Constituent Of Presynaptic Active Zone -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Splicing Factor Binding -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Protein Metabolism and Trafficking
Saving results to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Unknown_0.0/go_biodomain_results_0.0.csv
Saved results to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Unknown_0.0/go_biodomain_results_0.0.csv
Logged runtime to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Unknown_0.0/runtime_log.csv
