Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Lncrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Immune Response, Apoptosis
GO Term: Cellularization Cleavage Furrow -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Endolysosome, APP Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Synapse, Tau Homeostasis
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Calcium Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mrna Alternative Polyadenylation -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Norrin Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Synapse, Apoptosis
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Reelin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Membrane Transport, Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Cholesterol Transfer Activity, Proteostasis, Apoptosis, Synapse
GO Term: Glucagon Family Peptide Binding -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Regulation Of Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Tau Homeostasis, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Stereocilium Shaft -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Stereocilium Base -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Stereocilium Maintenance -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: U6 Snrna (Adenine-(43)-N(6))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Snrna (Adenine-N6)-Methylation -> Biodomain: RNA Spliceosome, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Ribitol Beta-1,4-Xylosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Large Intestinal Transit -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Small Intestinal Transit -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Gastric Emptying -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Stomach Fundus Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pyloric Antrum Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Endocardial Cushion Cell Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Crotonyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Vacuole-Isolation Membrane Contact Site -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Procentriole -> Biodomain: Cell Cycle, Proteostasis, Synapse, Tau Homeostasis, Immune Response
GO Term: Procentriole Replication Complex -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Centriolar Subdistal Appendage -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Dna-3'-Diphospho-5'-Guanosine Diphosphatase -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Neuron Projection Cytoplasm -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Sm-Like Protein Family Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Lsm2-8 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Glucagon Processing -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: T Cell Meandering Migration -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Proximal Portion Of Axoneme -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Distal Portion Of Axoneme -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Sulfatide Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Formylglycine-Generating Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Calcium-Dependent Carbohydrate Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Erbb4 Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Par Polarity Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Intraciliary Transport Particle A Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Regulation Of Cold-Induced Thermogenesis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cold-Induced Thermogenesis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Cold-Induced Thermogenesis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Detection Of Hot Stimulus Involved In Thermoception -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Detection Of Cold Stimulus Involved In Thermoception -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Intraciliary Transport Particle B Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Steroid Hormone Biosynthetic Process -> Biodomain: Lipids Metabolism, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Adherens Junction Disassembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Focal Adhesion Disassembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Focal Adhesion Disassembly -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Focal Adhesion Disassembly -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Protein Localization To Chromatin -> Biodomain: Proteostasis, Tau Homeostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Chromatin -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Positive Regulation Of Bile Acid Secretion -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Tight Junction Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Tight Junction Organization -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Mucociliary Clearance -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Cone Photoreceptor Outer Segment -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Rod Photoreceptor Outer Segment -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Rod Photoreceptor Disc Membrane -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Photoreceptor Distal Connecting Cilium -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Proacrosomal Vesicle Fusion -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Sperm Head-Tail Coupling Apparatus -> Biodomain: Immune Response, Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Matrilin Complex -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, APP Metabolism
GO Term: Subapical Part Of Cell -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Basal Body Patch -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Maintenance Of Ciliary Planar Beating Movement Pattern -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Regulation Of Blastocyst Development -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Larynx Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Coenzyme A Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Succinyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Outer Dynein Arm Docking Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Protein Localization To Motile Cilium -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Recombinase Activator Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Dna Recombinase Auxiliary Factor Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Stereocilium Coat -> Biodomain: Endolysosome, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: 2-Iminobutanoate/2-Iminopropanoate Deaminase -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: 2-Iminobutanoate Deaminase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: 2-Iminopropanoate Deaminase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Lateral Wall Of Outer Hair Cell -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, App Metabolism
GO Term: Hydrocarbon Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Olefinic Compound Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 7Sk Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Virus Coreceptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Autolysosome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Autolysosome Lumen -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Protein Serine/Threonine Kinase Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Dynein Axonemal Particle -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Peptide Serotonyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Histone Serotonyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Peptide Dopaminyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Histone Dopaminyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Tau Homeostasis, Autophagy
GO Term: Peptide Noradrenalinyltransferase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Peptide Histaminyltransferase Activity -> Biodomain: Proteostasis, App Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Peptide Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Histone Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Histone Lactyltransferase, Epigenetic, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Background Adaptation -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Sperm Flagellum Assembly -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Sperm Mitochondrial Sheath Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Long-Chain Fatty Acid Omega-1 Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Lipid Ubiquitination -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nurd Complex Binding -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Synapse, Tau Homeostasis
GO Term: Rixosome Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Radial Spoke Head 1 -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Radial Spoke Head 2 -> Biodomain: Synapse, Proteostasis, Axonal Transport, Oxidative Stress, APP Metabolism
GO Term: Radial Spoke Head 3 -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: F-Actin Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, F-Actin Homeostasis, APP Metabolism
GO Term: Trna-Guanine Transglycosylase Complex -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Immune Response, Endolysosome
GO Term: Gdp-Mannose Pyrophosphorylase Complex -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Hydroxypyruvate Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Mitochondrial [4Fe-4S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Complex -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Diacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Protein N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Tubulin N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Free Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 4-Hydroxysphinganine Ceramide Fatty Acyl 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Prenyl Diphosphate Synthase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: 3-Demethylubiquinone 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 2-Methoxy-6-Polyprenolphenol 4-Hydroxylase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 4-Hydroxy-3-Methoxy-5-Polyprenylbenzoate Decarboxylase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Ethanol Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Heme A Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Phosphatidylinositol Phospholipase C Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Immune Response, Proteostasis
GO Term: Methyltransferase Cap2 Activity -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: 2-Oxoglutarate Decarboxylation To Succinyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Branched-Chain Alpha-Keto Acid Decarboxylation To Branched-Chain Acyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Morula Formation -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Histone H3K4Me3 Reader Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Cell Cycle
GO Term: Histone H3K36Me3 Reader Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Histone H3Q5Ser Reader Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Autophagy, DNA Repair
GO Term: Histone H4K20Me2 Reader Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Histone H3 Reader Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Kicstor Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Histone H4 Reader Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Immune Response, Autophagy
GO Term: L-Aspartate Import Across Plasma Membrane -> Biodomain: Synapse, Neurotransmitter Transport, Immune Response, Oxidative Stress, APP Metabolism
GO Term: D-Aspartate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Histone H4K12Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response
GO Term: Histone H4K5Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Immune Response, Autophagy
GO Term: Meiotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Mitotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Histone H3K14Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Histone H3K18Cr Reader Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Regulation Of Cytoplasmic Translational Fidelity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Histone H3K9Cr Reader Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Mitochondrial Adp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Phosphorylation-Dependent Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Glycosylation-Dependent Protein Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Acetylation-Dependent Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Acetylation-Dependent Protein Binding, Apoptosis
GO Term: Methylation-Dependent Protein Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Ubiquitin-Like Protein Reader Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ubiquitin-Modified Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Histone H3K27Cr Reader Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy
