Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Autophagy, RNA Metabolism
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, DNA Repair, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Epigenetic Regulation
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Immune System and Inflammation
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Structural Stabilization
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Vascular Development, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Apoptosis
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Apoptosis
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Immune System and Inflammation, Apoptosis
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Epigenetic Regulation
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation, Apoptosis
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Response to Stimulus, Apoptosis
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: Neurodevelopment and Neuronal Differentiation, DNA Repair, Epigenetic Regulation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction, Response to Stimulus
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Cycle, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Signal Transduction
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Epigenetic Regulation
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, DNA Repair, Signal Transduction
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, RNA Metabolism, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Protein Metabolism and Trafficking, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Calcium Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, RNA Metabolism
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, RNA Metabolism, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Autophagy, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 140645 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Apoptosis, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Protein Polyufmylation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, DNA Repair, Cell Cycle, Apoptosis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, DNA Repair, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Signal Transduction
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Apoptosis
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Immune System and Inflammation, RNA Metabolism
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Molecular Transport and Homeostasis, Autophagy, Epigenetic Regulation
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Post Mrna Release Spliceosomal Complex -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Synaptonemal Structure -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Postsynaptic Cytosol -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Mitotic Spindle Midzone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Cell Cycle
GO Term: Gomf Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gomf Four Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic Regulation, RNA Metabolism, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gomf Rna Directed Dna Polymerase Activity -> Biodomain: RNA Metabolism, DNA Repair, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Apoptosis
GO Term: Gomf Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gomf Metallochaperone Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Copper Chaperone Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gomf Single Stranded Dna Helicase Activity -> Biodomain: DNA Repair, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gomf Potassium Channel Inhibitor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gomf Manganese Ion Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Mismatched Dna Binding -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Structural Constituent Of Presynaptic Active Zone -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gomf Splicing Factor Binding -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
Saving results to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Temp_0.9/go_biodomain_results_0.9.csv
Saved results to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Temp_0.9/go_biodomain_results_0.9.csv
Logged runtime to: Experiment/ChatGPT/01-Ref-Free/02-Name-OBO/Temp_0.9/runtime_log.csv
