Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Calcium Ion Binding Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, APP Metabolism
GO Term: Postsynaptic Specialization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Glutamatergic Postsynaptic Density -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Catabolic Process At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Translation At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Translation At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Calcium Signaling, Proteostasis, Apoptosis, Immune Response
GO Term: Serotonin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Neurotransmitter Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Ligand-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Immune Response, Apoptosis
GO Term: Regulation Of Action Potential Firing Rate -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Microtubule Plus-End Directed Mitotic Chromosome Migration -> Biodomain: Cell Cycle, Proteostasis, Tau Homeostasis, Apoptosis, Synapse
GO Term: Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Synapse
GO Term: Regulation Of Action Potential Firing Pattern -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Microtubule Lateral Binding -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Apoptosis
GO Term: Action Potential Initiation -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Regulation Of Action Potential Firing Threshold -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Protein Localization To Axon -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Matrix Side Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, APP Metabolism
GO Term: Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Postsynaptic Specialization Of Symmetric Synapse -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Postsynaptic Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Neurotransmitter Receptor Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Neurotransmitter Receptor Transport, Endosome To Plasma Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Anterograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Retrograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Cell Cortex Region -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction By Action Potential -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Ficolin-1-Rich Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Cytolytic Granule Membrane -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Protein Histidine Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Nucleolar Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Estrogen 16-Alpha-Hydroxylase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Estrogen 2-Hydroxylase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Protein Folding Chaperone Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Acyl-L-Homoserine-Lactone Lactonohydrolase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Proline Dipeptidase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Nadh-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Beta,Beta-Carotene-9',10'-Cleaving Oxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Homocarnosine Synthase Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Heparan Sulfate N-Deacetylase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Dermatan 2-Sulfotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Farnesylcysteine Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Very-Long-Chain (3R)-3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase (Nad+)/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Protein-Ribulosamine 3-Kinase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Protein-Fructosamine 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Cortisol Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Trna-Dihydrouridine16 Synthase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Trna-Dihydrouridine17 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Trna-Dihydrouridine20 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Trna-Dihydrouridine47 Synthase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Trna-Dihydrouridine20A Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Trna-Dihydrouridine20B Synthase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, APP Metabolism, Autophagy
GO Term: 1,8-Cineole 2-Exo-Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: 11-Cis-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Polyprenol Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Mycophenolic Acid Acyl-Glucuronide Esterase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Immune Response, APP Metabolism
GO Term: Decanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Trna-4-Demethylwyosine Synthase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Trna 4-Demethylwyosine Alpha-Amino-Alpha-Carboxypropyltransferase Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Trna(Phe) (7-(3-Amino-3-Carboxypropyl)Wyosine37-C2)-Hydroxylase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Peptide Chain Release Factor N(5)-Glutamine Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: [Protein]-3-O-(N-Acetyl-D-Glucosaminyl)-L-Serine/L-Threonine O-N-Acetyl-Alpha-D-Glucosaminase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Gdp-Man:Man(2)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Nadph Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Very-Long-Chain Enoyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Sphingolipid C4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Alcohol-Forming Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 16-Hydroxypalmitate Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Trna-Uridine 2-Sulfurtransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Itpase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Fructose-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Leukotriene C4 Gamma-Glutamyl Transferase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, APP Metabolism, Autophagy
GO Term: 17-Hydroxyprogesterone 21-Hydroxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Intestinal Hexose Absorption -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Mcrd-Mediated Mrna Stability Complex -> Biodomain: Proteostasis, RNA Spliceosome, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Amyloid-Beta Complex -> Biodomain: APP Metabolism, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Trna (Guanine-N7)-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna 5'-Cap (Guanine-N7)-Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Cytoskeletal Protein-Membrane Anchor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: 2-Oxoglutaramate Amidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: (4S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Phosphatidylinositol-3,5-Bisphosphate Phosphatase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phosphatase Activity -> Biodomain: Synapse, APP Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Vesicle Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Gly-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Neuron Projection Organization -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Neuron Projection Retraction -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Trna Pseudouridine Synthase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Neuron Projection Fasciculation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Regulation Of Gaba-A Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Guanine Deglycation -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, DNA Repair
GO Term: Guanine Deglycation, Methylglyoxal Removal -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Guanine Deglycation, Glyoxal Removal -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, APP Metabolism, Autophagy
GO Term: Polyamine Deacetylation -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Spermidine Deacetylation -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Regulation Of Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Trna 2'-O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Cobalamin Metabolic Process -> Biodomain: Cobalamin Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Sumo Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Dolichyl Pyrophosphate Glc2Man9Glcnac2 Alpha-1,2-Glucosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Aminoacyl-Trna Metabolism Involved In Translational Fidelity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Histone Succinyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Gator1 Complex Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Glial Cell Projection Elongation -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Er-Dependent Peroxisome Localization -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: Ala-Trna(Thr) Deacylase Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Cold-Induced Thermogenesis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of (R)-Mevalonic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Cobalamin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Store-Operated Calcium Entry -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Ikappab Kinase Complex Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Sec61 Translocon Complex Binding -> Biodomain: Proteostasis, Autophagy, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Symbiont Cell Surface -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, APP Metabolism
GO Term: P-Tefb Complex Binding -> Biodomain: Proteostasis, APP Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Trna (M7G46) Methyltransferase Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Peptidyl-Lysine 3-Dioxygenase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Peptidyl-Lysine 4-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Peptidyl-Arginine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Mrna N-Acetyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Cyclic-Gmp-Amp Hydrolase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Inositol-5-Diphosphate-1,3,4,6-Tetrakisphosphate Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Trna C3-Cytosine Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Zinc Ion Sensor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Lncrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Peptide 2-Hydroxyisobutyryltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Peptidyl-Lysine Glutarylation -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Peptide Glutaryltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Histone Glutaryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Protein Depropionylation -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nad-Dependent Protein-Lysine Depropionylase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Ceramide-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Apoptosis
GO Term: Arachidonate 12(R)-Lipoxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, APP Metabolism
GO Term: L-Serine-Phosphatidylethanolamine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Hydroperoxy Icosatetraenoate Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Hydroperoxy Icosatetraenoate Dehydratase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, APP Metabolism, Proteostasis, Autophagy
GO Term: L-Serine-Phosphatidylcholine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Dna-Dna Tethering Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Immune Response
GO Term: Trna Uridine(34) Acetyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: 1-Acylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: 1-Acylglycerophosphoserine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Serine Kinase Activity (Using Gtp As Donor) -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Protein Localization To Ergic -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Cytosol To Ergic Protein Transport -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Nad+-Protein-Arginine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Biliberdin Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Biliverdin Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, APP Metabolism
GO Term: Chenodeoxycholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Isoursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Ursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Superoxide-Generating Nadph Oxidase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Protein-Dna Covalent Cross-Linking Repair -> Biodomain: DNA Repair, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Arachidonate 5,6-Epoxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Lipid Metabolism, Immune Response, Autophagy
GO Term: Progesterone 21-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Protein Serine Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Methylenetetrahydrofolate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
