Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Unknown
GO Term: Response To Psychosocial Stress -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Sperm Head Plasma Membrane -> Biodomain: Unknown, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Ooplasm -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Pet Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Calcium Ion Regulation, Autophagy, Immune Response, Unknown
GO Term: Response To Amino Acid Starvation -> Biodomain: Unknown, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Oxidative Stress, RNA Spliceosome, Proteostasis, APP Metabolism, Unknown
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Unknown, Immune Response
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Unknown, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Intramanchette Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Unknown, APP Metabolism
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Basophil Homeostasis -> Biodomain: Unknown, Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Unknown, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Unknown, Structural Stabilization
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: Unknown, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Unknown, Immune Response, Oxidative Stress, Endolysosome
GO Term: Multimerin Complex -> Biodomain: Unknown, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Trna Demethylase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Unknown, Immune Response
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Unknown, Immune Response
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Unknown, Immune Response
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Unknown, Immune Response, Structural Stabilization, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Synapse
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Synapse
GO Term: Regulation Of Stem Cell Division -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Synapse
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Unknown, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Synapse, Proteostasis, Immune Response, Unknown, Tau Homeostasis
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Synapse, Proteostasis, Immune Response, Unknown, Oxidative Stress
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Unknown
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Unknown, Immune Response
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Unknown, Immune Response
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Unknown, APP Metabolism, Endolysosome
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Unknown, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Unknown, Endolysosome, Apoptosis
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Unknown, Immune Response, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Unknown, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Unknown, Apoptosis, Immune Response
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Unknown, Apoptosis, Immune Response
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Unknown, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Unknown, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Tau Homeostasis
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Unknown, Oxidative Stress, APP Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Unknown, Immune Response, Proteostasis
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Unknown, Immune Response, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Unknown, Epigenetic, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Unknown, Epigenetic, DNA Repair, Autophagy, Immune Response
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Unknown, Epigenetic, Autophagy, Proteostasis, Immune Response
GO Term: Regulation Of Cell Motility -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Unknown, Immune Response, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Unknown, Immune Response
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Immune Response
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Unknown, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Synapse, Unknown, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Synapse, Unknown, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Unknown, Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Unknown, Immune Response, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Unknown, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Unknown, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Regulation Of Female Gonad Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Unknown, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Unknown
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Rrna Processing -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Reproductive Process -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Unknown, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Unknown, Endolysosome
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: Unknown, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Cell Cycle
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Defecation -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Unknown
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Unknown
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Unknown
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Autophagy, Immune Response
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Synapse, Proteostasis, Unknown, Immune Response, Tau Homeostasis
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Unknown, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Unknown, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Immune Response, Unknown, Oxidative Stress, Endolysosome, Vasculature
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Unknown, Proteostasis, Endolysosome
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Unknown, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Unknown, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Unknown, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Unknown, Immune Response, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Unknown, Immune Response, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Unknown
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Unknown, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Unknown, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Unknown, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Synapse, APP Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Unknown
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, Unknown
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Unknown
