Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Autophagosome Organization -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Carboxylic Acid Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Otic Placode Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Regulation Of Epithelium Regeneration -> Biodomain: Unknown, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Negative Regulation Of Epithelium Regeneration -> Biodomain: Unknown, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Regulation Of Metallopeptidase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Negative Regulation Of Metallopeptidase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Unknown, Metal Binding and Homeostasis
GO Term: Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Calcium:Monoatomic Cation Antiporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Negative Regulation Of Cardioblast Proliferation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Cardioblast Proliferation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Allantois Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Anterior Visceral Endoderm Cell Migration -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cardiac Jelly Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Tight Junction Disassembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Type 2 Mitophagy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse, Unknown
GO Term: Positive Regulation Of Type 2 Mitophagy -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Negative Regulation Of Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Apoptosome Assembly -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Pulmonary Blood Vessel Remodeling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Positive Regulation Of Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Synapse, Proteostasis, Unknown, Cell Cycle, Apoptosis
GO Term: Biotin Import Across Plasma Membrane -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Eukaryotic Translation Initiation Factor 2 Complex Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Response To Acetylcholine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Cellular Response To Acetylcholine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Lysosomal Protein Catabolic Process -> Biodomain: Autophagy, Endolysosome, Proteostasis, Unknown, Synapse
GO Term: Positive Regulation Of Smooth Muscle Hypertrophy -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Protein Localization To Phagocytic Vesicle -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Unknown
GO Term: Regulation Of Phagosome Maturation -> Biodomain: Immune Response, Unknown, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Phagosome Maturation -> Biodomain: Immune Response, Autophagy, Synapse, Unknown, Proteostasis
GO Term: Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Negative Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Lysosomal Metabolism, Autophagy, Proteostasis, Synapse, Unknown
GO Term: Positive Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Unknown
GO Term: Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Phagocytic Vesicle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Risc Complex Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Unknown, Synapse, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Manchette Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Manchette Disassembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Mitochondrial Metabolism
GO Term: Methylcrotonoyl-Coa Carboxylase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Regulation Of Connective Tissue Replacement -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Connective Tissue Replacement -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cardiocyte Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Cardiocyte Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Chromosome Condensation -> Biodomain: Unknown, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Rna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Response To Astaxanthin -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Platelet Formation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Atrioventricular Canal Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Epicardium Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Thyrotropin-Releasing Hormone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Cellular Response To Thyrotropin-Releasing Hormone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Cellular Response To Borneol -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Cellular Response To L-Glutamate -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Response To Codeine -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Quercetin -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Response To Cyclosporin A -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Cellular Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Regulation Of Modification Of Synaptic Structure -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Aspartic-Type Peptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Nitrosative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Unknown
GO Term: Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic, Synapse, Proteostasis, Unknown, RNA Spliceosome
GO Term: Positive Regulation Of Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Regulation Of Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Epithelial Tube Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Synapse, Endolysosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Synapse, Proteostasis, Endolysosome, Unknown, Oxidative Stress
GO Term: Fibrous Ring Of Heart Morphogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Serine-Type Peptidase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Regulation Of Neural Crest Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Macropinocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Macropinocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Cardiac Myofibril Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Semi-Lunar Valve Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cell Proliferation Involved In Endocardial Cushion Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Superior Endocardial Cushion Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Inferior Endocardial Cushion Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Mesenchymal Stem Cell Migration -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mesenchymal Stem Cell Migration -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Telomerase Holoenzyme Complex Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, DNA Repair, Synapse
GO Term: Telomere-Telomerase Complex Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Tracheoesophageal Septum Formation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Synapse, Proteostasis, Unknown, Epigenetic, RNA Spliceosome
GO Term: Positive Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Regulation Of Gastric Motility -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Aggrephagy -> Biodomain: Proteostasis, Autophagy, Synapse, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Synapse, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Protein Localization To Kinetochore -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, DNA Repair
GO Term: Prostaglandin Catabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Protein Localization To Cleavage Furrow -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, RNA Spliceosome
GO Term: Endodeoxyribonuclease Complex -> Biodomain: Unknown, DNA Repair, Proteostasis, Synapse, Apoptosis
GO Term: Ciliary Transition Zone Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Exoribonuclease Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Spine Apparatus Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Gtpase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Peptidase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Unknown
GO Term: Endopeptidase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, Endolysosome
GO Term: Serine-Type Endopeptidase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Ceramide Phosphoethanolamine Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Ceramide Phosphoethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Beta-N-Acetylhexosaminidase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Positive Regulation Of Protein Localization To Presynapse -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Retromer Complex Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Unknown, Oxidative Stress
GO Term: Response To Flavonoid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Epigenetic
GO Term: Cellular Response To Flavonoid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Regulation Of Activated Cd4-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Synapse, Proteostasis
GO Term: Negative Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Unknown, Synapse, Proteostasis
GO Term: Positive Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Unknown, Synapse, Proteostasis
GO Term: Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Response To Glycine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Cellular Response To Glycine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Negative Regulation Of Retrograde Trans-Synaptic Signaling By Neuropeptide -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Clathrin Coat Assembly -> Biodomain: Synapse, Proteostasis, Autophagy, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Clathrin Coat Assembly -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Negative Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Unknown, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Unknown, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Unknown, Immune Response, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Unknown, Apoptosis, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Unknown, Oxidative Stress, Proteostasis
GO Term: Regulation Of Protein Localization To Membrane -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Protein Localization To Membrane -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Apoptosis
GO Term: Positive Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Acetyl-Coa Binding -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Motile Cilium Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Non-Motile Cilium Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fertilization -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Macrophage Migration -> Biodomain: Immune Response, Unknown, Apoptosis, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Presynaptic Active Zone Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Macrophage Migration -> Biodomain: Immune Response, Unknown, Apoptosis, Synapse, Proteostasis
GO Term: Negative Regulation Of Macrophage Migration -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Macrophage Migration -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Synapse, Autophagy, Unknown, Oxidative Stress
GO Term: Regulation Of Golgi Lumen Acidification -> Biodomain: Unknown, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Golgi Lumen Acidification -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Negative Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Positive Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Unknown
GO Term: Regulation Of Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Autophagy
GO Term: Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Unknown, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Unknown, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Unknown, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Unknown, Synapse, Oxidative Stress, Proteostasis
GO Term: Ganglioside Gm1 Transport To Membrane -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Lipid Metabolism
GO Term: Ganglioside Gm1 Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Ganglioside Gm2 Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Ganglioside Gm3 Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Lipid Metabolism
GO Term: Ganglioside Gt1B Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Ganglioside Gp1C Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Erbb3 Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
