[0] Autophagy Of Mitochondrion → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
[703] G Protein Activity → Synapse, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
[704] Rna Directed Dna Polymerase Activity → RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
[705] Adenylate Kinase Activity → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle
[706] 3 5 Cyclic Amp Phosphodiesterase Activity → Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
[707] Atp Dependent Peptidase Activity → Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, DNA Repair
[708] Phosphatidylinositol 4 5 Bisphosphate 5 Phosphatase Activity → Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
[709] Dna Endonuclease Activity → DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
[710] Beta N Acetylhexosaminidase Activity → Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
[711] Phospholipase D Activity → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Immune Response
[712] Cyclin Dependent Protein Serine Threonine Kinase Inhibitor Activity → Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Immune Response
[713] Complement Receptor Activity → Immune Response, Vasculature, Endolysosome, Structural Stabilization, Oxidative Stress
[714] G Protein Coupled Opioid Receptor Activity → Synapse, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization
[715] Signal Recognition Particle Binding → Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Structural Stabilization
[716] Gdp Dissociation Inhibitor Activity → Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Synapse, Structural Stabilization
[717] Snap Receptor Activity → Synapse, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
[718] Steroid Binding → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Epigenetic
[719] Vitamin D Binding → Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, Oxidative Stress
[720] Atp Dependent Activity Acting On Dna → DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
[721] Cysteine Type Peptidase Activity → Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
[722] Nucleotidase Activity → Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, DNA Repair, Autophagy
[723] Protein Transmembrane Transporter Activity → Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
[724] Coa Transferase Activity → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
[725] Fucosyltransferase Activity → Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Structural Stabilization
[726] Jun Kinase Binding → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
[727] Microtubule Severing Atpase Activity → Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
[728] Crossover Junction Dna Endonuclease Activity → DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
[729] Cholesterol Binding → Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Vasculature, Oxidative Stress
[730] Rna Polymerase Ii General Transcription Initiation Factor Activity → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse
[731] Phosphatidylinositol 3 4 5 Trisphosphate 3 Phosphatase Activity → Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
[732] Metallochaperone Activity → Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
[733] Copper Chaperone Activity → Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
[734] Oxidoreductase Activity Acting On A Sulfur Group Of Donors Disulfide As Acceptor → Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, APP Metabolism
[735] Oxidoreductase Activity Acting On A Heme Group Of Donors → Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
[736] Transketolase Or Transaldolase Activity → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
[737] Intramolecular Transferase Activity → Proteostasis, RNA Spliceosome, DNA Repair, Autophagy, Synapse
[738] Acid Thiol Ligase Activity → Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
[739] Endodeoxyribonuclease Activity Producing 5 Phosphomonoesters → DNA Repair, Proteostasis, RNA Spliceosome, Oxidative Stress, Endolysosome
[740] Dna Endonuclease Activity Producing 3 Phosphomonoesters → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
[741] Endonuclease Activity Active With Either Ribo Or Deoxyribonucleic Acids And Producing 3 Phosphomonoesters → DNA Repair, RNA Spliceosome, Proteostasis, Oxidative Stress, Endolysosome
[742] Tbp Class Protein Binding → Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization
[743] Single Stranded Dna Helicase Activity → DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
[744] Wnt Protein Binding → Synapse, Immune Response, Structural Stabilization, Epigenetic, Proteostasis
[745] Alkane 1 Monooxygenase Activity → Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
[746] Gdp Binding → Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
[747] Rrna Binding → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[748] Potassium Channel Inhibitor Activity → Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Mitochondrial Metabolism
[749] Manganese Ion Binding → Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, APP Metabolism
[750] Protein Serine Threonine Kinase Inhibitor Activity → Proteostasis, Apoptosis, Immune Response, Structural Stabilization, DNA Repair
[751] Hsp70 Protein Binding → Proteostasis, Synapse, Oxidative Stress, Autophagy, Immune Response
[752] Cgmp Binding → Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Immune Response, Synapse
[753] Beta 2 Microglobulin Binding → Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis
[754] Mismatched Dna Binding → DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
[755] Heat Shock Protein Binding → Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Structural Stabilization
[756] Mitogen Activated Protein Kinase Kinase Kinase Binding → Proteostasis, Synapse, Immune Response, Structural Stabilization, Epigenetic
[757] Peptidyl Proline 4 Dioxygenase Activity → Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic, DNA Repair
[758] Mismatch Repair Complex Binding → DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
[759] Mutsalpha Complex Binding → DNA Repair, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
[760] Sterol Binding → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
[761] Membrane Insertase Activity → Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
[762] Amide Binding → Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
[763] Dynactin Binding → Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
[764] Chondroitin Sulfotransferase Activity → Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Myelination
[765] Box H Aca Snorna Binding → RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
[766] Proteasome Activating Activity → Proteostasis, Autophagy, DNA Repair, Immune Response, Oxidative Stress
[767] K48 Linked Polyubiquitin Modification Dependent Protein Binding → Proteostasis, DNA Repair, Autophagy, Synapse, Epigenetic
[768] Peptide Binding → Metal Binding and Homeostasis, Proteostasis, Synapse, Immune Response, Structural Stabilization
[769] Wnt Receptor Activity → Synapse, Immune Response, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
[770] Ribosome Binding → Proteostasis, RNA Spliceosome, Structural Stabilization, DNA Repair, Autophagy
[771] Kinetochore Binding → Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Proteostasis
[772] Leucine Zipper Domain Binding → Proteostasis, Synapse, Structural Stabilization, Immune Response, Epigenetic
[773] Protein Folding Chaperone → Proteostasis, Autophagy, Synapse, Structural Stabilization, Immune Response
[774] Smad Binding → Proteostasis, Synapse, Immune Response, Epigenetic, Structural Stabilization
[775] Sphingolipid Binding → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Immune Response
[776] Virion Binding → Immune Response, Endolysosome, Oxidative Stress, Lipid Metabolism, Apoptosis
[777] Er Retention Sequence Binding → Proteostasis, Endolysosome, RNA Spliceosome, Autophagy, Structural Stabilization
[778] Glycine N Acyltransferase Activity → Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
[779] Flap Endonuclease Activity → DNA Repair, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
[780] Nuclear Androgen Receptor Binding → Lipid Metabolism, Immune Response, Epigenetic, Proteostasis, Mitochondrial Metabolism
[781] Low Density Lipoprotein Particle Receptor Binding → Lipid Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis, Immune Response
[782] Gdp Dissociation Inhibitor Binding → Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Proteostasis, Endolysosome
[783] Unfolded Protein Binding → Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress
[784] Chaperone Binding → Proteostasis, Autophagy, Synapse, Endolysosome, Structural Stabilization
[785] Atpase Binding → Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, DNA Repair
[786] Misfolded Protein Binding → Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
[787] Atpase Regulator Activity → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
[788] Chromo Shadow Domain Binding → Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair
[789] Lipoprotein Particle Receptor Binding → Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Metal Binding and Homeostasis
[790] Nadph Binding → Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
[791] Adenylyltransferase Activity → Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism
[792] E Box Binding → Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair
[793] Ceramide Binding → Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Proteostasis
[794] Structural Constituent Of Presynaptic Active Zone → Synapse, Structural Stabilization, Proteostasis, Immune Response, Myelination
[795] Phosphatidylinositol 4 5 Bisphosphate Phosphatase Activity → Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[796] Catalytic Activity Acting On Dna → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome
[797] General Transcription Initiation Factor Binding → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse
[798] Protein Transporter Activity → Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
[799] Dna Damage Sensor Activity → DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Epigenetic
[800] Atp Dependent Protein Folding Chaperone → Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse, Structural Stabilization
[801] Catecholamine Binding → Synapse, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
[802] Oleate Transmembrane Transporter Activity → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
[803] Steroid Hormone Binding → Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, Mitochondrial Metabolism
[804] Ubiquitin Specific Protease Binding → Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic
[805] Splicing Factor Binding → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
