Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, APP Metabolism
GO Term: Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Stereocilium Shaft -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Autophagy
GO Term: Stereocilium Base -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Stereocilium Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: U6 Snrna (Adenine-(43)-N(6))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Snrna (Adenine-N6)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ribitol Beta-1,4-Xylosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Large Intestinal Transit -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Small Intestinal Transit -> Biodomain: Synapse, Myelination, Vasculature, Immune Response, Epigenetic
GO Term: Negative Regulation Of Gastric Emptying -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Stomach Fundus Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Pyloric Antrum Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Endocardial Cushion Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Crotonyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Peptidyl-Lysine Crotonylation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress
GO Term: Vacuole-Isolation Membrane Contact Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Procentriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Procentriole Replication Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Centriolar Subdistal Appendage -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dna-3'-Diphospho-5'-Guanosine Diphosphatase -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Neuron Projection Cytoplasm -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Sm-Like Protein Family Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Lsm2-8 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Glucagon Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: T Cell Meandering Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Proximal Portion Of Axoneme -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Distal Portion Of Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Vasculature, Cell Cycle
GO Term: Sulfatide Binding -> Biodomain: Lipid Metabolism, Myelination, Immune Response, Synapse, Structural Stabilization
GO Term: Formylglycine-Generating Oxidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Calcium-Dependent Carbohydrate Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Immune Response, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Erbb4 Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Par Polarity Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Intraciliary Transport Particle A Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detection Of Hot Stimulus Involved In Thermoception -> Biodomain: Synapse, Myelination, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Detection Of Cold Stimulus Involved In Thermoception -> Biodomain: Sensory Perception, Signal Transduction, Environmental Response, Neuronal Signaling, Cell Communication
GO Term: Intraciliary Transport Particle B Binding -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Synapse
GO Term: Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Adherens Junction Disassembly -> Biodomain: Structural Stabilization, Cell Adhesion, Cytoskeleton, Tissue Remodeling, Cell Migration
GO Term: Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Focal Adhesion Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Negative Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Tight Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Mucociliary Clearance -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Cone Photoreceptor Outer Segment -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rod Photoreceptor Outer Segment -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Rod Photoreceptor Disc Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Photoreceptor Distal Connecting Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Proacrosomal Vesicle Fusion -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Sperm Head-Tail Coupling Apparatus -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Matrilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Subapical Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Basal Body Patch -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Maintenance Of Ciliary Planar Beating Movement Pattern -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Blastocyst Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Larynx Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Coenzyme A Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Succinyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Outer Dynein Arm Docking Complex -> Biodomain: Structural Stabilization, Cell Motility, Cytoskeleton, Motor Proteins, Cilia and Flagella
GO Term: Protein Localization To Motile Cilium -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Vasculature, Autophagy
GO Term: Recombinase Activator Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Dna Recombinase Auxiliary Factor Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Stereocilium Coat -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: 2-Iminobutanoate/2-Iminopropanoate Deaminase -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: 2-Iminobutanoate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: 2-Iminopropanoate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Lateral Wall Of Outer Hair Cell -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Hydrocarbon Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Olefinic Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: 7Sk Snrnp -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Virus Coreceptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Autolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Autolysosome Lumen -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Oxidative Stress
GO Term: Dynein Axonemal Particle -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Peptide Serotonyltransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Histone Serotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Peptide Dopaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Histone Dopaminyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Synapse
GO Term: Peptide Noradrenalinyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Peptide Histaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Structural Stabilization
GO Term: Peptide Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Histone Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Background Adaptation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Sperm Flagellum Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Sperm Mitochondrial Sheath Assembly -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid Omega-1 Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Lipid Ubiquitination -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Nurd Complex Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Rixosome Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Radial Spoke Head 1 -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Radial Spoke Head 2 -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Radial Spoke Head 3 -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: F-Actin Monooxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Trna-Guanine Transglycosylase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Gdp-Mannose Pyrophosphorylase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Myelination
GO Term: Hydroxypyruvate Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitochondrial [4Fe-4S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Diacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Protein N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Tubulin N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Free Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: 4-Hydroxysphinganine Ceramide Fatty Acyl 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Prenyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 3-Demethylubiquinone 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: 2-Methoxy-6-Polyprenolphenol 4-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: 4-Hydroxy-3-Methoxy-5-Polyprenylbenzoate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ethanol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Heme A Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol Phospholipase C Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Phospholipid Metabolism, Cell Membrane, Calcium Signaling
GO Term: Methyltransferase Cap2 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: 2-Oxoglutarate Decarboxylation To Succinyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Branched-Chain Alpha-Keto Acid Decarboxylation To Branched-Chain Acyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Morula Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Histone H3K4Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K36Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3Q5Ser Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K20Me2 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Histone H3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Kicstor Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Histone H4 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: L-Aspartate Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Aspartate Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Histone H4K12Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Histone H4K5Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Histone H3K14Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K18Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Cytoplasmic Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Histone H3K9Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mitochondrial Adp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Signal Transduction, Protein Regulation, Epigenetic, Protein Degradation
GO Term: Phosphorylation-Dependent Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Epigenetic, Apoptosis
GO Term: Glycosylation-Dependent Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Acetylation-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, Protein Binding, Autophagy, Apoptosis
GO Term: Methylation-Dependent Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Ubiquitin-Like Protein Reader Activity -> Biodomain: Ubiquitin-Proteasome System, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Ubiquitin-Modified Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Ubiquitin-Modified Protein Reader Activity
GO Term: Histone H3K27Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Detoxification Of Methylglyoxal -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Lipid Droplet Formation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Histone H3K18Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K16Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Manganese Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Endocardial Cushion To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Cellular Response To Oxidised Low-Density Lipoprotein Particle Stimulus -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response, Endolysosome
GO Term: Histone H4K8Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Organelle Localization By Membrane Tethering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Synapse
GO Term: Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Axon Arborization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Unmodified Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Peptide Crotonyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Peptide Butyryltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine Butyrylation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Histone Crotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, DNA Repair
GO Term: Histone Butyryltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Hydrogen Peroxide Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Histone H3K9Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Class I Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Glycosylated Region Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Immune Response
GO Term: Sumo-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Apoptosis, Epigenetic
GO Term: Atp-Dependent Protein-Dna Unloader Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Acetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Storage -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Membrane Curvature Sensor Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Bbaf Complex -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Structural Constituent Of Cytoplasmic Lattice -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Cytoplasmic Lattice -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Catalytic Activity, Acting On A Protein -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin-Proteasome, Endolysosome
GO Term: Catalytic Activity, Acting On Dna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Catalytic Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Catalytic Activity, Acting On A Trna -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
