Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Apoptosis, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Adult Feeding Behavior -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Vasculature, Structural Stabilization
GO Term: Glial Cell Migration -> Biodomain: Myelination, Immune Response, Structural Stabilization, Synapse, Vasculature
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Kinase Signaling, Signal Transduction, Transcriptional Regulation, Cell Communication, Stress Response
GO Term: Katanin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Germ Cell Migration -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Olfactory Learning -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Size -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Axon Ensheathment -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Enzymes, Post-translational Modification, Protein Processing, Carbohydrate Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Glycosylation, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Steroid Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Vasculature
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Gonad Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Structural Stabilization
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Selenium Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Enzymatic Activity, Cellular Signaling, Calcium Signaling
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, APP Metabolism
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Glycobiology, Lysosomal Function, Glycan Metabolism, Endolysosome, Proteostasis
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Vasculature, Structural Stabilization, APP Metabolism, Lipid Metabolism, Endolysosome
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Vasculature, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Structural Stabilization
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Autophagy
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Autophagy, Epigenetic
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Thyroid Function, Membrane Transporters, Ion Transport, Metabolism, Signaling
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Vasculature, Synapse, Proteostasis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, DNA Repair
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature, Endolysosome
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Lipid Metabolism,Structural Stabilization,Immune Response,Vasculature
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Visual Learning -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Epigenetic, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Jun Kinase Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Tau Homeostasis
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Cell Cycle
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Male Gonad Development -> Biodomain: Developmental Biology, Reproductive System, Endocrine System, Cell Differentiation, Organogenesis
GO Term: Female Gonad Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Vasculature
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Structural Stabilization
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Autophagy, Apoptosis
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Myelination, Mitochondrial Metabolism
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Myelination
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Myelination, Oxidative Stress
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Autophagy, Endolysosome, Apoptosis
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Myelination, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Methionine Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
