Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Cellular Response To Cobalt Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Cellular Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Iron Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Cellular Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle
GO Term: Cellular Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Mercury Ion -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Cellular Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Epigenetic, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Retinoic Acid -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Cellular Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Vitamin D -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Vitamin K -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cellular Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Cellular Response To Caffeine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Morphine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Cellular Response To Atp -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Cellular Response To Camp -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Cgmp -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Carbohydrate Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Sucrose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Fructose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature, Immune Response
GO Term: Mll1 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Muscle System, Proteostasis, Lipid Metabolism
GO Term: Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Cell Cycle
GO Term: Cellular Response To Type Ii Interferon -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Interleukin-11 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-12 -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Cellular Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Cellular Response To Interleukin-4 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Interleukin-6 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Type I Interferon -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Cellular Response To Dsrna -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cellular Response To Exogenous Dsrna -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Cellular Response To Ether -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Epidermal Growth Factor Stimulus -> Biodomain: Cell Cycle, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Gonadotropin Stimulus -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Cellular Response To Follicle-Stimulating Hormone Stimulus -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Luteinizing Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cellular Response To Peptide Hormone Stimulus -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Corticotropin-Releasing Hormone Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Cellular Response To Glucagon Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Growth Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Cellular Response To Prostaglandin Stimulus -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Steroid Hormone Stimulus -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Corticosteroid Stimulus -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Glucocorticoid Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Corticosterone Stimulus -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Cortisol Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Mineralocorticoid Stimulus -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Estrogen Stimulus -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Estradiol Stimulus -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Response To Progesterone Stimulus -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Cellular Response To Testosterone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cellular Response To Jasmonic Acid Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cellular Response To Cholesterol -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response, Vasculature
GO Term: Cellular Response To High Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Structural Stabilization
GO Term: Cellular Response To Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Cellular Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cellular Response To Genistein -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis, DNA Repair
GO Term: Cellular Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Epigenetic
GO Term: Cellular Response To Amine Stimulus -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Succinate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Malate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Rrna (Cytosine-N4-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Clathrin Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Cellular Response To Pheromone -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Hydroperoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Anoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Hyperoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Protein Localization To Chromosome, Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Cellular Response To Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Cellular Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Acidic Ph -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Alkaline Ph -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cellular Response To Non-Ionic Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Cellular Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cellular Hypotonic Response -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Proteostasis, Epigenetic
GO Term: Cellular Hypotonic Salinity Response -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Cellular Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Cellular Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Gamma Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Cellular Response To X-Ray -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Light Stimulus -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To High Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Cellular Response To Uv-C -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cellular Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Endolysosome, Apoptosis
GO Term: Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cellular Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cellular Response To Temperature Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Heparin -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Cellular Response To Heparin -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Mycophenolic Acid -> Biodomain: Immune Response, DNA Repair, RNA Spliceosome, Cell Cycle, Oxidative Stress
GO Term: Phosphopantothenoylcysteine Decarboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Trna Re-Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cementum Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ankyrin Repeat Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Immune Response
GO Term: Ring-Like Zinc Finger Domain Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3E -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3M -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Diphosphoinositol Polyphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Pi-Body -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Pip-Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Response To Dexamethasone -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Dexamethasone Stimulus -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27Me2/H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Autophagy
GO Term: Response To Transforming Growth Factor Beta -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleus-Vacuole Junction -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Npbaf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Nbaf Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Ufm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Deufmylase Activity -> Biodomain: Ubiquitin-Proteasome System, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Ufm1 Transferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein Ufmylation -> Biodomain: Proteostasis, Autophagy, Ubiquitin-Proteasome System, Endolysosome, Apoptosis
GO Term: Zinc Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Zinc Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Zinc Ion Transmembrane Import -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Caax-Box Protein Processing -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Lymphocyte Aggregation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Nem1-Spo7 Phosphatase Complex -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The N-End Rule Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Proteasome
GO Term: Neuronal Ribonucleoprotein Granule -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Otic Vesicle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Phytosphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Endothelial Cell-Cell Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Cell Cycle
GO Term: Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Linoleic Acid Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lysophospholipid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Lysophosphatidylethanolamine Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Chemotaxis, Leukocyte Trafficking, Inflammation, Cell Migration
GO Term: Positive Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Autophagy
GO Term: Vocalization Behavior -> Biodomain: Behavior, Neural Function, Muscle Function, Synapse, Structural Stabilization
GO Term: Mastication -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Lipid Metabolism
GO Term: Cytoplasm Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Proteasome, Apoptosis, Oxidative Stress
GO Term: Nuclear Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Positive Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 4 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Negative Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Ip-10 Production -> Biodomain: Immune Response, Cell Signaling, Inflammatory Response, Cytokine Signaling, Regulation of Immune System Process
