Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Determination Of Adult Lifespan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glial Cell Migration -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Vasculature
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Germ Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Unknown, Immune Response
GO Term: Olfactory Learning -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Proteostasis, Cell Adhesion, Apoptosis
GO Term: Regulation Of Cell Size -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Axon Ensheathment -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosylation, Cell Surface Interactions, Endolysosome, Immune Response
GO Term: O-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Endolysosome, APP Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Unknown
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Apoptosis
GO Term: Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis, Autophagy
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Vasculature, Cell Cycle
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Unknown, Proteostasis
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, Immune Response
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, DNA Repair, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Unknown, Immune Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Proteostasis, Oxidative Stress
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Glycosylation & Glycobiology, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Glycan Biosynthesis, Carbohydrate Metabolism, Endolysosome, Structural Stabilization
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Unknown
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Proteostasis
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Unknown, Autophagy, Endolysosome
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, APP Metabolism, Immune Response
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, Vasculature, APP Metabolism, Structural Stabilization, Unknown
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Epigenetic, Metal Binding and Homeostasis
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Immune Response
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Synapse, APP Metabolism, Proteostasis
GO Term: Melatonin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Apoptosis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Unknown
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Ion Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Vasculature
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Endolysosome, Oxidative Stress, Immune Response
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Ammonium Channel Activity -> Biodomain: Vasculature, Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Taste Receptor Activity -> Biodomain: Unknown, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Vasculature, Synapse
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Visual Learning -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Vasculature
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Vasculature
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy, Proteostasis
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Endolysosome
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Female Gonad Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Unknown
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Synapse
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Autophagy, Proteostasis
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Chromatin Organization, Transcriptional Machinery, Genome Stability
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Epigenetic
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Carbohydrate Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Rrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Metal Binding and Homeostasis, Synapse, Lipid Metabolism
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Methionine Synthase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 4-Phytase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Synapse
