Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Structural Stabilization
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Axon Diameter -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, DNA Repair
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rrna Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Phosphopantetheine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Peptide Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Poz Domain Binding -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, DNA Repair
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Myelination, Synapse
GO Term: Rsf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Auditory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Metal Binding and Homeostasis, Vasculature
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Immune Response, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Cell Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Uropod Membrane -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Apoptosis
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Dna Replication Preinitiation Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Autophagy
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Rnai Effector Complex -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Proteostasis
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, DNA Repair, Autophagy, Apoptosis, Immune Response
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Chloride Ion Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Structural Stabilization, Mitochondrial Metabolism
GO Term: Carboxylic Acid Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Natb Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Natc Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Response To Methotrexate -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Immune Response
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Protein Synthesis, Autophagy
GO Term: M Band -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Muscle System, Protein-Protein Interactions, Cell Adhesion, Cytoskeleton Organization
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Muscle System, Cell Signaling, Structural Stabilization, Metabolism, Proteostasis
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Glycine Betaine Transport -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Nuclear Membrane Reassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Endolysosome
GO Term: Myosin V Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Myosin V Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, Chromatin Organization, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Myb Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Filopodium Membrane -> Biodomain: Synapse, Structural Stabilization, Immune Response, Lipid Metabolism, Vasculature
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Ruffle Organization -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Structural Stabilization
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Wybutosine Biosynthetic Process -> Biodomain: Structural Stabilization, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Centrosomal Corona -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Structural Stabilization, Cell Cycle, Structural Stabilization
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Endolysosome, Apoptosis
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Ubiquitin-Mediated Protein Degradation, Proteostasis, Protein Degradation, Proteasome, Autophagy
GO Term: Beta-Endorphin Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
