Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Primary Adaptive Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Primary Adaptive Immune Response Involving T Cells And B Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Receptor-Receptor Interaction -> Biodomain: Signal Transduction, Cell Membrane, Cellular Communication, Neurotransmission, Synapse
GO Term: Central Region Of Growth Cone -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Myelination
GO Term: Las1 Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Cofilin-Actin Rod -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tenascin Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Immune Response
GO Term: Site Of Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Telomere Maintenance Via Telomere Trimming -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Glycolysis From Storage Polysaccharide Through Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Ceramide Binding -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Adipokinetic Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adipokinetic Hormone Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Energy Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Unknown, Autophagy, Epigenetic, Apoptosis
GO Term: Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Phagocytic Vesicle Lumen -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ciliary Plasm -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: L27 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle, Unknown
GO Term: Renal Protein Absorption -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Copii Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Unknown
GO Term: Lymphocyte Migration Into Lymphoid Organs -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Cell Cycle
GO Term: Lymphocyte Migration Into Lymph Node -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Fructose 6-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Mpp7-Dlg1-Lin7 Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Ubiquitin-Protein Transferase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Dendritic Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Endolysosome, Apoptosis
GO Term: Mature Conventional Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Regulation Of Membrane Lipid Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Plasma Membrane Sterol Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Heme Export -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Perinuclear Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Phosphatidylserine Exposure On Blood Platelet -> Biodomain: Lipid Metabolism, Vasculature, Apoptosis, Structural Stabilization, Immune Response
GO Term: Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: L-Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: L-Kynurenine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Agmatine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Apoptosis
GO Term: Traf2-Gstp1 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Crlf-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Myelination, Vasculature
GO Term: Cntfr-Clcf1 Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Unknown
GO Term: Synaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dendritic Spine Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterior Head Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Epigenetic
GO Term: Response To Thyroid Hormone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Cell Cycle
GO Term: Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Thyroxine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Thyroxine Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ductus Arteriosus Closure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Plasma Membrane Selenite Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Vascular Associated Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Methyl-Branched Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Craniofacial Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Supercoiled Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Blood Vessel Endothelial Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Endothelial Tip Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Hedgehog Family Protein Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Myelination, Apoptosis
GO Term: Neuroligin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Scaffold Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Gamma-Aminobutyric Acid Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Endolysosome
GO Term: Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Nmda Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Neurexin Clustering Involved In Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Guanylate Kinase-Associated Protein Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Neuroligin Clustering Involved In Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cyclin A1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Cyclin A2-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Cyclin A1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cyclin A2-Cdk2 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Cyclin B1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Cyclin D1-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Cyclin D2-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Cyclin D3-Cdk4 Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Cyclin D1-Cdk6 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cyclin D2-Cdk6 Complex -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, DNA Repair
GO Term: Cyclin D3-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Cyclin E1-Cdk2 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cyclin E2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Bcl-2 Family Protein Complex -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Bad-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Bim-Bcl-Xl Complex -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Bim-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Bax Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Bak Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Centralspindlin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Neuronal Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Gabaergic Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Fasciculation Of Sensory Neuron Axon -> Biodomain: Synapse, Axon Guidance, Structural Stabilization, Myelination, Proteostasis
GO Term: Fasciculation Of Motor Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Unknown
GO Term: Pre-Mrna Intronic Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Unknown
GO Term: Pre-Mrna Intronic Pyrimidine-Rich Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Polychlorinated Biphenyl Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, DNA Repair, Apoptosis
GO Term: Dh Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Mads Box Domain Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sulfur Carrier Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nuclear Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Apoptosis, Autophagy
GO Term: Circadian Regulation Of Translation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Aim2 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Epoxide Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Mitochondrial Ribosome Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Protease Inhibitor Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Serine Protease Inhibitor Complex -> Biodomain: Proteostasis, Protein Activity, Structural Stabilization, Apoptosis, Immune Response
GO Term: Protein C Inhibitor-Coagulation Factor V Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein C Inhibitor-Coagulation Factor Xa Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor Xi Complex -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Response To Azide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome
GO Term: Amelogenesis -> Biodomain: Structural Stabilization, Mineralization, Extracellular Matrix Organization, Tissue Development, Cell Differentiation
GO Term: Dentinogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Dentin Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Synapse, Immune Response, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Pilomotor Reflex -> Biodomain: Synapse, Immune Response, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Shu Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Tetraspanin-Enriched Microdomain -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Synapse, Proteostasis
GO Term: Renal Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Epidermal Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Gonadotropin-Releasing Hormone -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Vasculature
GO Term: Cellular Response To Gonadotropin-Releasing Hormone -> Biodomain: Proteostasis, Endolysosome, Epigenetic, Cell Cycle, Synapse
GO Term: Lysosomal Membrane Organization -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Mrna Polyadenylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Sperm Midpiece -> Biodomain: Mitochondrial Metabolism, Metabolism, Cellular Structures, Oxidative Stress, Structural Stabilization
GO Term: Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Sperm Annulus -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Sperm Principal Piece -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sperm End Piece -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Alveolar Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Epidermal Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Cellular Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Hematopoietic Stem Cell Migration To Bone Marrow -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Flavonoid Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Respirasome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Renal Tubular Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: R2Tp Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Leukotriene B4 12-Hydroxy Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: 20-Hydroxy-Leukotriene B4 Omega Oxidase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: 20-Aldehyde-Leukotriene B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Unknown
GO Term: Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Omega-Hydroxylase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Cytoophidium -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: All-Trans-Decaprenyl-Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Intracellular Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Vasculature
GO Term: Histamine Secretion Mediated By Ige Immunoglobulin -> Biodomain: Immune Response, Endolysosome, Vasculature, Oxidative Stress, Proteostasis
GO Term: Immune Complex Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Renal Phosphate Ion Absorption -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: 'De Novo' Xmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Cell Cycle, Epigenetic
GO Term: Regulation Of Nucleus Size -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Response To Alcohol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Plasma Membrane Tubulation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: 7Sk Snrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: B Cell Adhesion -> Biodomain: Immune Response, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Melanocyte Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Melanocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Melanocyte Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Response To Antineoplastic Agent -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Autophagy
GO Term: Response To Antipsychotic Drug -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Zymogen Inhibition -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Unknown
GO Term: Ripoptosome -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Ripoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Neutrophil Clearance -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Localization To Heterochromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Perinucleolar Compartment -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Udp-Glucosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cytosolic [4Fe-4S] Assembly Targeting Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mcm8-Mcm9 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Protein O-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Immune Response, Apoptosis
GO Term: Carbohydrate Derivative Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Autophagy
