Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Regulation Of Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Stereocilium Shaft -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Stereocilium Base -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Stereocilium Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: U6 Snrna (Adenine-(43)-N(6))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Snrna (Adenine-N6)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Ribitol Beta-1,4-Xylosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Large Intestinal Transit -> Biodomain: Digestion, Gastrointestinal Motility, Digestive System Function, System Process, Multicellular Organismal Process
GO Term: Positive Regulation Of Small Intestinal Transit -> Biodomain: Synapse, Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Gastric Emptying -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Positive Regulation Of Stomach Fundus Smooth Muscle Contraction -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Pyloric Antrum Smooth Muscle Contraction -> Biodomain: Synapse, Proteostasis, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Endocardial Cushion Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Crotonyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Vacuole-Isolation Membrane Contact Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Procentriole -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Procentriole Replication Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Centriolar Subdistal Appendage -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Dna-3'-Diphospho-5'-Guanosine Diphosphatase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Neuron Projection Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sm-Like Protein Family Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Lsm2-8 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Glucagon Processing -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: T Cell Meandering Migration -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Proximal Portion Of Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Distal Portion Of Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Sulfatide Binding -> Biodomain: Lipid Metabolism, Myelination, Immune Response, Endolysosome, Proteostasis
GO Term: Formylglycine-Generating Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Calcium-Dependent Carbohydrate Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Negative Regulation Of Erbb4 Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Par Polarity Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Intraciliary Transport Particle A Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detection Of Hot Stimulus Involved In Thermoception -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Proteostasis
GO Term: Detection Of Cold Stimulus Involved In Thermoception -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Vasculature, Proteostasis
GO Term: Intraciliary Transport Particle B Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Adherens Junction Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Tight Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Epigenetic
GO Term: Mucociliary Clearance -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Vasculature
GO Term: Cone Photoreceptor Outer Segment -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Rod Photoreceptor Outer Segment -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Rod Photoreceptor Disc Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Photoreceptor Distal Connecting Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Proacrosomal Vesicle Fusion -> Biodomain: Vesicle Trafficking, Proteostasis, Cellular Component Organization, Reproductive Process, Sperm Development
GO Term: Sperm Head-Tail Coupling Apparatus -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Matrilin Complex -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Subapical Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: Basal Body Patch -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Maintenance Of Ciliary Planar Beating Movement Pattern -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Blastocyst Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Lipid Metabolism
GO Term: Larynx Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Coenzyme A Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Succinyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Outer Dynein Arm Docking Complex -> Biodomain: Structural Stabilization, Cytoskeleton, Motor Proteins, Cellular Motility, Organelle Positioning
GO Term: Protein Localization To Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Recombinase Activator Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Immune Response, Cell Cycle
GO Term: Dna Recombinase Auxiliary Factor Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Stereocilium Coat -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: 2-Iminobutanoate/2-Iminopropanoate Deaminase -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 2-Iminobutanoate Deaminase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 2-Iminopropanoate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Lateral Wall Of Outer Hair Cell -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Hydrocarbon Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Olefinic Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 7Sk Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Virus Coreceptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Autolysosome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Autolysosome Lumen -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, DNA Repair
GO Term: Dynein Axonemal Particle -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide Serotonyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Histone Serotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Peptide Dopaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Histone Dopaminyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Peptide Noradrenalinyltransferase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide Histaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Histone Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Background Adaptation -> Biodomain: Pigmentation, Response to Stimulus, Biological Regulation, Response to Radiation, Response to Abiotic Stimulus
GO Term: Sperm Flagellum Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Sperm Mitochondrial Sheath Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Long-Chain Fatty Acid Omega-1 Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Lipid Ubiquitination -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Nurd Complex Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Rixosome Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Radial Spoke Head 1 -> Biodomain: Cytoskeleton, Cilia, Structural Stabilization, Proteostasis, Signal Transduction
GO Term: Radial Spoke Head 2 -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Radial Spoke Head 3 -> Biodomain: Structural Stabilization, Cytoskeleton, Cilium, Organelle Organization, Protein-containing Complex
GO Term: F-Actin Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna-Guanine Transglycosylase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Gdp-Mannose Pyrophosphorylase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Hydroxypyruvate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mitochondrial [4Fe-4S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Diacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Protein N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Tubulin N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Tau Homeostasis
GO Term: Free Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 4-Hydroxysphinganine Ceramide Fatty Acyl 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Prenyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 3-Demethylubiquinone 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 2-Methoxy-6-Polyprenolphenol 4-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 4-Hydroxy-3-Methoxy-5-Polyprenylbenzoate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ethanol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Heme A Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol Phospholipase C Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Methyltransferase Cap2 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: 2-Oxoglutarate Decarboxylation To Succinyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Branched-Chain Alpha-Keto Acid Decarboxylation To Branched-Chain Acyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Morula Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Histone H3K4Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Histone H3K36Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Chromatin Organization, Transcription Regulation, Cell Cycle
GO Term: Histone H3Q5Ser Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Histone H4K20Me2 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3 Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Kicstor Complex -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism
GO Term: Histone H4 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: L-Aspartate Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: D-Aspartate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histone H4K12Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K5Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Nuclear Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Histone H3K14Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K18Cr Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Cytoplasmic Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Histone H3K9Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mitochondrial Adp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Phosphorylation-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Glycosylation-Dependent Protein Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Acetylation-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Methylation-Dependent Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Ubiquitin-Like Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome, Epigenetic, Structural Stabilization
GO Term: Ubiquitin-Modified Protein Reader Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Endolysosome, Synapse
GO Term: Histone H3K27Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Detoxification Of Methylglyoxal -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lipid Droplet Formation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Proteostasis
GO Term: Histone H3K18Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K16Ac Reader Activity -> Biodomain: Epigenetic, Chromatin Organization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Manganese Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Endocardial Cushion To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Cellular Response To Oxidised Low-Density Lipoprotein Particle Stimulus -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response, Endolysosome
GO Term: Histone H4K8Ac Reader Activity -> Biodomain: Epigenetic, Chromatin Organization, Transcription, DNA Repair, Proteostasis
GO Term: Organelle Localization By Membrane Tethering -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Axon Arborization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Unmodified Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Peptide Crotonyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Peptide Butyryltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Peptidyl-Lysine Butyrylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Histone Crotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Histone Butyryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, DNA Repair, Cell Cycle
GO Term: Hydrogen Peroxide Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Histone H3K9Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Class I Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Catalytic Activity, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Glycosylated Region Protein Binding -> Biodomain: Proteostasis, Endolysosome, Immune Response, Structural Stabilization, Autophagy
GO Term: Sumo-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Atp-Dependent Protein-Dna Unloader Activity -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Acetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Protein Storage -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Membrane Curvature Sensor Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Bbaf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Structural Constituent Of Cytoplasmic Lattice -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Cytoplasmic Lattice -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Endolysosome
GO Term: Catalytic Activity, Acting On A Protein -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Catalytic Activity, Acting On Dna -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Catalytic Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Catalytic Activity, Acting On A Trna -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Molecular Carrier Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
