Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: (1->3)-Beta-D-Glucan Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lipopolysaccharide Immune Receptor Activity -> Biodomain: Immune Response, Innate Immunity, Pattern Recognition Receptor, Pathogen Recognition, Inflammatory Response
GO Term: Response To Yeast -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Detection Of Yeast -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mullerian Duct Regression -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Purine Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle, Synapse
GO Term: Endothelial Cell Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Endothelial Cell Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Selenium Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Glucuronyl-Galactosyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Post-Translational Modification, Sugar Metabolism, Biosynthetic Process
GO Term: Liver Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Placenta Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Phagocytic Cup -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Embryonic Placenta Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Immune Response, Epigenetic
GO Term: Maternal Placenta Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Tissue Homeostasis -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Retina Homeostasis -> Biodomain: Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cell Killing -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, DNA Repair
GO Term: Negative Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Proteostasis
GO Term: Photoreceptor Inner Segment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Farnesylated Protein Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Lipid Metabolism
GO Term: B-1 B Cell Homeostasis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: B-1 B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Exocyst Assembly -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Synapse, Autophagy
GO Term: Uropod -> Biodomain: Immune Response, Structural Stabilization, Synapse, Cell Cycle, Apoptosis
GO Term: Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Signal Transduction, Immune Response
GO Term: Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, DNA Repair, Immune Response
GO Term: Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Female Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Male Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress, Structural Stabilization
GO Term: Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Hair Follicle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Lymph Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Sebaceous Gland Cell Differentiation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Intestinal D-Glucose Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: Blood Vessel Maturation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Intramembranous Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Endochondral Ossification -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Proliferation, Signal Transduction
GO Term: Alpha-1,3-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Cell Cycle
GO Term: Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Startle Response -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: G-Protein Alpha-Subunit Binding -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Thigmotaxis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Suckling Behavior -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Myelination, Epigenetic
GO Term: Fibronectin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Retinoic Acid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Apoptosis
GO Term: G Protein-Coupled Adenosine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Response To Amphetamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Nervous System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Regulation Of Systemic Arterial Blood Pressure By Ischemic Conditions -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Heart Rate Involved In Baroreceptor Response To Increased Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Vasopressin -> Biodomain: Vasculature, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine -> Biodomain: Vasculature, Synapse, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Norepinephrine-Epinephrine Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of The Force Of Heart Contraction By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Angiotensin-Mediated Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Angiotensin Levels In Blood -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Angiotensin Maturation -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Morphogenesis Of An Epithelial Sheet -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Vasoconstriction Of Artery Involved In Ischemic Response To Lowering Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Blood Volume By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Blood Volume By Renal Aldosterone -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Renin-Angiotensin Regulation Of Aldosterone Production -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Regulation Of Renal Output By Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Epigenetic, Autophagy
GO Term: Protease Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Epigenetic
GO Term: Diet Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Norepinephrine-Epinephrine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Structural Stabilization
GO Term: Desensitization Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Angiotensin-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Maintenance Of Blood Vessel Diameter Homeostasis By Renin-Angiotensin -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Brain Renin-Angiotensin System -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Positive Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: P53 Binding -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Intussusceptive Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Opsin Binding -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse, Epigenetic
GO Term: Osteoblast Fate Commitment -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Adenine Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Uracil Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Purine Nucleobase Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Immune Response
GO Term: Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Columnar/Cuboidal Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Glandular Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Glandular Epithelial Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Columnar/Cuboidal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Glandular Epithelial Cell Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Optic Cup Morphogenesis Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Extraocular Skeletal Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Osteoblast Development -> Biodomain: Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Acrosome Matrix Dispersal -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Membrane Fusion Involved In Acrosome Reaction -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Lipid Metabolism, Endolysosome
GO Term: Inner Acrosomal Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Apoptosis
GO Term: Acrosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Outer Acrosomal Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Inhibition Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Diaphragm Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Respiratory Gaseous Exchange By Nervous System Process -> Biodomain: Synapse, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Structural Stabilization
GO Term: Lens Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Lens Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Receptor Internalization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Auditory Receptor Cell Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Caveolar Macromolecular Signaling Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Polkadots -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Synapse
GO Term: Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Wobble Guanine Modification -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Trna Wobble Adenosine To Inosine Editing -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Trna Wobble Cytosine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Podosome -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Interleukin-33 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-33 Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Autophagy
GO Term: Interleukin-33 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Semaphorin Receptor Complex -> Biodomain: Synapse, Signal Transduction, Structural Stabilization, Vasculature, Immune Response
GO Term: Aggressive Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Inter-Male Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Maternal Aggressive Behavior -> Biodomain: Synapse, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Trna Wobble Base Cytosine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Nucleoside Ribose Methylation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: Wobble Position Ribose Methylation -> Biodomain: Translation, RNA Processing, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Polycystin Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Utp Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Ctp Binding -> Biodomain: Metabolic Processes, RNA Metabolism, Lipid Metabolism, DNA Metabolism, DNA Repair
GO Term: Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Immune Response
GO Term: Stereocilia Ankle Link -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Stereocilia Ankle Link Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Trna Wobble Position Uridine Thiolation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cytosolic Trna Wobble Base Thiouridylase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Hypochlorous Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: G-Quadruplex Rna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Bile Acid Conjugation -> Biodomain: Lipid Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Steroid Receptor Rna Activator Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Endolysosome, Metal Binding and Homeostasis
GO Term: Desmosome Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Desmosome Maintenance -> Biodomain: Structural Stabilization, Cytoskeleton, Epithelial Integrity, Proteostasis, Cell Cycle
GO Term: Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dystroglycan Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: High-Affinity Igm Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Protein Localization To Paranode Region Of Axon -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Mitochondrial Metabolism
GO Term: Manchette -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Cytoplasmic Translation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
