Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Vasculature, DNA Repair
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Proteostasis
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Unknown
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Mesoderm Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Vasculature
GO Term: Positive Regulation Of Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Ectoderm Development -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Endolysosome
GO Term: Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Synapse, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Fibronectin-Dependent Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Autophagy, Apoptosis
GO Term: Negative Regulation Of Eosinophil Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Eosinophil Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Lipid Metabolism, Autophagy
GO Term: Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Cytokinesis, Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Synapse, Vasculature, Structural Stabilization, Unknown
GO Term: Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Regulation Of Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Unknown
GO Term: Positive Regulation Of Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Unknown
GO Term: Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Unknown, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Granzyme A Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Epigenetic, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Cell Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process Involved In Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Unknown, Endolysosome
GO Term: Positive Regulation Of Protein Geranylgeranylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Gastrulation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Unknown, Proteostasis
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Negative Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of T-Helper 1 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Immunoglobulin Production In Mucosal Tissue -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Memory T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Endolysosome
GO Term: Positive Regulation Of T-Helper 2 Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Interleukin-4-Dependent Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dna Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Epigenetic
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Metanephric Dct Cell Differentiation -> Biodomain: Epigenetic, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Optic Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cell Proliferation Involved In Mesonephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Apoptosis
GO Term: Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Thyroid Hormone Generation -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Thyroid-Stimulating Hormone Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Epigenetic, Unknown
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, DNA Repair
GO Term: Negative Regulation Of Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Endolysosome, Unknown
GO Term: Positive Regulation Of Mirna Catabolic Process -> Biodomain: Epigenetic, Unknown, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, Autophagy, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Pre-Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Primary Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Negative Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Myelination, Unknown
GO Term: Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
