Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Immune Response
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Epigenetic, Proteostasis
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Cell Cycle, Apoptosis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, Glycosylation, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Vasculature, Apoptosis, Autophagy
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Autophagy, Synapse
GO Term: Metalloendopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Vasculature
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Lipid Metabolism
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Glycobiology, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Oxidative Stress, Proteostasis
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Proteostasis
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Gluconolactonase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Amino Acid Metabolism, Neurotransmitter Metabolism, Neuronal Signaling, Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Cofactor and Vitamin Metabolism, Synapse
GO Term: Glutamine Synthetase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Immune Response
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerol Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Gdp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Gmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Autophagy
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Vasculature
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: Carbohydrate Metabolism, Enzyme Activity, Extracellular Matrix Organization, Proteoglycan Metabolism, Endolysosome
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Signaling, Kinase Signaling, Cell Regulation
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Ketohexokinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Lactose Synthase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Immune Response, Structural Stabilization
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Epigenetic
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Vasculature, DNA Repair
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
