Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Trna Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Trna Cytidine N4-Acetyltransferase Activity -> Biodomain: Protein Synthesis, RNA Processing and Modification, Nucleotide Metabolism, Translation, Metabolism
GO Term: Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Regulation Of Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Bh Domain Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ch Domain Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Nitrogen Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Response To Corticosterone -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Response To Cortisone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Cortisol -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Microtubule Nucleation By Interphase Microtubule Organizing Center -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Microtubule Nucleation By Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Corticotropin-Releasing Hormone Binding -> Biodomain: Stress Response, Hormone Activity, Peptide Binding, Signaling Receptor Binding, Neurotransmitter Activity
GO Term: Ptb Domain Binding -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Hormone Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Vasculature, Cell Cycle
GO Term: Peptide Hormone Receptor Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Corticotropin-Releasing Hormone Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Synapse
GO Term: Corticotropin-Releasing Hormone Receptor 1 Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Epigenetic, Autophagy
GO Term: Corticotropin-Releasing Hormone Receptor 2 Binding -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Bh3 Domain Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Ubiquitin-Protein Ligase, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Myoblast Migration -> Biodomain: Cell Motility, Muscle System, Developmental Biology, Stem Cell Biology, Cell Signaling
GO Term: Intracellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Intracellular Ph -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Ph Elevation -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Spindle Attachment To Meiosis I Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Maintenance Of Protein Location In Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Corticotropin Secretion -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Synapse, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cortisol Secretion -> Biodomain: Endocrine Signaling, Glucocorticoid Signaling, Hormone Signaling, Stress Response, Cell Signaling
GO Term: Positive Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Positive Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Vesicle Fusion With Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Filopodium Assembly -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis
GO Term: Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Negative Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: D-Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: D-Tyrosyl-Trna(Tyr) Deacylase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Adenine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Nfat Protein Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Iron-Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2 Iron, 2 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: 3 Iron, 4 Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: 4 Iron, 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Elastin Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Keratinocyte Migration -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Keratinocyte Migration -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Keratinocyte Migration -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Flavone Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Mitochondrial Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Smooth Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: 5'-Deoxyribose-5-Phosphate Lyase Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Neurotransmitter Release and Signaling, Membrane Transport, Catecholamine Biosynthesis and Metabolism, Neuronal Signaling
GO Term: Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Neurotransmission, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Response To Camp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Calcium Ion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Response To Methylglyoxal -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Methylmercury -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Meiotic Recombination Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Response To Hydrostatic Pressure -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Exocyst Localization -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, Vasculature
GO Term: Response To Electrical Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Stimulus -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Defense Response To Virus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Histamine Transport -> Biodomain: Endolysosome, Immune Response, Proteostasis, Synapse, Lipid Metabolism
GO Term: Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Histamine Uptake -> Biodomain: Synapse, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Norepinephrine Uptake -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Epinephrine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Barbed-End Actin Filament Uncapping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Network Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Organelle Localization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Centrosome Localization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Localization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Golgi Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nucleus Localization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Establishment Of Localization In Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Establishment Of Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Maintenance Of Location In Cell -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Establishment Of Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: Establishment Of Organelle Localization -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse, Tau Homeostasis
GO Term: Maintenance Of Nucleus Location -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Maintenance Of Mitochondrion Location -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Establishment Of Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Centrosome Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Pore Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Membrane Raft Localization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Actin Cortical Patch Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Localization Within Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Disruption Of Plasma Membrane Integrity In Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Localization Of Cell -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Myelination
GO Term: Establishment Of Golgi Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Maintenance Of Golgi Location -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Maintenance Of Er Location -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Pointed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Actin Filament Uncapping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Protein Delipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Biological Process Involved In Interaction With Host -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Biological Process Involved In Interaction With Symbiont -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Other Organism -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cytolysis In Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 3-Phosphatase Activity -> Biodomain: Signal Transduction, Phosphatase Activity, Lipid Metabolism, Regulatory Processes, Cellular Homeostasis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity, Acting On Cpg Substrates -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Protein Phosphatase 2A Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein C-Terminal Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy, Protein Degradation
GO Term: Nad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Protein De-Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Germline Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Atp-Dependent Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis
GO Term: Atp-Dependent Polyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Cytosine C-5 Dna Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Utp-Monosaccharide-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Delta(3,5)-Delta(2,4)-Dienoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Meiotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Homologous Chromosome Movement Towards Spindle Pole In Meiosis I Anaphase -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Actin Crosslink Formation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Inositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Behavioral Response To Nutrient -> Biodomain: Synapse, Lipid Metabolism, Myelination, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Regulation Of Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: All-Trans-Retinol 13,14-Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Misfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Short-Chain Fatty Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Medium-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Medium-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Myelination, Autophagy
GO Term: Medium-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: Regulation Of Hair Follicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol-3,4-Bisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytolysis By Host Of Symbiont Cells -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Host-Mediated Perturbation Of Symbiont Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Glycolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Structural Stabilization
GO Term: Histone H3K36 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Autophagy
GO Term: Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: General Adaptation Syndrome -> Biodomain: Stress Response, Neuroendocrine System, Immune Response, Apoptosis, Proteostasis
GO Term: General Adaptation Syndrome, Behavioral Process -> Biodomain: Stress Response, Behavioral Neuroscience, Neuroendocrinology, Psychophysiology, Adaptation Physiology
GO Term: Killing By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Pigment Granule Localization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Pigment Granule Aggregation In Cell Center -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lateral Element Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Hsp90 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
