Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Nucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Kinase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Phosphatase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Synapse
GO Term: Kinase Activator Activity -> Biodomain: Proteostasis, Oxidative Stress, Cell Cycle, Apoptosis, Synapse
GO Term: Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, DNA Repair, Vasculature
GO Term: Phosphatase Activator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Tau Homeostasis
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Apoptosis
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Vasculature
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Proprioception -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Lipid Metabolism, Metabolite Transport, Extracellular Matrix Organization
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Inositol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Hexose Biosynthetic Process -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cysteine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Transsulfuration -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Cyclooxygenase Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Galactitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: L-Cysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Vasculature
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle, Endolysosome
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pentitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Taurine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Oxalate Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Propionate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Propionate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Butyrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Urate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Synapse, Apoptosis, Autophagy, Oxidative Stress
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Secondary Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Metabolism, Mitochondrial Metabolism
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Epigenetic, Cell Cycle
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Oxidative Stress, Endolysosome
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Immune Response, Endolysosome
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Post-translational Modification, Protein Degradation, Apoptosis
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Aspartoacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Structural Stabilization, Proteostasis
GO Term: Polyamine Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Putrescine Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cocaine Binding -> Biodomain: Synapse, Neurotransmission, Receptor Signaling, Vasculature, Neuroinflammation
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Structural Stabilization, Endolysosome
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Growth Factor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rrna Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Vasculature, Apoptosis, Synapse, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
