Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Unknown, Cell Cycle
GO Term: Response To Vitamin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Response To Vitamin B2 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Actin-Myosin Filament Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Transcription Factor Tftc Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Neurogenesis, Brain Regions, Nervous System Development, Developmental Biology
GO Term: Response To Vitamin D -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Eukaryotic 48S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Unknown
GO Term: Eukaryotic 80S Initiation Complex -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: T-Tubule Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Dehydroascorbic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell Cycle Comprising Mitosis Without Cytokinesis -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Phytol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Meiotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Udp-D-Xylose Biosynthetic Process -> Biodomain: Glycosylation,Carbohydrate Metabolism,Proteostasis,Mitochondrial Metabolism,Lipid Metabolism
GO Term: Cerebrospinal Fluid Secretion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Leydig Cell Differentiation -> Biodomain: Steroid Metabolism, Endocrine System, Cell Differentiation, Reproductive System, Metabolism
GO Term: Peroxisome Membrane Targeting Sequence Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: L-Asparagine Catabolic Process Via L-Aspartate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: S-Adenosylmethionine Cycle -> Biodomain: Epigenetic, Lipid Metabolism, RNA Spliceosome, Myelination, Mitochondrial Metabolism
GO Term: Secretory Granule Organization -> Biodomain: Endolysosome, Proteostasis, Vasculature, Synapse, Autophagy
GO Term: Mast Cell Secretory Granule Organization -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Protein Localization To Organelle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Localization To Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: T Cell Secretory Granule Organization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Maintenance Of Protease Location In Mast Cell Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Immune Response, Structural Stabilization, Synapse
GO Term: Maintenance Of Granzyme B Location In T Cell Secretory Granule -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Geranyl Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Geranyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Geranylgeranyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Putrescine Biosynthetic Process From Arginine, Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Putrescine Biosynthetic Process From Arginine, Via Agmatine -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Chromatoid Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Alanine Biosynthetic Process Via 3-Ureidopropionate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: S-Methylmethionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Intracellular Nitric Oxide Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Cholesterol Biosynthetic Process Via 24,25-Dihydrolanosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cholesterol Biosynthetic Process Via Desmosterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Cholesterol Biosynthetic Process Via Lathosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactose Catabolic Process Via Udp-Galactose, Leloir Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hulc Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Floor Plate Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Floor Plate Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Unknown, Cell Cycle
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via Saccharopine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via L-Pipecolate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Oxidase -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Map Kinase Phosphatase Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Map Kinase Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Response To Vitamin B3 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rdna Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, RNA Spliceosome
GO Term: Cellular Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Multicellular Organismal Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, DNA Repair
GO Term: Slx1-Slx4 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Protein Lysine Deacetylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Folate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dorsal/Ventral Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Epigenetic
GO Term: Anterior/Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Escrt-0 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Gamma-Tubulin Complex Localization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Dna Replication, Okazaki Fragment Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Transferrin Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Response To Testosterone -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Elongator Holoenzyme Complex -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Response To Cobalamin -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Rna Strand Annealing Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Brca2-Mage-D1 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Hydroxyisoflavone -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Response To Genistein -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Tsc1-Tsc2 Complex -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Mitotic Checkpoint Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Dopamine Secretion -> Biodomain: Synapse, Neurotransmission, Neuronal Activity, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Oxalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Receptor Serine/Threonine Kinase Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Mitochondrial Cytochrome C Oxidase Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Membrane Protein Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Integrin Activation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Integrin Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Integrin Activation -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Integrin Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Integrin Activation By Cell Surface Receptor Linked Signal Transduction -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Endolysosome
GO Term: Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Negative Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Unknown
GO Term: Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Unknown
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Cell-Cell Adhesion, Integrin-Mediated Signaling, Cell Adhesion, Regulation Of Cell Adhesion, Extracellular Matrix Organization
GO Term: Negative Regulation Of Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: 5'-3' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: 3'-5' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Luteinizing Hormone Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Luteinizing Hormone Secretion -> Biodomain: Synapse, Epigenetic, Immune Response, Oxidative Stress, Unknown
GO Term: Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Unknown, Proteostasis
GO Term: Negative Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Sialic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Neurofilament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Heterochromatin Boundary Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Dna 5'-Adenosine Monophosphate Hydrolase Activity -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Myelination, Autophagy
GO Term: 3-Beta-Hydroxy-5-Beta-Steroid Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown, DNA Repair
GO Term: Aldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Aspartate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptide-Methionine (R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: L-Methionine:Thioredoxin-Disulfide S-Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: L-Methionine-(R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Histone H3R2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Unknown
GO Term: Histone H4R3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Indoleamine 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Glucagon -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Steroid Dehydrogenase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown, Apoptosis
GO Term: Cholesterol 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: 24S-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Unknown
GO Term: 25-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response, Vasculature
GO Term: Cyanocobalamin Reductase (Cyanide-Eliminating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoyl-Coa 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Thyroxine 5-Deiodinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Propanoyl-Coa C-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipoyl(Octanoyl) Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Procollagen Glucosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: N-Acetyl-Beta-Glucosaminyl-Derivative 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Glycosylation, Protein Modification, Enzyme Activity, Metabolic Processes, Lipid Metabolism
GO Term: 5-Diphosphoinositol Pentakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: N-Acetylgalactosamine Kinase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Negative Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Ump Kinase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Fas-Activated Serine/Threonine Kinase Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Choloyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyridoxal Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 10-Hydroxy-9-(Phosphonooxy)Octadecanoate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: N-Sulfoglucosamine-3-Sulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Deoxyribonuclease (Pyrimidine Dimer) Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Ribonuclease T2 Activity -> Biodomain: RNA Spliceosome, Immune Response, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Hyaluronoglucuronidase Activity -> Biodomain: Carbohydrate Metabolism, Extracellular Matrix Organization, Tissue Development, Carbohydrate Metabolic Process, Polysaccharide Metabolic Process
GO Term: Glucan 1,3-Alpha-Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Mannosyl-Glycoprotein Endo-Beta-N-Acetylglucosaminidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Cis-Stilbene-Oxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Endolysosome, Vasculature
GO Term: P-Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Synapse, Unknown
GO Term: Cholesterol-5,6-Oxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Box H/Aca Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: D-Dopachrome Decarboxylase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Response To Lipid -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Fad-Amp Lyase (Cyclizing) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Response To Silicon Dioxide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Deoxyhypusine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: 8-Oxo-7,8-Dihydroguanine Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Atpase-Coupled Lipid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Abc-Type Sterol Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Poly(G) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Symbiont-Induced Defense-Related Programmed Cell Death -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Estrogen Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Rna Strand-Exchange Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: 5'-3' Rna Polymerase Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, RNA Spliceosome
GO Term: Ric1-Rgp1 Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Unknown
GO Term: Protein Localization To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Unknown
GO Term: Cenp-A Containing Chromatin Assembly -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Unknown
GO Term: Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Unknown
GO Term: Establishment Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Establishment Of Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
