Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Catabolic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: N-Acetylmannosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Carbohydrate Metabolism, Proteostasis, Endolysosome
GO Term: N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Myelination, APP Metabolism
GO Term: Cmp-N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mannoprotein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Sorbitol Metabolic Process -> Biodomain: Carbohydrate Metabolism, Polyol Metabolism, Metabolic Pathways, Small Molecule Biochemistry, Energy Metabolism
GO Term: Sorbitol Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Udp-Glucuronate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Alcohol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Ethanol Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ethanol Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Glycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-3-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aldehyde Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Organic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glyoxylate Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Tricarboxylic Acid Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Citrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isocitrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 2-Oxoglutarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Succinyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Succinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolic Process, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Fumarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Oxaloacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Malate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Energy Reserve Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Energy Metabolism, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Mitochondrial Electron Transport, Succinate To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Electron Transport, Ubiquinol To Cytochrome C -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Electron Transport, Cytochrome C To Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Glycerol-3-Phosphate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Purine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: Guanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Inosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Deoxyinosine Catabolic Process -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Purine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Adenosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Deoxyadenosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Deoxyguanosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Purine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Purine Ribonucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Adenine Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Camp Biosynthetic Process -> Biodomain: Signaling, Metabolism, Neurotransmission, Immune Response, Cell Cycle
GO Term: Adp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Dadp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Datp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Gmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: Guanine Salvage -> Biodomain: Mitochondrial Metabolism, Nucleotide Metabolism, Small Molecule Metabolic Process, Biosynthetic Process, Nucleobase Metabolic Process
GO Term: Cgmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Gtp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dgdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Imp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: 'De Novo' Imp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Itp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Purine Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Lipid Metabolism
GO Term: Amp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: Camp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Gmp Catabolic Process To Guanine -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Dgtp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Imp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Pyrimidine Nucleobase Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: 'De Novo' Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Pyrimidine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Thymine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Uracil Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Pyrimidine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Thymidine Catabolic Process -> Biodomain: DNA Repair  
Mitochondrial Metabolism  
Oxidative Stress  
Proteostasis  
Lipid Metabolism
GO Term: Uridine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Pyrimidine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, RNA Spliceosome
GO Term: Pyrimidine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Proteostasis
GO Term: Udp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Dump Biosynthetic Process -> Biodomain: DNA Repair  
Mitochondrial Metabolism  
Cell Cycle  
Autophagy  
Proteostasis
GO Term: Dudp Biosynthetic Process -> Biodomain: DNA Repair  
Mitochondrial Metabolism  
Epigenetic  
Cell Cycle  
Metal Binding and Homeostasis
GO Term: Utp Biosynthetic Process -> Biodomain: RNA Spliceosome  
Mitochondrial Metabolism  
Cell Cycle  
Autophagy  
Lipid Metabolism
GO Term: Dtmp Biosynthetic Process -> Biodomain: DNA Repair  
Cell Cycle  
Mitochondrial Metabolism  
Epigenetic  
Lipid Metabolism
GO Term: Dtdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Dttp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ctp Biosynthetic Process -> Biodomain: Nucleotide Metabolism, Biosynthetic Process, RNA Metabolism, Small Molecule Metabolic Process, Mitochondrial Metabolism
GO Term: Cmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Dcmp Catabolic Process -> Biodomain: Cell Cycle  
DNA Repair  
Mitochondrial Metabolism  
Autophagy  
Proteostasis
GO Term: Dctp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Ctp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Udp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Dna Topological Change -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Replication, Synthesis Of Primer -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Leading Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Lagging Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Rna-Templated Dna Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Autophagy
GO Term: Base-Excision Repair -> Biodomain: DNA Repair, Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Base-Excision Repair, Ap Site Formation -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Autophagy
GO Term: Base-Excision Repair, Gap-Filling -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Nucleotide-Excision Repair -> Biodomain: DNA Repair  
DNA Damage Response  
Cell Cycle  
Epigenetic  
Proteostasis
GO Term: Pyrimidine Dimer Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Nucleotide-Excision Repair, Preincision Complex Assembly -> Biodomain: DNA Repair, DNA Damage Response, Proteostasis, Cellular Response to Stress, Protein-Containing Complex Assembly
GO Term: Nucleotide-Excision Repair, Dna Gap Filling -> Biodomain: DNA Repair, DNA Damage Response, DNA Metabolism, Cellular Stress Response, Genome Integrity
GO Term: Mismatch Repair -> Biodomain: DNA Repair, DNA Metabolism, Genomic Stability, Cancer Biology, Cell Cycle
GO Term: Postreplication Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, DNA Damage Response, Genome Integrity, Cell Cycle, Chromatin Remodeling
GO Term: Dna Modification -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Dna Alkylation Repair -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Dna Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Meiotic Gene Conversion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Transposition -> Biodomain: DNA Repair, DNA Metabolism, Genetic Recombination, Epigenetic, Cell Cycle
GO Term: Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleosome Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Dna Replication-Dependent Chromatin Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nucleosome Disassembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Transcriptional Regulation, Cell Cycle, Proteostasis
GO Term: Dna Methylation-Dependent Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Dna-Templated Transcription Termination -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, RNA Spliceosome
GO Term: Transcription Initiation At Rna Polymerase I Promoter -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Transcription Elongation By Rna Polymerase I -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Rrna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Transcription Initiation At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic  
DNA Repair  
Cell Cycle  
RNA Spliceosome  
Proteostasis
GO Term: Termination Of Rna Polymerase Ii Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: 7-Methylguanosine Mrna Capping -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Mrna Splice Site Recognition -> Biodomain: RNA Spliceosome, Gene Expression, Macromolecular Complex, Nucleic Acid Metabolism, Structural Stabilization
GO Term: Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Transcription Initiation At Rna Polymerase Iii Promoter -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Termination Of Rna Polymerase Iii Transcription -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Trna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress, Apoptosis
GO Term: Transcription Initiation At Mitochondrial Promoter -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Transcription Elongation By Mitochondrial Rna Polymerase -> Biodomain: Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Autophagy, DNA Repair
GO Term: Termination Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mrna 3'-End Processing By Stem-Loop Binding And Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Trna Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Trna Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Mrna Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Rna Localization -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: Rna Import Into Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Snrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Trna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Translation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Translational Initiation -> Biodomain: Proteostasis, Gene Expression, Translation, Protein Synthesis, Metabolic Process
GO Term: Translational Elongation -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Translational Termination -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Regulation Of Translation -> Biodomain: Proteostasis, Cell Cycle, Synapse, Immune Response, Apoptosis
GO Term: Trna Aminoacylation For Protein Translation -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Alanyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Arginyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Asparaginyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aspartyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic
GO Term: Cysteinyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, RNA Spliceosome
