Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Hyaluranon Cable -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Platelet-Derived Growth Factor -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cellular Response To Platelet-Derived Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Double-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Bmp Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Sperm Flagellum -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Catsper Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Prostaglandin H2 Endoperoxidase Reductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin D2 11-Ketoreductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: 12-Hydroxyheptadecatrienoic Acid Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Schwann Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Peptidyl-Histidine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: [Protein]-Asparagine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Kringle Domain Binding -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Dendritic Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Response To Mycotoxin -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Phosphatidylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Phosphatidylinositol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphatidylserine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphatidylethanolamine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Triglyceride Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Inner Dynein Arm -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Outer Dynein Arm -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Synapse, Cell Cycle
GO Term: Outer Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Inner Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Phenotypic Switching -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Glutaredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Osteoclast Maturation -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: 13-Lipoxin Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Vasculature
GO Term: Early Phagosome Membrane -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Muscle Cell Projection Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Modification Process -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Contractile Ring Contraction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dttp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gtp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Itp Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic
GO Term: Utp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic
GO Term: Xtp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Localization To Nuclear Inner Membrane -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Peroxisome Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Response To Methylamine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Multivesicular Body Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Multivesicular Body Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: 7-Methylguanosine Cap Hypermethylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Rna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Swimming -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Oxidative Stress, Autophagy
GO Term: Swimming Behavior -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Tubulobulbar Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Saga Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Peptidyl-Serine Autophosphorylation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Vasculature, Proteostasis
GO Term: Cellular Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Vasculature
GO Term: Cellular Response To Increased Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Recombinational Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Atrioventricular Canal Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Autophagy
GO Term: Umbilical Cord Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ameloblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Embryonic Heart Tube Elongation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Protein Localization To M-Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Atp-Dependent Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Regulatory Subunit Binding -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Catalytic Subunit Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Cell Cycle
GO Term: Cellular Response To Sterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Srebp-Scap Complex Retention In Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Tyrosyl-Rna Phosphodiesterase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Ghrelin Secretion -> Biodomain: Metabolic Pathways, Peptide Hormone Secretion, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Vascular Endothelial Growth Factor Receptor-1 Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Receptor-3 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Endolysosome, Epigenetic, Structural Stabilization
GO Term: Placental Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Hepatocyte Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Intestinal Stem Cell Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Dendritic Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Lymphocyte Adhesion To Endothelial Cell Of High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Cell Adhesion, Cell Migration, Inflammation
GO Term: Post-Anal Tail Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Psychomotor Behavior -> Biodomain: Synapse, Myelination, Tau Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Platelet Morphogenesis -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Platelet Maturation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism
GO Term: Renal Potassium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Light Adaption -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Cone Photoresponse Recovery -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Protein Localization To T-Tubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Opsin Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Fucose Mutarotase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Glutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sodium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Calcitriol Biosynthetic Process From Calciol -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Myofilament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cdp Phosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Thiocyanate Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Rna N6-Methyladenosine Methyltransferase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Tcr Signalosome -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Tcr Signalosome Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Proteasome-Activating Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Arachidonate 8(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Histone H3K14 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3-K14 Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Trna Stabilization -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Autophagy, Endolysosome
GO Term: L-Phosphoserine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Cmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Dcmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: K48-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Maintenance Of Lens Transparency -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Metabolic Pathways, Carbohydrate Metabolism, Enzyme Activity
GO Term: Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Neuronal Stem Cell Division -> Biodomain: Cell Cycle, Stem Cells, Developmental Biology, Neurogenesis, Cell Proliferation
GO Term: Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Microtubule Minus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: L-Methionine-(S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Keratohyalin Granule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Hepatocyte Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Epigenetic
GO Term: Bloc-2 Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trail Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Cytoplasmic Ribonucleoprotein Granule -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Synapse
GO Term: Synaptic Vesicle Recycling -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Recycling Via Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 5-Hydroxy-L-Tryptophan Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Dopa Decarboxylase Activity -> Biodomain: Neurotransmitter, Metabolism, Catecholamine, Biosynthesis, Amino Acid Metabolism
GO Term: Tyrosine 3-Monooxygenase Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Glyoxal -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Somatodendritic Compartment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: L-Dopa Decarboxylase Activator Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Peroxidase Inhibitor Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Metal Binding and Homeostasis
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Tau Homeostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Trunk Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Ventral Trunk Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Epigenetic
GO Term: Nitric-Oxide Synthase Inhibitor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Chop-C/Ebp Complex -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ufd1-Npl4 Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Derlin-1-Vimp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Prosaposin Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Maintenance Of Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Alpha-1,2-Demannosylation -> Biodomain: Proteostasis, Glycosylation, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Derlin-1 Retrotranslocation Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Dopaminergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Serotonergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Chemoattraction Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Tau Homeostasis, Lipid Metabolism
GO Term: Chemoattraction Of Serotonergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Chemorepulsion Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Astrocyte-Dopaminergic Neuron Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Protein Deglycase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Deglycation -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Paracrine Signaling -> Biodomain: Synapse, Immune Response, Apoptosis, Lipid Metabolism, Vasculature
GO Term: G Protein-Coupled Opioid Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission, Neuropeptide Signaling, Receptor Signaling, Neuronal Signaling
GO Term: Epidermal Growth Factor Receptor Ligand Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Netrin-Activated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Vasculature, Immune Response
GO Term: Regulation Of Signal Transduction By Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Insulin Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Wnt Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Insulin Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Leptin Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: G Protein-Coupled Olfactory Receptor Activity -> Biodomain: Signal Transduction, Membrane Receptor, Sensory Perception, Cell Signaling, Chemical Sensing
GO Term: Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Cargo Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Reelin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Reelin-Mediated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis By Vegf-Activated Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Ligand-Independent Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle, Immune Response
GO Term: Sphingosine-1-Phosphate Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Vasculature, Immune Response
GO Term: G Protein-Coupled Receptor Dimeric Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: G Protein-Coupled Receptor Homodimeric Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: G Protein-Coupled Receptor Heterodimeric Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Cross-Receptor Inhibition Within G Protein-Coupled Receptor Heterodimer -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Vasculature
GO Term: Interleukin-5-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Enkephalin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Morphine Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Dynorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Estrogen Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Nitric Oxide-Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Tyrosine Kinase Collagen Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Collagen-Activated Tyrosine Kinase Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Collagen Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Collagen-Activated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: P38Mapk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Oxidative Stress, Apoptosis
GO Term: Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Endolysosome, Structural Stabilization, Proteostasis
