Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Secretion By Lung Epithelial Cell Involved In Lung Growth -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Olfactory Bulb Mitral Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Cell Cycle
GO Term: Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Uterus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Female Gonad Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Somite Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Muscle Structure Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Iris Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Ciliary Body Morphogenesis -> Biodomain: Structural Stabilization, Muscle System, Vasculature, Body Fluid Regulation, Sensory Organ System
GO Term: Regulation Of Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Vasculature
GO Term: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Lung Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Neuroendocrine Cell Differentiation -> Biodomain: Endocrine Function, Neuronal Function, Cell Differentiation, Cell Development, Secretion
GO Term: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Carotid Body Glomus Cell Differentiation -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Structural Stabilization
GO Term: Adrenal Chromaffin Cell Differentiation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Seminal Vesicle Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Pancreas Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Branching Involved In Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Lung Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Morphogenesis Of A Branching Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: Alveolar Primary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Alveolar Secondary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Lung Smooth Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Trachea Gland Development -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Oxidative Stress, Immune Response, Proteostasis
GO Term: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Establishment Of Monopolar Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Polarization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Autophagy
GO Term: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Mammary Gland Epithelium Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Vasculature
GO Term: Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Taste Bud Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Vasculature
GO Term: Fungiform Papilla Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Synapse
GO Term: Fungiform Papilla Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Autophagy
GO Term: Fungiform Papilla Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Paramesonephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Immune Response
GO Term: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Cerebellum Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Cornea Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Notch Signaling Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Renal Tubule Development -> Biodomain: Vasculature, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Renal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Autophagy
GO Term: Wnt Protein Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Vasculature, Synapse, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Optic Chiasma Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Synapse, Neuronal Signaling, Behavioral Neuroscience, Sensory Processing, Oxidative Stress
GO Term: Behavioral Response To Formalin Induced Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Myelination, Vasculature
GO Term: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Cell Cycle, Apoptosis
GO Term: Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Determination Of Heart Left/Right Asymmetry -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Mammillary Axonal Complex Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Autophagy
GO Term: Mammillothalamic Axonal Tract Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Mammary Gland Lobule Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Inferior Colliculus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Cell Cycle
GO Term: Cell Migration In Diencephalon -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Heart Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Closure Of Optic Fissure -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Autophagy, Apoptosis
GO Term: Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Cellular Response To Methionine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cellular Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Establishment Of Skin Barrier -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Renal Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endocardial Cushion Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Endocardial Cushion Cell Fate Commitment -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Reproductive System Development -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Phagolysosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Response To Tnf Agonist -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Memory T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Synapse
GO Term: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Myeloid Cell Development -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Monocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Microglial Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Synapse, Structural Stabilization, Endolysosome
GO Term: Macrophage Homeostasis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Langerhans Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Proteostasis
GO Term: Cilium Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Hindgut Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Acetylcholine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Neurotransmission, Synaptic Transmission, Neuronal Signaling, Cell Signaling
GO Term: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Myelination
GO Term: Sympathetic Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Cranial Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Trigeminal Ganglion Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Axon Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Actin Filament Bundle Retrograde Transport -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Cell Cycle
GO Term: Asap Complex -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Colon Epithelial Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Intestinal Epithelial Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Calcium Activated Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome
GO Term: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Molybdopterin Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin Molybdotransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nuclear Import Signal Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Mirna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Autophagy, Cell Cycle
GO Term: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Micos Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Canonical Glycolysis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Glycolytic Process From Galactose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Oxidative Stress
