Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Autophagy, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Autophagy, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Vasculature, Immune Response, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Gene Expression Regulation
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Apoptosis, Cell Cycle, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Apoptosis, Autophagy
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Mesoderm Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Vasculature
GO Term: Positive Regulation Of Mesoderm Development -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Ectoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Vasculature, Epigenetic
GO Term: Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Structural Stabilization
GO Term: Negative Regulation Of T Cell Migration -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Positive Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Fibronectin-Dependent Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Eosinophil Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Eosinophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Cytokinesis, Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Regulation Of Astrocyte Chemotaxis -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Proteostasis
GO Term: Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Apoptosis
GO Term: Positive Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Granzyme A Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Cell Activation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process Involved In Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Positive Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of B Cell Chemotaxis -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Gastrulation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Synapse, Endolysosome, Proteostasis
GO Term: Negative Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Activation, Adaptive Immunity
GO Term: Positive Regulation Of T-Helper 1 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Immunoglobulin Production In Mucosal Tissue -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Memory T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T-Helper 2 Cell Activation -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Interleukin-4-Dependent Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Metanephric Dct Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Optic Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Mesonephros Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Regulation Of Thyroid Hormone Generation -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Thyroid-Stimulating Hormone Secretion -> Biodomain: Endocrine, Signaling Pathways, Neurotransmission, Development, Cell Communication
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mirna Catabolic Process -> Biodomain: Autophagy, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Mirna Catabolic Process -> Biodomain: Epigenetic, Endolysosome, Autophagy, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Positive Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cell Biology, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transporter Activity -> Biodomain: Vasculature, Synapse, Endolysosome, Myelination, Structural Stabilization
GO Term: Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
