Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Apoptosis
GO Term: Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Insulin Signaling, Signaling Pathways, Receptor Signaling, Cell Growth And Proliferation, Metabolic Processes
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Ear Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Epigenetic
GO Term: Nose Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Epigenetic
GO Term: Nose Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Epigenetic, Cell Cycle
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Myelination
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Skin Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Skin Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Nitrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amide Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Amide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
GO Term: Astrocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Response To Estrogen -> Biodomain: Cell Cycle, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis, Endolysosome
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Host Cell -> Biodomain: Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Axon Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cell Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytidine Kinase Activity -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome, Mitochondrial Metabolism
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acireductone Synthase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Suramin Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, DNA Repair, Metal Binding and Homeostasis
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Immune Response, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Cellular Component Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, Chromatin Organization, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Cell Cycle
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of System Process -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Myelination
GO Term: Regulation Of Respiratory System Process -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Proteostasis, Autophagy
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Cytolytic Granule -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy, DNA Repair
GO Term: Translation Initiation Ternary Complex -> Biodomain: Translation, Protein Synthesis, RNA Binding, Gene Expression, Translation Regulation
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome
GO Term: Ctp Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Lipid Metabolism
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Apical Pole Of Neuron -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Organelle Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Polysaccharide Digestion -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cell-Cell Contact Zone -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Lipid Metabolism
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell Body -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: C-Fiber -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Main Axon -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Tau Homeostasis, Proteostasis
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, Ubiquitin System, DNA Repair, Apoptosis, Immune Response
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Proteostasis
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Signal Transduction
GO Term: Response To Leptin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Transmembrane Transporter Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dendritic Spine Neck -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis, Cell Cycle
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Stem Cells, Cell Differentiation, Cell Signaling, Developmental Biology, Transcription Regulation
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Macropinosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, DNA Repair, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Rrna Stability -> Biodomain: RNA Spliceosome, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Peroxisome Size -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Structural Stabilization
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, RNA Spliceosome, Epigenetic
GO Term: Microspike -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Proteostasis
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nsl Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Daunorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, RNA Spliceosome
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Synapse
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Tooth Eruption -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Immune Response
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Autophagy, Cell Cycle
