Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Developmental Induction -> Biodomain: Developmental Processes, Cell Differentiation, Morphogenesis, Cell Signaling, Tissue Development
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Epigenetic, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Axon Diameter -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Ubiquitin-Proteasome System, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Rrna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Structural Stabilization, Biomineralization, Sensory Organ Development, Extracellular Matrix Organization, Developmental Processes
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphopantetheine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Peptide Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Poz Domain Binding -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, DNA Repair, APP Metabolism
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Rsf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Auditory Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Proteostasis
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Cellular Component Assembly, Organelle Organization
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Cell Cycle
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Immune Response, Cell Cycle, Vasculature
GO Term: Cell Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Uropod Membrane -> Biodomain: Immune Response, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Autophagy
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Structural Stabilization  
Synapse  
Immune Response  
Proteostasis  
Autophagy
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse  
Structural Stabilization  
Tau Homeostasis  
Cell Cycle  
Autophagy
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Lipid Metabolism
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rnai Effector Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Apoptosis
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis  
Structural Stabilization  
Autophagy  
Mitochondrial Metabolism  
Apoptosis
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Vasculature
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune Response, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Translation, Proteostasis, Protein Synthesis, RNA Metabolism, Cellular Stress Response
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Ubiquitination, Autophagy, Apoptosis, Epigenetic
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Endolysosome
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Chloride Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Immune Response
GO Term: Carboxylic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Natb Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Natc Complex -> Biodomain: Proteostasis, Protein Acetylation, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Epithelial Cell Differentiation, Developmental Process, Tissue Development
GO Term: Response To Methotrexate -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: M Band -> Biodomain: Structural Stabilization, Contractile Fiber, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Vasculature
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Immune Response, Cell Cycle
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Glycine Betaine Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Apoptosis
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Endolysosome
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Endolysosome
GO Term: Nuclear Membrane Reassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Myosin V Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Myosin V Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Myb Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Filopodium Membrane -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Ruffle Organization -> Biodomain: Cell Motility, Cytoskeleton Organization, Cell Adhesion, Membrane Dynamics, Signal Transduction
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle  
DNA Repair  
Apoptosis  
Proteostasis  
Oxidative Stress
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Centrosomal Corona -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle  
Reproductive Process  
DNA Repair  
Epigenetic  
Structural Stabilization
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Inflammatory Response, Oxidative Stress, Response to Stress, Defense Response
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Inflammatory Response, Response to Stress, Homeostatic Process, Regulation of Biological Process
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Beta-Endorphin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Telomere Maintenance, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Vesicle Trafficking, Exocytosis/Endocytosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination  
Nervous System Development  
Developmental Processes  
Cell Differentiation  
Glial Cell Development
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, Autophagy, Myelination
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
