Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Developmental Induction -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Endolysosome
GO Term: Regulation Of Axon Diameter -> Biodomain: Structural Stabilization, Proteostasis, Myelination, Synapse, Autophagy
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Cell Cycle
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Rrna Methylation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Synapse, Cell Cycle
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Phosphopantetheine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Peptide Modification -> Biodomain: Proteostasis, Epigenetic, Autophagy, Immune Response, Oxidative Stress
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Poz Domain Binding -> Biodomain: Protein Interaction, Epigenetic, Transcription, Cell Signaling, DNA Repair
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Rsf Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Auditory Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Immune Response, Structural Stabilization, Synapse, Proteostasis, Vasculature
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Immune Response
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Cell Projection Membrane -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism, Myelination
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, Vasculature
GO Term: Uropod Membrane -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Pseudopodium Membrane -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Structural Stabilization, Immune Response
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Cell Cycle, Synapse, Autophagy, Endolysosome
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Proteostasis
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Tau Homeostasis
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Vasculature
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Rnai Effector Complex -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Apoptosis, Signal Transduction
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Chloride Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Carboxylic Acid Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Synapse
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Apoptosis
GO Term: Natb Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Natc Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Keratinization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Response To Methotrexate -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: M Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Signal Transduction, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Glycine Betaine Transport -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, DNA Repair, Oxidative Stress
GO Term: Nuclear Membrane Reassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Myosin V Complex -> Biodomain: Intracellular Trafficking, Cytoskeleton, Vesicle Trafficking, Calcium Signaling, Signal Transduction
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Myosin V Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Synapse
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis
GO Term: Myb Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Brush Border Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Filopodium Membrane -> Biodomain: Synapse, Structural Stabilization, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Ruffle Organization -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Endocrine, Signaling, Reproductive System, Peptide Binding, GPCR Signaling
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, APP Metabolism, Synapse
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Endolysosome
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Apoptosis, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Calcium Signaling, Signal Transduction, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Centrosomal Corona -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Autophagy, Lipid Metabolism
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Beta-Endorphin Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, APP Metabolism
GO Term: Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Autophagy, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
