Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Immune Response
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Ear Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Myelination
GO Term: Nose Development -> Biodomain: Structural Stabilization, Epigenetic, Autophagy, Apoptosis, Vasculature
GO Term: Nose Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Muscle System, Embryonic Development, Sensory System, Cell Differentiation
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Muscle System, Epigenetic, Lipid Metabolism
GO Term: Skin Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Skin Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Nitrate Catabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Amide Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Metal Binding and Homeostasis
GO Term: Amide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Astrocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Endolysosome
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Response To Estrogen -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Vasculature
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Autophagy, Apoptosis
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Host Cell -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Axon Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cell Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cytidine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Glycine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Cell Cycle
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Acireductone Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Suramin Binding -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Immune Response, Cell Cycle
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Component Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, DNA Repair
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of System Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Respiratory System Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Synapse, Epigenetic
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Oxidative Stress, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Myelination, Cell Cycle
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Cytolytic Granule -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Translation Initiation Ternary Complex -> Biodomain: Proteostasis, Translation Initiation, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Ctp Salvage -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Lipid Metabolism
GO Term: Apical Pole Of Neuron -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Myelination
GO Term: Organelle Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Polysaccharide Digestion -> Biodomain: Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell-Cell Contact Zone -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Cell Body -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization, Autophagy
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: C-Fiber -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Main Axon -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Endolysosome
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Epigenetic
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, DNA Repair, Immune Response, Apoptosis, Epigenetic
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Neural, CNS
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Leptin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Cell Cycle, Apoptosis
GO Term: Transmembrane Transporter Binding -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Dendritic Spine Neck -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Macropinosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Rrna Stability -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, RNA Spliceosome
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Peroxisome Size -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse, Autophagy
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Apoptosis
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Microspike -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, RNA Spliceosome, Autophagy
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nsl Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Hematopoiesis, Endolysosome, Proteostasis
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Daunorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Proteostasis, Oxidative Stress
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Tooth Eruption -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
