Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Sorbitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Udp-Glucuronate Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Unknown, Immune Response
GO Term: Alcohol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ethanol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ethanol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-3-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aldehyde Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Organic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Acetyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Acetyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lactate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Immune Response
GO Term: Pyruvate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Glyoxylate Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, DNA Repair, Epigenetic, Cell Cycle
GO Term: Tricarboxylic Acid Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Citrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isocitrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: 2-Oxoglutarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Succinyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Heme Metabolism, Metabolic Pathways, Coenzyme Metabolism
GO Term: Succinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fumarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Unknown, Autophagy
GO Term: Oxaloacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Malate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Energy Reserve Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Electron Transport, Succinate To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Mitochondrial Electron Transport, Ubiquinol To Cytochrome C -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Electron Transport, Cytochrome C To Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerol-3-Phosphate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Purine Nucleobase Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Purine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Guanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Unknown
GO Term: Inosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome, Unknown
GO Term: Deoxyinosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Purine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Adenosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Deoxyadenosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Deoxyguanosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Autophagy
GO Term: Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Apoptosis, Proteostasis
GO Term: Purine Nucleotide Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Purine Ribonucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Adenine Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Unknown, Unknown
GO Term: Camp Biosynthetic Process -> Biodomain: Immune Response, Autophagy, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Adp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Apoptosis
GO Term: Dadp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Datp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Gmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Metal Binding and Homeostasis, DNA Repair
GO Term: Guanine Salvage -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Cgmp Biosynthetic Process -> Biodomain: Vasculature, Oxidative Stress, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Gtp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Dgdp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Imp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: 'De Novo' Imp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Itp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Cell Cycle
GO Term: Purine Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Amp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Camp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Gmp Catabolic Process To Guanine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Dgtp Catabolic Process -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Imp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Autophagy
GO Term: Pyrimidine Nucleobase Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism
GO Term: 'De Novo' Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Unknown, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Pyrimidine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Thymine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Unknown
GO Term: Uracil Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Oxidative Stress
GO Term: Pyrimidine Nucleoside Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Thymidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Endolysosome, Cell Cycle
GO Term: Uridine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Pyrimidine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Pyrimidine Nucleotide Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Udp Biosynthetic Process -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dump Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Dudp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Utp Biosynthetic Process -> Biodomain: RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Dtmp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Dtdp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Dttp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Unknown, Epigenetic
GO Term: Ctp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis
GO Term: Cmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Dcmp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Unknown
GO Term: Dctp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Unknown
GO Term: Ctp Catabolic Process -> Biodomain: Cell Cycle, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Udp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Dna Topological Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Dna Replication, Synthesis Of Primer -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Leading Strand Elongation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Lagging Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Rna-Templated Dna Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Immune Response, Unknown
GO Term: Dna Repair -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Base-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Base-Excision Repair, Ap Site Formation -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Apoptosis
GO Term: Base-Excision Repair, Gap-Filling -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nucleotide-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Pyrimidine Dimer Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Nucleotide-Excision Repair, Preincision Complex Assembly -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Nucleotide-Excision Repair, Dna Gap Filling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Autophagy
GO Term: Mismatch Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Postreplication Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Dna Modification -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Dna Alkylation Repair -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Dna Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Unknown, Mitochondrial Metabolism
GO Term: Meiotic Gene Conversion -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Nucleosome Assembly -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Dna Replication-Dependent Chromatin Assembly -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleosome Disassembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Transcriptional Regulation, DNA Replication, Cell Cycle
GO Term: Dna Methylation-Dependent Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Dna-Templated Transcription Termination -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Unknown
GO Term: Transcription By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Transcription Initiation At Rna Polymerase I Promoter -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Transcription Elongation By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Unknown, DNA Repair
GO Term: Termination Of Rna Polymerase I Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Rrna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Initiation At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Unknown
GO Term: Termination Of Rna Polymerase Ii Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: 7-Methylguanosine Mrna Capping -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, DNA Repair, Unknown
GO Term: Mrna Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Immune Response, Metal Binding and Homeostasis
GO Term: Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Unknown
GO Term: Transcription Initiation At Rna Polymerase Iii Promoter -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Termination Of Rna Polymerase Iii Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Cell Cycle, Proteostasis
GO Term: Trna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Transcription Initiation At Mitochondrial Promoter -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Autophagy
GO Term: Transcription Elongation By Mitochondrial Rna Polymerase -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Termination Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mrna 3'-End Processing By Stem-Loop Binding And Cleavage -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Trna Metabolic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Trna Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rna Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Rna Localization -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Import Into Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Snrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Autophagy, Apoptosis
GO Term: Trna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Translation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Unknown
GO Term: Translational Elongation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Translational Termination -> Biodomain: Proteostasis, Unknown, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Regulation Of Translation -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Trna Aminoacylation For Protein Translation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Alanyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Arginyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Asparaginyl-Trna Aminoacylation -> Biodomain: Protein Synthesis, Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, RNA Binding and Modification
GO Term: Aspartyl-Trna Aminoacylation -> Biodomain: Protein Synthesis, RNA Metabolism, Translation, Amino Acid Metabolism, Enzyme Activity
GO Term: Cysteinyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Glutamyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Glutaminyl-Trna Aminoacylation -> Biodomain: Protein Synthesis, Translation, tRNA Processing, Metabolism, Cellular Biogenesis
GO Term: Glycyl-Trna Aminoacylation -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Histidyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Isoleucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Epigenetic
GO Term: Leucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Lysyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown, Autophagy
GO Term: Methionyl-Trna Aminoacylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Phenylalanyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Unknown, Mitochondrial Metabolism, Autophagy
GO Term: Prolyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Autophagy, Endolysosome
