Running with TEMP=0.1, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Endothelial Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Intermicrovillar Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Lipid Metabolism
GO Term: Calcium Ion Transmembrane Transport Via Low Voltage-Gated Calcium Channel -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Reversible Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Scc2-Scc4 Cohesin Loading Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Adaptive Immune Memory Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Adaptive Immune Memory Response Involving T Cells And B Cells -> Biodomain: Immune Response, Epigenetic, Synapse, Mitochondrial Metabolism, Apoptosis
GO Term: Primary Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Primary Adaptive Immune Response Involving T Cells And B Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Receptor-Receptor Interaction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Central Region Of Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Las1 Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Cofilin-Actin Rod -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tenascin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Site Of Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Telomere Maintenance Via Telomere Trimming -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Glycolysis From Storage Polysaccharide Through Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Oxidative Stress
GO Term: Ceramide Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome, Proteostasis
GO Term: Adipokinetic Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Adipokinetic Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Energy Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Phagocytic Vesicle Lumen -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ciliary Plasm -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: L27 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Renal Protein Absorption -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Renal Albumin Absorption -> Biodomain: Proteostasis, Endolysosome, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Copii Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Lymphocyte Migration Into Lymphoid Organs -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Lymphocyte Migration Into Lymph Node -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Fructose 6-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mpp7-Dlg1-Lin7 Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Ubiquitin-Protein Transferase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, APP Metabolism, Apoptosis
GO Term: Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Mature Conventional Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Membrane Lipid Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Plasma Membrane Sterol Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Heme Export -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Perinuclear Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Phosphatidylserine Exposure On Blood Platelet -> Biodomain: Apoptosis, Lipid Metabolism, Vasculature, Immune Response, Proteostasis
GO Term: Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: L-Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Kynurenine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Agmatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Traf2-Gstp1 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Crlf-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cntfr-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Vasculature
GO Term: Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterior Head Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Myelination
GO Term: Response To Thyroid Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Response To Thyroxine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Thyroxine Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ductus Arteriosus Closure -> Biodomain: Vasculature, Structural Stabilization, Developmental Processes, Angiogenesis, Cell Growth and Proliferation
GO Term: Plasma Membrane Selenite Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Vascular Associated Smooth Muscle Cell Development -> Biodomain: Vasculature, Muscle System, Cell Differentiation, Proliferation, and Death, Structural Stabilization, Vascular Inflammation
GO Term: Methyl-Branched Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Craniofacial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Supercoiled Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Blood Vessel Endothelial Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Endothelial Tip Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hedgehog Family Protein Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Neuroligin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Scaffold Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gamma-Aminobutyric Acid Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Nmda Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Neurexin Clustering Involved In Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Guanylate Kinase-Associated Protein Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuroligin Clustering Involved In Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: Cyclin A1-Cdk1 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cyclin A2-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Cyclin A1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Cyclin A2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Cyclin B1-Cdk1 Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Cyclin D1-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Cyclin D2-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin D3-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Cyclin D1-Cdk6 Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Cyclin D2-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Cyclin D3-Cdk6 Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Cyclin E1-Cdk2 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Epigenetic
GO Term: Cyclin E2-Cdk2 Complex -> Biodomain: Cell Cycle, Cell Signaling, DNA Replication, Cell Cycle Control, Oncogenesis
GO Term: Bcl-2 Family Protein Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Bad-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Bim-Bcl-Xl Complex -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Bim-Bcl-2 Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Bax Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Bak Complex -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Centralspindlin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Neuronal Stem Cell Population Maintenance -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Gabaergic Neuron Differentiation -> Biodomain: Synapse, Neurogenesis, Neuronal Development, Cell Differentiation, Structural Stabilization
GO Term: Fasciculation Of Sensory Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Fasciculation Of Motor Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Cell Cycle
GO Term: Pre-Mrna Intronic Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Pre-Mrna Intronic Pyrimidine-Rich Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Polychlorinated Biphenyl Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dh Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Mads Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Sulfur Carrier Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Circadian Regulation Of Translation -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Mitochondrial Metabolism
GO Term: Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Aim2 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epoxide Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Mitochondrial Ribosome Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Protease Inhibitor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Serine Protease Inhibitor Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Oxidative Stress
GO Term: Protein C Inhibitor-Coagulation Factor V Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Protein C Inhibitor-Coagulation Factor Xa Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor Xi Complex -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Response To Azide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Amelogenesis -> Biodomain: Structural Stabilization, Mineralization, Development, Epithelial Function, Cell Differentiation
GO Term: Dentinogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dentin Mineralization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Pilomotor Reflex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Shu Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Tetraspanin-Enriched Microdomain -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Renal Filtration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Epidermal Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Gonadotropin-Releasing Hormone -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Cellular Response To Gonadotropin-Releasing Hormone -> Biodomain: Synapse, Endolysosome, Cell Cycle, Epigenetic, Proteostasis
GO Term: Lysosomal Membrane Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Mitochondrial Mrna Polyadenylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Sperm Midpiece -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Sperm Annulus -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sperm Principal Piece -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sperm End Piece -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Alveolar Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Epidermal Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Hematopoietic Stem Cell Migration To Bone Marrow -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Amyloid-Beta Clearance -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Synapse
GO Term: Flavonoid Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Mitochondrial Respirasome Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Synapse, Proteostasis
GO Term: Renal Tubular Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: R2Tp Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, RNA Spliceosome
GO Term: Leukotriene B4 12-Hydroxy Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: 20-Hydroxy-Leukotriene B4 Omega Oxidase Activity -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: 20-Aldehyde-Leukotriene B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Omega-Hydroxylase P450 Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Cytoophidium -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: All-Trans-Decaprenyl-Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Pathways, Enzymatic Activity, Biosynthesis
GO Term: Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Intracellular Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Histamine Secretion Mediated By Ige Immunoglobulin -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Vasculature, Proteostasis
GO Term: Immune Complex Formation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Renal Phosphate Ion Absorption -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: 'De Novo' Xmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, DNA Repair, Proteostasis
GO Term: Regulation Of Nucleus Size -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Response To Alcohol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Plasma Membrane Tubulation -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy, Myelination
GO Term: 7Sk Snrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Immune Response
GO Term: B Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Synapse, Apoptosis
GO Term: Melanocyte Migration -> Biodomain: Cell Motility, Developmental Biology, Integument, Extracellular Matrix Organization, Cell Differentiation
GO Term: Melanocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Melanocyte Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Response To Antineoplastic Agent -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Antipsychotic Drug -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Zymogen Inhibition -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Ripoptosome -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Ripoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Autophagy
