Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Intermicrovillar Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Calcium Ion Transmembrane Transport Via Low Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Reversible Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Scc2-Scc4 Cohesin Loading Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Adaptive Immune Memory Response Involving T Cells And B Cells -> Biodomain: Immune Response, Endolysosome, Synapse, Autophagy, Apoptosis
GO Term: Primary Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Primary Adaptive Immune Response Involving T Cells And B Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Receptor-Receptor Interaction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Central Region Of Growth Cone -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Mitochondrial Metabolism
GO Term: Las1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cofilin-Actin Rod -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Tenascin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Site Of Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Telomere Maintenance Via Telomere Trimming -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Glycolysis From Storage Polysaccharide Through Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Ceramide Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Adipokinetic Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Adipokinetic Hormone Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Energy Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Phagocytic Vesicle Lumen -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ciliary Plasm -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: L27 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Renal Protein Absorption -> Biodomain: Endolysosome, Proteostasis, Vasculature, Autophagy, Mitochondrial Metabolism
GO Term: Renal Albumin Absorption -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Vasculature
GO Term: Copii Receptor Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Lymphocyte Migration Into Lymphoid Organs -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Cell Cycle
GO Term: Lymphocyte Migration Into Lymph Node -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: Fructose 6-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mpp7-Dlg1-Lin7 Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Ubiquitin-Protein Transferase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mature Conventional Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Membrane Lipid Distribution -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Plasma Membrane Sterol Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Heme Export -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Perinuclear Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Phosphatidylserine Exposure On Blood Platelet -> Biodomain: Lipid Metabolism, Apoptosis, Vasculature, Structural Stabilization, Immune Response
GO Term: Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: L-Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy
GO Term: L-Kynurenine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Neurotransmitter Metabolism, Energy Metabolism, Cell Signaling
GO Term: Agmatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Traf2-Gstp1 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Crlf-Clcf1 Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Cntfr-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Synaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: Dendritic Spine Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Anterior Head Development -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Response To Thyroid Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Thyroxine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroxine Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ductus Arteriosus Closure -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Plasma Membrane Selenite Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Vascular Associated Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Methyl-Branched Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Craniofacial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Supercoiled Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Blood Vessel Endothelial Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Endothelial Tip Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Hedgehog Family Protein Binding -> Biodomain: Proteostasis, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Neuroligin Family Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Adhesion, Lipid Metabolism
GO Term: Scaffold Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Organization -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Gamma-Aminobutyric Acid Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Nmda Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurexin Clustering Involved In Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Guanylate Kinase-Associated Protein Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neuroligin Clustering Involved In Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Receptor Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Cyclin A1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Cyclin A2-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin A1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cyclin A2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Cyclin B1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Cyclin D1-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Cyclin D2-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin D3-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Cyclin D1-Cdk6 Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, DNA Repair
GO Term: Cyclin D2-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Cyclin D3-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Cyclin E1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cyclin E2-Cdk2 Complex -> Biodomain: Cell Cycle, Cell Signaling, Cell Cycle Transition, Protein Complex Assembly, Kinase Activity
GO Term: Bcl-2 Family Protein Complex -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Bad-Bcl-2 Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Bim-Bcl-Xl Complex -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Bim-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Bax Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Bak Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Centralspindlin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Neuronal Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Gabaergic Neuron Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Synapse
GO Term: Fasciculation Of Sensory Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Fasciculation Of Motor Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Pre-Mrna Intronic Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Pre-Mrna Intronic Pyrimidine-Rich Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Polychlorinated Biphenyl Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Dh Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Mads Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Sulfur Carrier Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Nuclear Stress Granule -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy, Immune Response
GO Term: Circadian Regulation Of Translation -> Biodomain: Circadian Rhythm, Translation Regulation, Proteostasis, RNA Processing, Metabolic Process
GO Term: Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cell Biology, Structural Stabilization, Epigenetic, Autophagy
GO Term: Aim2 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epoxide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Mitochondrial Ribosome Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Protease Inhibitor Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Serine Protease Inhibitor Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Protein C Inhibitor-Coagulation Factor V Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor Xa Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor Xi Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Response To Azide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Amelogenesis -> Biodomain: Structural Stabilization, Mineralization, Cell Differentiation, Tissue Development, Ion Transport
GO Term: Dentinogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Autophagy
GO Term: Dentin Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Pilomotor Reflex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Shu Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Tetraspanin-Enriched Microdomain -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Renal Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Epidermal Lamellar Body -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Response To Gonadotropin-Releasing Hormone -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Gonadotropin-Releasing Hormone -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Lysosomal Membrane Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Mrna Polyadenylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sperm Midpiece -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Sperm Annulus -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Sperm Principal Piece -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sperm End Piece -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Alveolar Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Epidermal Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cellular Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Hematopoietic Stem Cell Migration To Bone Marrow -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Amyloid-Beta Clearance -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, APP Metabolism
GO Term: Flavonoid Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Respirasome Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Synapse, Proteostasis, Oxidative Stress
GO Term: Renal Tubular Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: R2Tp Complex -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Epigenetic, Autophagy
GO Term: Leukotriene B4 12-Hydroxy Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: 20-Hydroxy-Leukotriene B4 Omega Oxidase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: 20-Aldehyde-Leukotriene B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Omega-Hydroxylase P450 Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytoophidium -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: All-Trans-Decaprenyl-Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Intracellular Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Histamine Secretion Mediated By Ige Immunoglobulin -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Immune Complex Formation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Renal Phosphate Ion Absorption -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: 'De Novo' Xmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Nucleus Size -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Alcohol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Plasma Membrane Tubulation -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 7Sk Snrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: B Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Melanocyte Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Melanocyte Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Melanocyte Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Response To Antineoplastic Agent -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism
GO Term: Response To Antipsychotic Drug -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Zymogen Inhibition -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Ripoptosome -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ripoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neutrophil Clearance -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
