Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hyaluranon Cable -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Response To Platelet-Derived Growth Factor -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Cellular Response To Platelet-Derived Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Double-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bmp Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Sperm Flagellum -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Catsper Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Prostaglandin H2 Endoperoxidase Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Apoptosis
GO Term: Prostaglandin D2 11-Ketoreductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: 12-Hydroxyheptadecatrienoic Acid Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Peptidyl-Histidine Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: [Protein]-Asparagine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Kringle Domain Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Dendritic Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cellular Response To Mycotoxin -> Biodomain: Toxin Response, Oxidative Stress, DNA Repair, Proteostasis, Apoptosis
GO Term: Phosphatidylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidylinositol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Phosphatidylserine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Phosphatidylcholine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Phosphatidylethanolamine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Triglyceride Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Myelination
GO Term: Acylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Inner Dynein Arm -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Metal Binding and Homeostasis
GO Term: Outer Dynein Arm -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Outer Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Inner Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Phenotypic Switching -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Glutaredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Osteoclast Maturation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Structural Stabilization
GO Term: 13-Lipoxin Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Early Phagosome Membrane -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Oxidative Stress
GO Term: Muscle Cell Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Modification Process -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Autophagy, Apoptosis
GO Term: Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dttp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Gtp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Itp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Utp Diphosphatase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Xtp Diphosphatase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Nuclear Inner Membrane -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Peroxisome Transport Along Microtubule -> Biodomain: Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Methylamine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Multivesicular Body Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Multivesicular Body Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: 7-Methylguanosine Cap Hypermethylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Swimming -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Swimming Behavior -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Tubulobulbar Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Saga Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Peptidyl-Serine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Cellular Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Apoptosis, Vasculature
GO Term: Cellular Response To Increased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Recombinational Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Atrioventricular Canal Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Umbilical Cord Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Ameloblast Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Embryonic Heart Tube Elongation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Protein Localization To M-Band -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Atp-Dependent Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol 3-Kinase Regulatory Subunit Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Catalytic Subunit Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Sterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Srebp-Scap Complex Retention In Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Tyrosyl-Rna Phosphodiesterase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Immune Response, Autophagy, DNA Repair
GO Term: Ghrelin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor-1 Signaling Pathway -> Biodomain: Vasculature, Apoptosis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Vascular Endothelial Growth Factor Receptor-3 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Placental Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Hepatocyte Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Intestinal Stem Cell Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Dendritic Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lymphocyte Adhesion To Endothelial Cell Of High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Post-Anal Tail Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Psychomotor Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Proteostasis
GO Term: Platelet Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Platelet Maturation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Renal Potassium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Light Adaption -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Cone Photoresponse Recovery -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Localization To T-Tubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Opsin Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: L-Fucose Mutarotase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Glutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sodium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Calcitriol Biosynthetic Process From Calciol -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Myofilament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cdp Phosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Thiocyanate Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Rna N6-Methyladenosine Methyltransferase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Tcr Signalosome -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Tcr Signalosome Assembly -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Proteasome-Activating Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Arachidonate 8(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Histone H3K14 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Histone H3-K14 Acetyltransferase Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Trna Stabilization -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome, Oxidative Stress
GO Term: L-Phosphoserine Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Cmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Dcmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: K48-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Maintenance Of Lens Transparency -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metabolic Process, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neuronal Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Microtubule Minus-End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: L-Methionine-(S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Keratohyalin Granule -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Hepatocyte Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Bloc-2 Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Trail Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cytoplasmic Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Synaptic Vesicle Recycling -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Recycling Via Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: 5-Hydroxy-L-Tryptophan Decarboxylase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Dopa Decarboxylase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tyrosine 3-Monooxygenase Activator Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Glyoxal -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Somatodendritic Compartment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: L-Dopa Decarboxylase Activator Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Peroxidase Inhibitor Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Trunk Neural Crest Cell Migration -> Biodomain: Myelination, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Ventral Trunk Neural Crest Cell Migration -> Biodomain: Cell Migration, Neurogenesis, Developmental Process, Peripheral Nervous System Formation, Cell Differentiation
GO Term: Nitric-Oxide Synthase Inhibitor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Chop-C/Ebp Complex -> Biodomain: Epigenetic, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Translation Initiation, Endolysosome, Autophagy, Apoptosis
GO Term: Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Ufd1-Npl4 Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Derlin-1-Vimp Complex -> Biodomain: Proteostasis, Protein Degradation, Proteasome, ER Stress, Ubiquitination
GO Term: Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Prosaposin Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Maintenance Of Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Protein Alpha-1,2-Demannosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Derlin-1 Retrotranslocation Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Dopaminergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Mitochondrial Metabolism
GO Term: Serotonergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Chemoattraction Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Chemoattraction Of Serotonergic Neuron Axon -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Chemorepulsion Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Astrocyte-Dopaminergic Neuron Signaling -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Protein Deglycase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Deglycation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Structural Stabilization
GO Term: Paracrine Signaling -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: G Protein-Coupled Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Epidermal Growth Factor Receptor Ligand Maturation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Immune Response
GO Term: Netrin-Activated Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Regulation Of Signal Transduction By Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Insulin Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Wnt Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Insulin Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Leptin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: G Protein-Coupled Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Endolysosome
GO Term: Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Autophagy
GO Term: Cargo Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Reelin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Reelin-Mediated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Autophagy
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis By Vegf-Activated Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Ligand-Independent Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Sphingosine-1-Phosphate Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Synapse, Autophagy
GO Term: G Protein-Coupled Receptor Dimeric Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Homodimeric Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: G Protein-Coupled Receptor Heterodimeric Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Cross-Receptor Inhibition Within G Protein-Coupled Receptor Heterodimer -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Vasculature
GO Term: Interleukin-5-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Endolysosome
GO Term: G Protein-Coupled Enkephalin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Morphine Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Vasculature, Proteostasis
GO Term: Dynorphin Receptor Activity -> Biodomain: Synapse, Neurotransmission, Neuroprotection, Neurodegeneration, Pain Signaling
GO Term: G Protein-Coupled Estrogen Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Nitric Oxide-Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Tyrosine Kinase Collagen Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Collagen-Activated Tyrosine Kinase Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Collagen Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen-Activated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: P38Mapk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Oxidative Stress
