Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Negative Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Lipid Metabolism, Unknown
GO Term: Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Positive Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Somite Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Muscle Structure Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Iris Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Unknown, Epigenetic, Cell Cycle
GO Term: Ciliary Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Lung Neuroendocrine Cell Differentiation -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuroendocrine Cell Differentiation -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Carotid Body Glomus Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Synapse, Structural Stabilization
GO Term: Adrenal Chromaffin Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Seminal Vesicle Epithelium Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Branching Involved In Pancreas Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Lung Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Morphogenesis Of A Branching Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Alveolar Primary Septum Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Alveolar Secondary Septum Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Lung Smooth Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Epigenetic, Autophagy
GO Term: Trachea Gland Development -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Mrna Destabilization -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Oxidative Stress, Endolysosome
GO Term: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Establishment Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Epigenetic
GO Term: Endoplasmic Reticulum Polarization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Mammary Gland Epithelium Development -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature, Epigenetic
GO Term: Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Unknown
GO Term: Negative Regulation Of Dermatome Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Taste Bud Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Unknown
GO Term: Fungiform Papilla Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Epigenetic
GO Term: Fungiform Papilla Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Fungiform Papilla Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Paramesonephric Duct Development -> Biodomain: Unknown, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Synapse, Epigenetic, Immune Response
GO Term: Cerebellum Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Cornea Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Immune Response
GO Term: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Notch Signaling Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Renal Tubule Development -> Biodomain: Vasculature, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Renal Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Cardiac Conduction -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Immune Response
GO Term: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, DNA Repair
GO Term: Wnt Protein Secretion -> Biodomain: Signal Release, Protein Secretion, Lipid Metabolism, Vasculature, Synapse
GO Term: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Optic Chiasma Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Oxidative Stress, Synapse, Immune Response, Apoptosis, Unknown
GO Term: Behavioral Response To Formalin Induced Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Vasculature, Epigenetic
GO Term: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Testosterone Biosynthetic Process -> Biodomain: Steroid Hormone Biosynthesis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Determination Of Heart Left/Right Asymmetry -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Mammillary Axonal Complex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Mammillothalamic Axonal Tract Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Mammary Gland Lobule Development -> Biodomain: Lipid Metabolism, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Inferior Colliculus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Epigenetic, Cell Cycle
GO Term: Cell Migration In Diencephalon -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Heart Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Closure Of Optic Fissure -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Epigenetic
GO Term: Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Cellular Response To Methionine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Cellular Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Skin Barrier -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Renal Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Endocardial Cushion Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Unknown, Apoptosis
GO Term: Endocardial Cushion Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Trophoblast Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Reproductive System Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: L-Arginine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Phagolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Response To Tnf Agonist -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Homeostasis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Memory T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, Epigenetic, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Myeloid Cell Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Monocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Microglial Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Macrophage Homeostasis -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Langerhans Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Cell Cycle, Autophagy, Proteostasis
GO Term: Cilium Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Hindgut Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Acetylcholine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Unknown
GO Term: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Sympathetic Ganglion Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cranial Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Trigeminal Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Axon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Actin Filament Bundle Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Asap Complex -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Colon Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Intestinal Epithelial Cell Migration -> Biodomain: Cell Motility, Epithelial Function, Wound Healing, Development, Immune Response
GO Term: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Calcium Activated Phospholipid Scrambling -> Biodomain: Apoptosis, Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress
GO Term: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis
GO Term: Molybdopterin Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Molybdopterin Molybdotransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Nuclear Import Signal Receptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Unknown, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Mirna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Autophagy
GO Term: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Micos Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Unknown
GO Term: Canonical Glycolysis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Glycolytic Process From Galactose -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Endolysosome
GO Term: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Chemoattraction Of Axon -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Chemorepulsion Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Immune Response
