Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Adult Feeding Behavior -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Glial Cell Migration -> Biodomain: Myelination, Immune Response, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Signal Transduction, Kinase Activity, Cell Growth and Differentiation, Phosphorylation, Cellular Stress Response
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Germ Cell Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Olfactory Learning -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Size -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Autophagy, Endolysosome
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Steroid Metabolism, Lipid Metabolism, Xenobiotic Metabolism, Metabolism, Metabolic Processes
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic, Vasculature
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, DNA Metabolism, DNA Replication, DNA Damage Response, Cell Cycle
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Epigenetic, Autophagy
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Jun Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Oxidative Stress, Proteostasis
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Enzymatic Activity, Metabolism, Cell Surface
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Myelination, Mitochondrial Metabolism
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Glycogen Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Synapse, Immune Response
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Pyridoxal Kinase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Epigenetic
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Immune Response
GO Term: Sulfite Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Phosphorylation Signaling, Lipid Metabolism, Signal Transduction, Metabolism, Cellular Processes
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Myelination, Proteostasis
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Melatonin Receptor Activity -> Biodomain: Circadian, GPCR, Neuroendocrine, Synapse, Neuronal Signaling
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Endolysosome
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Vasculature, Synapse, Myelination, Structural Stabilization, Oxidative Stress
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, DNA Repair
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Protein Modification,Carbohydrate Metabolism,Lipid Metabolism,Immune Response
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Visual Learning -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Tau Homeostasis
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Male Gonad Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Vasculature
GO Term: Female Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Structural Stabilization, Vasculature
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Signal Transduction, Developmental Biology, Cell Communication, Cell Growth and Proliferation, Cell Differentiation
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, DNA Repair
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Chrac -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, Endolysosome
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rrna Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Metal Binding and Homeostasis
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Methionine Synthase Activity -> Biodomain: Amino Acid Metabolism, One Carbon Pool and Folate, Methylation, Metabolic Pathways, Biosynthesis
