Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Trna Acetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Trna Cytidine N4-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Regulation Of Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Bh Domain Binding -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Ch Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Synapse
GO Term: Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Corticosterone -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Cortisone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Response To Cortisol -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Microtubule Nucleation By Interphase Microtubule Organizing Center -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Microtubule Nucleation By Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: Corticotropin-Releasing Hormone Binding -> Biodomain: Hormone Activity, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Ptb Domain Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Hormone Receptor Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: Peptide Hormone Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Corticotropin-Releasing Hormone Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Corticotropin-Releasing Hormone Receptor 1 Binding -> Biodomain: Immune Response, Synapse, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Corticotropin-Releasing Hormone Receptor 2 Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Bh3 Domain Binding -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Unknown
GO Term: Positive Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Ubiquitination, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Myoblast Migration -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Intracellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Intracellular Ph -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Intracellular Ph Elevation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome
GO Term: Spindle Attachment To Meiosis I Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Protein Location In Nucleus -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, DNA Repair, APP Metabolism
GO Term: Corticotropin Secretion -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Synapse, Apoptosis
GO Term: Regulation Of Corticotropin Secretion -> Biodomain: Oxidative Stress, Immune Response, Synapse, Vasculature, Apoptosis
GO Term: Negative Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Epigenetic, Immune Response, Proteostasis, Endolysosome
GO Term: Vesicle Fusion With Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Immune Response, Apoptosis
GO Term: Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Negative Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: D-Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: D-Tyrosyl-Trna(Tyr) Deacylase Activity -> Biodomain: Proteostasis, Unknown, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Adenine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nfat Protein Binding -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Iron-Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Metabolism
GO Term: 2 Iron, 2 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3 Iron, 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: 4 Iron, 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Elastin Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Keratinocyte Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Unknown
GO Term: Negative Regulation Of Keratinocyte Migration -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Keratinocyte Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Epigenetic
GO Term: Flavone Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Immune Response, Cell Cycle
GO Term: Mitochondrial Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Smooth Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: 5'-Deoxyribose-5-Phosphate Lyase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Response To Camp -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Calcium Ion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Response To Methylglyoxal -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Methylmercury -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Meiotic Recombination Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Unknown
GO Term: Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Oxidative Stress, Epigenetic, DNA Repair, Vasculature
GO Term: Exocyst Localization -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Response To Electrical Stimulus -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Structural Stabilization, Vasculature
GO Term: Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Detection Of Stimulus -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histamine Transport -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Regulation Of Serotonin Uptake -> Biodomain: Synapse, Vasculature, Unknown, Unknown, Unknown
GO Term: Negative Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Histamine Uptake -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Epinephrine Uptake -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Regulation Of Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Barbed-End Actin Filament Uncapping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Network Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Organelle Localization -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Cellular Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Synapse
GO Term: Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Endoplasmic Reticulum Localization -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Golgi Localization -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleus Localization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Establishment Of Localization In Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Establishment Of Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Maintenance Of Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Establishment Of Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Establishment Of Organelle Localization -> Biodomain: Cell Cycle, Synapse, Endolysosome, Myelination, Structural Stabilization
GO Term: Maintenance Of Nucleus Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Maintenance Of Mitochondrion Location -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Establishment Of Centrosome Localization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Maintenance Of Centrosome Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Pore Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Membrane Raft Localization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Synapse, Proteostasis
GO Term: Actin Cortical Patch Localization -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Localization Within Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Disruption Of Plasma Membrane Integrity In Another Organism -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Localization Of Cell -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Synapse
GO Term: Establishment Of Golgi Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Golgi Location -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Unknown
GO Term: Maintenance Of Er Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Pointed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Actin Filament Uncapping -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Synapse
GO Term: Protein Delipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Biological Process Involved In Interaction With Host -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Biological Process Involved In Interaction With Symbiont -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Other Organism -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cytolysis In Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Autophagy, Proteostasis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity, Acting On Cpg Substrates -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Unknown, Cell Cycle
GO Term: Protein Phosphatase 2A Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Protein C-Terminal Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, APP Metabolism
GO Term: Protein Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Nad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein De-Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Germline Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Atp-Dependent Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Atp-Dependent Polyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Cytosine C-5 Dna Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Utp-Monosaccharide-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Delta(3,5)-Delta(2,4)-Dienoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Meiotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Homologous Chromosome Movement Towards Spindle Pole In Meiosis I Anaphase -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Actin Crosslink Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Inositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Unknown
GO Term: Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Behavioral Response To Nutrient -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cell Division -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: All-Trans-Retinol 13,14-Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Cell Cycle, Autophagy, Proteostasis
GO Term: Misfolded Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Short-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Immune Response, Endolysosome
GO Term: Medium-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Medium-Chain Fatty Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Medium-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Regulation Of Hair Follicle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hair Follicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Hair Follicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Phosphatidylinositol-3,4-Bisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Negative Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Cytolysis By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Host-Mediated Perturbation Of Symbiont Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Glycolipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Histone H3K36 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: General Adaptation Syndrome -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: General Adaptation Syndrome, Behavioral Process -> Biodomain: Oxidative Stress, Immune Response, Synapse, Epigenetic, Autophagy
GO Term: Killing By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pigment Granule Localization -> Biodomain: Intracellular Transport, Cytoskeleton, Organelle Biogenesis And Maintenance, Vesicle-Mediated Transport, Protein Localization
GO Term: Pigment Granule Aggregation In Cell Center -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lateral Element Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, DNA Repair
GO Term: Hsp90 Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Apoptosis
GO Term: G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
