Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Vasculature, Epigenetic
GO Term: Uterus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Female Gonad Morphogenesis -> Biodomain: Reproductive System, Morphogenesis, Organ Development, Developmental Biology, Cell Differentiation
GO Term: Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Oxidative Stress
GO Term: Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Positive Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Somite Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Sclerotome Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair
GO Term: Muscle Structure Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Iris Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Lipid Metabolism, Immune Response
GO Term: Ciliary Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Neural Retina Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cell Signaling, Innate Immunity, Hematopoiesis, Inflammatory Response
GO Term: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Signal Transduction, Immune Response, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Lung Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Neuroendocrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Carotid Body Glomus Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Adrenal Chromaffin Cell Differentiation -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Seminal Vesicle Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Branching Involved In Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Lung Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Morphogenesis Of A Branching Epithelium -> Biodomain: Structural Stabilization, Vasculature, Synapse, Lipid Metabolism, Epigenetic
GO Term: Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Alveolar Primary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Alveolar Secondary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Lung Smooth Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Vasculature, Epigenetic
GO Term: Trachea Gland Development -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Cell Cycle
GO Term: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Mrna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Establishment Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endoplasmic Reticulum Polarization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Mammary Gland Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Positive Regulation Of Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Taste Bud Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Fungiform Papilla Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Lipid Metabolism
GO Term: Fungiform Papilla Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Fungiform Papilla Formation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Paramesonephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cerebellum Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cornea Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Notch Signaling Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Renal Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Renal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Cardiac Conduction -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Structural Stabilization
GO Term: Wnt Protein Secretion -> Biodomain: Secretion, Vesicle Trafficking, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, APP Metabolism, Autophagy
GO Term: Optic Chiasma Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Vasculature
GO Term: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Structural Stabilization, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Behavioral Response To Formalin Induced Pain -> Biodomain: Pain Perception, Behavioral Neuroscience, Nociception, Neuroinflammation, Stress Response
GO Term: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Epigenetic, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Determination Of Heart Left/Right Asymmetry -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Mammillary Axonal Complex Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Lipid Metabolism
GO Term: Mammillothalamic Axonal Tract Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Mammary Gland Lobule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Inferior Colliculus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cell Migration In Diencephalon -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Heart Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Closure Of Optic Fissure -> Biodomain: Structural Stabilization, Vasculature, Synapse, Apoptosis, Immune Response
GO Term: Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Cellular Response To Methionine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Cellular Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Skin Barrier -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Renal Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Endocardial Cushion Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Endocardial Cushion Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Trophoblast Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Reproductive System Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: L-Arginine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Immune Response, Vasculature, Oxidative Stress
GO Term: Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Synapse, Autophagy, Apoptosis
GO Term: Phagolysosome Membrane -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Tnf Agonist -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Memory T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Mitochondrial Metabolism
GO Term: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Myeloid Cell Development -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Monocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Microglial Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Macrophage Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Langerhans Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cilium Disassembly -> Biodomain: Cell Cycle, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Hindgut Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Acetylcholine Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Sympathetic Ganglion Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Cranial Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Trigeminal Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Axon Development -> Biodomain: Synapse, Tau Homeostasis, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Actin Filament Bundle Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Asap Complex -> Biodomain: RNA Spliceosome, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, DNA Repair, Autophagy
GO Term: Colon Epithelial Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress, Vasculature
GO Term: Intestinal Epithelial Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Calcium Activated Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Apoptosis, Immune Response
GO Term: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Endolysosome, Structural Stabilization
GO Term: Molybdopterin Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Molybdopterin Molybdotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Import Signal Receptor Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mirna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Epigenetic, Autophagy
GO Term: Micos Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Canonical Glycolysis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Glycolytic Process From Galactose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Chemoattraction Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
