Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Mesoderm Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Mesoderm Development -> Biodomain: Developmental Biology, Regulation, Cell Differentiation, Signal Transduction, Gene Expression
GO Term: Positive Regulation Of Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Ectoderm Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Positive Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Positive Regulation Of Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Fibronectin-Dependent Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Negative Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Eosinophil Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Eosinophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Cytokinesis, Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Autophagy
GO Term: Positive Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Neuronal Activity, Plasticity, Receptor Signaling, Neural Signaling
GO Term: Positive Regulation Of Astrocyte Chemotaxis -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Metabolism, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Fibrosis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Granzyme A Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Immunological Synapse Formation -> Biodomain: Synapse, Immune Response, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process Involved In Immunological Synapse Formation -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Renal Albumin Absorption -> Biodomain: Proteostasis, Vasculature, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Gastrulation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Vasculature
GO Term: Negative Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Epigenetic
GO Term: Positive Regulation Of T-Helper 1 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Immunoglobulin Production In Mucosal Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Memory T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 2 Cell Activation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interleukin-4-Dependent Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Vasculature
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Metanephric Dct Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Optic Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cell Proliferation Involved In Mesonephros Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Thyroid Hormone Generation -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Thyroid-Stimulating Hormone Secretion -> Biodomain: Synapse, Vasculature, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Mirna Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Endolysosome
GO Term: Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Pre-Mirna Processing -> Biodomain: Epigenetic, Proteostasis, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Positive Regulation Of Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Negative Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: Positive Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transporter Activity -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
