Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, Synapse, Vasculature, Myelination
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Synapse, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Axon Diameter -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Autophagy
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Structural Stabilization
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, DNA Repair
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Rrna Methylation -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Phosphopantetheine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Peptide Modification -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Endolysosome, Immune Response
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Poz Domain Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Rsf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Auditory Behavior -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, APP Metabolism
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Cell Projection Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Cell Migration, Cell Adhesion, Membrane Dynamics
GO Term: Uropod Membrane -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Apoptosis
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Small Gtpase Binding -> Biodomain: Signal Transduction, Cytoskeleton Organization, Intracellular Transport, Membrane Trafficking, Cell Cycle
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Epigenetic, Autophagy, Apoptosis
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Cell Surface Receptor Signaling, Kinases and Phosphatases, Immune Regulation, Cytokine Signaling
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Vasculature
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Synapse
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Rnai Effector Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, RNA Spliceosome, Cell Cycle
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Apoptosis
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune Response, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, DNA Repair, Epigenetic
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, DNA Repair, Immune Response, Apoptosis, Oxidative Stress
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System (UPS), Autophagy, Endolysosome, Apoptosis
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chloride Ion Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Autophagy
GO Term: Carboxylic Acid Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Vasculature
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Natb Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Epigenetic, Autophagy
GO Term: Natc Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Response To Methotrexate -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: M Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Synapse
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Cell Cycle, Ubiquitin-Proteasome System, Apoptosis, Epigenetic
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Glycine Betaine Transport -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Post-translational Modification, Cell Cycle
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Epigenetic, Autophagy
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Structural Stabilization
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Myosin V Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Myosin V Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Synapse, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, DNA Repair, Epigenetic, Cell Cycle
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Myb Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Filopodium Membrane -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ruffle Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Endocrine Signaling, Receptor Binding, Hormone Secretion, Signal Transduction, Peptide Hormone Activity
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Epigenetic
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Wybutosine Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, RNA Spliceosome
GO Term: Centrosomal Corona -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Beta-Endorphin Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Structural Stabilization
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
