Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Amidinotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Glycine Amidinotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: Dna Integration -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Vasculature
GO Term: Proton Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Myelination
GO Term: Silver Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Sodium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Calcium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Cadmium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Cobalt Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ferrous Iron Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Lead Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Magnesium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Molybdate Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Nickel Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vanadium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Organic Cation Transmembrane Transporter Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Bicarbonate Transmembrane Transporter Activity -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Chloride Transmembrane Transporter Activity -> Biodomain: Vasculature, Synapse, Endolysosome, Immune Response, Oxidative Stress
GO Term: Iodide Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nitrate Transmembrane Transporter Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Unknown
GO Term: Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Thiosulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Canalicular Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bilirubin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Lactate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Epigenetic, Myelination
GO Term: Mevalonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Oxaloacetate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Prostaglandin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Oxidative Stress
GO Term: Sialic Acid Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Myelination, Structural Stabilization
GO Term: Citrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fumarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Alpha-Ketoglutarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Malate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Succinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Tricarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Urate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Unknown
GO Term: Carbohydrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Immune Response, Autophagy
GO Term: Pentose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Endolysosome
GO Term: Hexose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Cell Cycle, Vasculature
GO Term: Fucose Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Proteostasis, Autophagy
GO Term: Alpha-Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Glucose-6-Phosphate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Glucuronoside Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Vasculature
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Polyol Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Vasculature, Synapse
GO Term: Glycerol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Acidic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Aromatic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Neutral L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Cell Cycle, Epigenetic
GO Term: L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: L-Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: L-Asparagine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Unknown
GO Term: L-Aspartate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Cystine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Gamma-Aminobutyric Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: L-Glutamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Isoleucine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: L-Lysine Transmembrane Transporter Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: L-Leucine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: L-Phenylalanine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Proline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: L-Serine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: L-Threonine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Tryptophan Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Amino-Acid Betaine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Methylammonium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Polyamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Urea Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Nucleobase Transmembrane Transporter Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Adenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Guanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Uracil Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Endolysosome
GO Term: Purine Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Endolysosome, Lipid Metabolism
GO Term: Cytidine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Uridine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Pyrimidine Nucleoside Transmembrane Transporter Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Purine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: Adp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Pyrimidine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Choline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization
GO Term: Biotin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: O-Acyl-L-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Coenzyme A Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Ascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Fad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Heme Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Pantothenate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thiamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Aminophospholipid Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Water Channel Activity -> Biodomain: Vasculature, Endolysosome, Immune Response, Apoptosis, Structural Stabilization
GO Term: Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycerol Channel Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Methylammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Unknown, Lipid Metabolism
GO Term: Urea Channel Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Outward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Atp-Activated Inward Rectifier Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Vasculature
GO Term: Stretch-Activated, Monoatomic Cation-Selective, Calcium Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Kainate Selective Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Intracellularly Gated Calcium Channel Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Apoptosis, Immune Response, Autophagy
GO Term: Store-Operated Calcium Channel Activity -> Biodomain: Immune Response, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Ligand-Gated Sodium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Porin Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Secondary Active Transmembrane Transporter Activity -> Biodomain: Endolysosome, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Solute:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Monoatomic Anion:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: D-Glucose Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Immune Response, Cell Cycle
GO Term: Monoamine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Polyamine:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Phosphate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cystine:Glutamate Antiporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Peptide:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sodium-Independent Organic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Thyroid Hormone Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Methotrexate Transmembrane Transporter Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Secondary Active Monocarboxylate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Low-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: High-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Unknown
GO Term: Oxoglutarate:Malate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcium:Monoatomic Cation Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Calcium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Solute:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Vasculature, Immune Response
GO Term: Galactose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Unknown, Proteostasis, Endolysosome
GO Term: Monoatomic Anion:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Unknown, Mitochondrial Metabolism, Endolysosome, Vasculature
GO Term: Neutral, Basic Amino Acid:Sodium:Chloride Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Glycine:Sodium Symporter Activity -> Biodomain: Amino Acid Metabolism, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Chloride:Monoatomic Cation Symporter Activity -> Biodomain: Endolysosome, Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism
GO Term: Sodium:Chloride Symporter Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Myelination, Endolysosome, Vasculature, Oxidative Stress
GO Term: Sodium:Sulfate Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Sulfate:Bicarbonate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Potassium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Pyrimidine- And Adenosine-Specific:Sodium Symporter Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Purine-Specific Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Abc-Type Manganese Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Abc-Type Taurine Transporter Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Abc-Type Polyamine Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Abc-Type Vitamin B12 Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Abc-Type Oligopeptide Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Abc-Type Glutathione S-Conjugate Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Abc-Type Bile Acid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Abc-Type Peptide Antigen Transporter Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Abc-Type Heme Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Abc-Type Peptide Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: P-Type Magnesium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Protein-Transporting Atpase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Potassium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetylcholine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: G-Protein Activated Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Cholesterol Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Putrescine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid:Proton Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pantothenate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Formate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Glutamate:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Galactose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Sialic Acid:Proton Symporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Propionate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Efflux Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Abc-Type Putrescine Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Unknown, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Spermidine Transmembrane Transporter Activity -> Biodomain: Autophagy, Mitochondrial Metabolism, Epigenetic, Synapse, Cell Cycle
GO Term: Abc-Type Fatty-Acyl-Coa Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Dna Translocase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Actin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
