Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Cellular Response To Magnesium Ion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Mercury Ion -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Unknown
GO Term: Cellular Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Retinoic Acid -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Cellular Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Vitamin D -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cellular Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Vitamin K -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cellular Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Unknown
GO Term: Cellular Response To Caffeine -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cellular Response To Cocaine -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Morphine -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Cellular Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Atp -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Cellular Response To Camp -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Cgmp -> Biodomain: Signal Transduction, Intracellular Signaling, Cell Communication, Cellular Response To Chemical Stimulus, Regulation Of Cell Signaling
GO Term: Cellular Response To Carbohydrate Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Sucrose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Fructose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Mll1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Cell Cycle
GO Term: Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Type Ii Interferon -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Interleukin-1 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-11 -> Biodomain: Immune Response, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Cellular Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Cellular Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Interleukin-4 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-6 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Cellular Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Type I Interferon -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Dsrna -> Biodomain: Immune Response, Apoptosis, RNA Spliceosome, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Exogenous Dsrna -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Ether -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Unknown
GO Term: Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Epidermal Growth Factor Stimulus -> Biodomain: Cell Cycle, Endolysosome, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cellular Response To Gonadotropin Stimulus -> Biodomain: Endolysosome, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Follicle-Stimulating Hormone Stimulus -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Endolysosome
GO Term: Cellular Response To Luteinizing Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Apoptosis, Endolysosome, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Peptide Hormone Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Cellular Response To Corticotropin-Releasing Hormone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Glucagon Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Growth Hormone Stimulus -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Prostaglandin Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Epigenetic, Autophagy
GO Term: Cellular Response To Steroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cellular Response To Corticosteroid Stimulus -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Vasculature
GO Term: Cellular Response To Glucocorticoid Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Cellular Response To Corticosterone Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Cellular Response To Cortisol Stimulus -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Mineralocorticoid Stimulus -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Estrogen Stimulus -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Cellular Response To Estradiol Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Progesterone Stimulus -> Biodomain: Epigenetic, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Cellular Response To Testosterone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Jasmonic Acid Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cellular Response To Cholesterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cellular Response To High Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome, Immune Response
GO Term: Cellular Response To Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Genistein -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cellular Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Amine Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Cellular Response To Histamine -> Biodomain: Immune Response, Synapse, Vasculature, Endolysosome, Oxidative Stress
GO Term: Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Succinate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Rrna (Cytosine-N4-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, Unknown
GO Term: Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Epigenetic, DNA Repair
GO Term: Clathrin Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Cellular Response To Pheromone -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Synapse, Cell Cycle
GO Term: Cellular Response To Hydroperoxide -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Superoxide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Anoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Hyperoxia -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Localization To Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Cellular Response To Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Cellular Response To Xenobiotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Ph -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cellular Response To Acidic Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Cellular Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Unknown
GO Term: Cellular Response To Non-Ionic Osmotic Stress -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cellular Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Hypotonic Response -> Biodomain: Oxidative Stress, Structural Stabilization, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Hypotonic Salinity Response -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cellular Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Ionizing Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Light Stimulus -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Autophagy, Immune Response
GO Term: Cellular Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Cellular Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Heparin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Heparin -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Cellular Response To Mycophenolic Acid -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Phosphopantothenoylcysteine Decarboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Genomic Imprinting -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Trna Re-Export From Nucleus -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Unknown, Endolysosome
GO Term: Cementum Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Ankyrin Repeat Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Metal Binding and Homeostasis
GO Term: Ring-Like Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3E -> Biodomain: Proteostasis, Protein Synthesis, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3M -> Biodomain: Proteostasis, Unknown, Epigenetic, Cell Cycle, Autophagy
GO Term: Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Neuronal System, Developmental Biology, Cell Differentiation, Cell Signaling
GO Term: Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Diphosphoinositol Polyphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Inositol Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Pi-Body -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pip-Body -> Biodomain: Epigenetic, Immune Response, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Response To Dexamethasone -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Cellular Response To Dexamethasone Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27Me2/H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, DNA Repair
GO Term: Response To Transforming Growth Factor Beta -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Nucleus-Vacuole Junction -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Npbaf Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, DNA Repair
GO Term: Nbaf Complex -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ufm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Deufmylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ufm1 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Ufmylation -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Zinc Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Zinc Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Zinc Ion Transmembrane Import -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Caax-Box Protein Processing -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Cell Cycle
GO Term: Lymphocyte Aggregation -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Nem1-Spo7 Phosphatase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The N-End Rule Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Neuronal Ribonucleoprotein Granule -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Structural Stabilization
GO Term: Otic Vesicle Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Unknown, Apoptosis, Cell Cycle
GO Term: Phytosphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Endothelial Cell-Cell Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Linoleic Acid Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Lysophospholipid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Lysophosphatidylethanolamine Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Vocalization Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Mastication -> Biodomain: Structural Stabilization, Unknown, Vasculature, Immune Response, Synapse
GO Term: Cytoplasm Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Nuclear Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Immune System Processes
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 4 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Ip-10 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Ip-10 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Granzyme B Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Gamma-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Dna/Rna Hybrid Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
