Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Lipopolysaccharide Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Yeast -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Detection Of Yeast -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Mullerian Duct Regression -> Biodomain: Developmental Processes, Cell Death, Organismal Processes, Reproductive Processes, Cell Differentiation
GO Term: Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Nucleoside Binding -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis
GO Term: Purine Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Endothelial Cell Development -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Endothelial Cell Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Selenium Compound Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Glucuronyl-Galactosyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Extracellular Matrix Organization,Glycan Metabolism,Structural Stabilization,Carbohydrate Metabolism
GO Term: Liver Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Placenta Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism
GO Term: Phagocytic Cup -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Embryonic Placenta Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Maternal Placenta Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tissue Homeostasis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Retina Homeostasis -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Cell Killing -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Photoreceptor Inner Segment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Farnesylated Protein Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Vasculature
GO Term: B-1 B Cell Homeostasis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: B-1 B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Exocyst Assembly -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Uropod -> Biodomain: Synapse, Immune Response, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Synapse
GO Term: Positive Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Cell Cycle
GO Term: Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Autophagy
GO Term: Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Female Pronucleus -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Male Pronucleus -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hair Follicle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, APP Metabolism
GO Term: Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Lymph Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Sebaceous Gland Cell Differentiation -> Biodomain: Lipid Metabolism, Apoptosis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Intestinal D-Glucose Absorption -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Blood Vessel Maturation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Intramembranous Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Endochondral Ossification -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Alpha-1,3-Galactosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Cognition, Behavioral Neuroscience
GO Term: Startle Response -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: G-Protein Alpha-Subunit Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Thigmotaxis -> Biodomain: Synapse, Myelination, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Suckling Behavior -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Myelination, Epigenetic
GO Term: Fibronectin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Retinoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Adenosine Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Response To Amphetamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Nervous System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Synapse, Vasculature, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Ischemic Conditions -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Heart Rate Involved In Baroreceptor Response To Increased Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Vasopressin -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Norepinephrine-Epinephrine Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of The Force Of Heart Contraction By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Angiotensin-Mediated Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Angiotensin Levels In Blood -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Angiotensin Maturation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Morphogenesis Of An Epithelial Sheet -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Vasoconstriction Of Artery Involved In Ischemic Response To Lowering Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Volume By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Blood Volume By Renal Aldosterone -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Renin-Angiotensin Regulation Of Aldosterone Production -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Renal Output By Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Protease Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Diet Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Norepinephrine-Epinephrine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Heart Rate -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Myelination, Epigenetic
GO Term: Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Desensitization Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Angiotensin-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Maintenance Of Blood Vessel Diameter Homeostasis By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Brain Renin-Angiotensin System -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: P53 Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Intussusceptive Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Migration, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Opsin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Osteoblast Fate Commitment -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Adenine Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Uracil Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Purine Nucleobase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Immune Response
GO Term: Columnar/Cuboidal Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Glandular Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome, Lipid Metabolism
GO Term: Glandular Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Columnar/Cuboidal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glandular Epithelial Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Optic Cup Morphogenesis Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Extraocular Skeletal Muscle Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Osteoblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Acrosome Matrix Dispersal -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Membrane Fusion Involved In Acrosome Reaction -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Inner Acrosomal Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Acrosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Outer Acrosomal Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Depalmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Inhibition Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Diaphragm Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Respiratory Gaseous Exchange By Nervous System Process -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Lens Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Lens Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Synapse
GO Term: Negative Regulation Of Receptor Internalization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Auditory Receptor Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Caveolar Macromolecular Signaling Complex -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Polkadots -> Biodomain: Immune Response, Signal Transduction, Cellular Organization, Cytoskeletal Dynamics, Cell Activation
GO Term: Trna Wobble Uridine Modification -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Trna Wobble Guanine Modification -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Trna Wobble Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Wobble Cytosine Modification -> Biodomain: Structural Stabilization, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Podosome -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Interleukin-33 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-33 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-33 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Store-Operated Calcium Entry -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Semaphorin Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Immune Response, Oxidative Stress, Proteostasis
GO Term: Inter-Male Aggressive Behavior -> Biodomain: Synapse, Immune Response, Epigenetic, Autophagy, Oxidative Stress
GO Term: Maternal Aggressive Behavior -> Biodomain: Immune Response, Synapse, Epigenetic, Autophagy, Proteostasis
GO Term: Trna Wobble Base Cytosine Methylation -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Trna Nucleoside Ribose Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Wobble Position Ribose Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis
GO Term: Polycystin Complex -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Utp Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Ctp Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Lipid Metabolism, Proteostasis
GO Term: Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Stereocilia Ankle Link -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Stereocilia Ankle Link Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Trna Wobble Position Uridine Thiolation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Cytosolic Trna Wobble Base Thiouridylase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, RNA Spliceosome, Oxidative Stress
GO Term: Hypochlorous Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: G-Quadruplex Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Bile Acid Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Steroid Receptor Rna Activator Rna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Oxidative Stress
GO Term: Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune Response, Endolysosome, Autophagy, Epigenetic
GO Term: Desmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Desmosome Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Dystroglycan Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Myelination
GO Term: High-Affinity Igm Receptor Activity -> Biodomain: Immune Response, Receptor Signaling, Cell Surface Receptor, Antibody Binding, Signal Transduction
GO Term: Protein Localization To Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Manchette -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Cytoplasmic Translation -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Cell Cycle, RNA Spliceosome
GO Term: Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, RNA Spliceosome
GO Term: Cytoplasmic Translational Termination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, Apoptosis
