Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Thyroid Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Positive Regulation Of Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Folate Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Aspartate Secretion -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Immune Response, Proteostasis, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Endothelin Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Intestinal Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Epigenetic
GO Term: Negative Regulation Of Intestinal Absorption -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Cellular Response To Tetrahydrofolate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, DNA Repair
GO Term: Protein Localization To Ciliary Transition Zone -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Vasculature
GO Term: Ac-Asp-Glu Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, APP Metabolism, Lipid Metabolism
GO Term: Tetrahydrofolyl-Poly(Glutamate) Polymer Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Protein Localization To Basolateral Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Synapse
GO Term: Positive Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Protein Localization To Cytoplasmic Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Myofibroblast Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Telomeric Loop Disassembly -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Response To Arachidonate -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Synapse
GO Term: Cellular Response To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: L-Tryptophan Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: L-Alanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Phosphatidylinositol 5-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Immune Response
GO Term: Response To Wortmannin -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Wortmannin -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Selenocysteine Incorporation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Intracellular Mrna Localization -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Autophagy, Epigenetic
GO Term: Positive Regulation Of Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Synapse, Cell Cycle, Mitochondrial Metabolism, Myelination
GO Term: Response To Polyamine Macromolecule -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Putrescine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Glycoprotein -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Autophagy
GO Term: Serotonin-Activated Cation-Selective Channel Complex -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Cellular Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Biphenyl -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Immune Response, Oxidative Stress, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Glucoside -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Ionomycin -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Response To Resveratrol -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cellular Response To Resveratrol -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Methionine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Curcumin -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Cellular Response To Curcumin -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Amyloid-Beta -> Biodomain: Response To Amyloid-Beta  
APP Metabolism, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Cellular Response To Amyloid-Beta -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Atp Export -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, Immune Response
GO Term: Positive Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Alpha-Aminoacyl-Trna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Myo-Inositol Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Cell Cycle, Endolysosome
GO Term: Peptide Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Response To 3-Methylcholanthrene -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Metalloendopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Negative Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Immune Response
GO Term: Positive Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Midbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Granulosa Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Catenin Destruction Complex Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Wnt-Frizzled-Lrp5/6 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Tertiary Granule Lumen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Replicative Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Negative Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Vasculature
GO Term: Positive Regulation Of Myofibroblast Differentiation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Epigenetic
GO Term: Chaperone-Mediated Autophagy Translocation Complex Disassembly -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: All-Trans-Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Response To Tetrachloromethane -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Regulation Of Protein Localization To Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nlrp1 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Translation Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis, Autophagy
GO Term: Rrna Acetylation Involved In Maturation Of Ssu-Rrna -> Biodomain: Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Ficolin-1-Rich Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Purine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Protein Localization To Microtubule Plus-End -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Positive Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Dorsal Root Ganglion Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Apoptosis
GO Term: Beta-Catenin-Tcf Complex Assembly -> Biodomain: Signal Transduction, Cell Adhesion, Transcription Regulation, Cell Cycle, Developmental Processes
GO Term: Torc2 Complex Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Response To Nitroglycerin -> Biodomain: Vasculature, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Nitroglycerin -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To L-Glutamine -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Proteasome Core Complex Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasome Regulatory Particle Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cytolytic Granule Lumen -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Dna Synthesis Involved In Mitotic Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Beta-Catenin-Tcf Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Protein Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: Telomerase Metabolism, DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Epigenetic, Proteostasis
GO Term: Response To Hydrogen Sulfide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Hydrogen Sulfide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Telomerase Catalytic Core Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Beta-Catenin Destruction Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, Apoptosis
GO Term: Beta-Catenin Destruction Complex Disassembly -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Wnt Signalosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cranial Skeletal System Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Escrt Complex Disassembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Vasculature
GO Term: Positive Regulation Of Hepatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Escrt Iii Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Apoptosis
GO Term: Escrt Iii Complex Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, APP Metabolism
GO Term: Negative Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Telomeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Establishment Of Rna Localization To Telomere -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Amphisome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mcm Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Apoptosis
