Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: N-Acetylglucosamine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: N-Acetylglucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Udp-N-Acetylglucosamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Udp-N-Acetylglucosamine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: N-Acetylmannosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Myelination, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mannoprotein Catabolic Process -> Biodomain: Glycoprotein Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Sorbitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Sorbitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Udp-Glucuronate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Alcohol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ethanol Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ethanol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glycerol-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aldehyde Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Organic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Acetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Lactate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Glyoxylate Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle
GO Term: Tricarboxylic Acid Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Citrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Isocitrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 2-Oxoglutarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Succinyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Fumarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxaloacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Energy Reserve Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Glycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Carbohydrate Metabolism, Small Molecule Metabolic Process, Proteostasis
GO Term: Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Electron Transport, Succinate To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Electron Transport, Ubiquinol To Cytochrome C -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Electron Transport, Cytochrome C To Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Glycerol-3-Phosphate Shuttle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Purine Nucleobase Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Purine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response, Endolysosome
GO Term: Guanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Proteostasis
GO Term: Inosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Deoxyinosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Purine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Adenosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Deoxyadenosine Catabolic Process -> Biodomain: DNA Repair, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Deoxyguanosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Purine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Lipid Metabolism
GO Term: Purine Ribonucleoside Salvage -> Biodomain: Mitochondrial Metabolism  
Cell Cycle  
DNA Repair  
Metal Binding and Homeostasis  
Oxidative Stress
GO Term: Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Adenine Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Camp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Cell Cycle, Epigenetic
GO Term: Adp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dadp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Datp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Guanine Salvage -> Biodomain: Mitochondrial Metabolism, Small Molecule Metabolic Process, Purine-Containing Compound Metabolic Process, Nucleobase Metabolic Process, Biosynthetic Process
GO Term: Cgmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Gtp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy, Proteostasis
GO Term: Dgdp Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Imp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Autophagy
GO Term: 'De Novo' Imp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Itp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Purine Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Amp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Camp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Gmp Catabolic Process To Guanine -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Dgtp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Imp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Nucleobase Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: 'De Novo' Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleobase Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Thymine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Uracil Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Pyrimidine Nucleoside Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thymidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Endolysosome, Apoptosis, Proteostasis
GO Term: Uridine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Pyrimidine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Pyrimidine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Udp Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Dump Biosynthetic Process -> Biodomain: Cell Cycle  
DNA Repair  
Mitochondrial Metabolism  
Epigenetic  
Metal Binding and Homeostasis
GO Term: Dudp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Utp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Dtmp Biosynthetic Process -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Mitochondrial Metabolism  
Autophagy
GO Term: Dtdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Dttp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ctp Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Dcmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Dctp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Ctp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Udp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Dna Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Dna Topological Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Dna Replication, Synthesis Of Primer -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Dna Replication Initiation -> Biodomain: DNA Repair, Macromolecule Metabolism, Cell Cycle, Genomic Stability, Epigenetic
GO Term: Dna Strand Elongation Involved In Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Leading Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Lagging Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Dna Replication -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Rna-Templated Dna Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Dna Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, DNA Damage Response, Epigenetic, Cell Cycle, Proteostasis
GO Term: Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Base-Excision Repair, Ap Site Formation -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Base-Excision Repair, Gap-Filling -> Biodomain: DNA Repair, DNA Metabolism, Cellular Response to Stress, Nucleic Acid Metabolism, Metabolic Process
GO Term: Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Pyrimidine Dimer Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Nucleotide-Excision Repair, Preincision Complex Assembly -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Nucleotide-Excision Repair, Dna Gap Filling -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, DNA Damage Response, Epigenetic, Proteostasis
GO Term: Postreplication Repair -> Biodomain: DNA Repair, DNA Damage Response, Response to Stimulus, Metabolic Process, Cellular Response to Stress
GO Term: Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Dna Modification -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dna Alkylation Repair -> Biodomain: DNA Repair, DNA Damage Response, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Dna Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Structural Stabilization, Apoptosis
GO Term: Meiotic Gene Conversion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nucleosome Assembly -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Dna Replication-Dependent Chromatin Assembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleosome Disassembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Dna Methylation-Dependent Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Dna-Templated Transcription Termination -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Transcription Initiation At Rna Polymerase I Promoter -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Transcription Elongation By Rna Polymerase I -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Termination Of Rna Polymerase I Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Rrna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Transcription Initiation At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, RNA Spliceosome, Proteostasis
GO Term: Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Termination Of Rna Polymerase Ii Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: 7-Methylguanosine Mrna Capping -> Biodomain: RNA Spliceosome, Gene Expression, Epigenetic, Proteostasis, DNA Repair
GO Term: Mrna Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Transcription Initiation At Rna Polymerase Iii Promoter -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Termination Of Rna Polymerase Iii Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Trna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Gene Expression, Metabolism, Nucleic Acid Metabolism, Translation
GO Term: Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Gene Expression, RNA Metabolism, Transcription, Metabolism
GO Term: Transcription Initiation At Mitochondrial Promoter -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Transcription Elongation By Mitochondrial Rna Polymerase -> Biodomain: Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Termination Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Autophagy, Oxidative Stress
GO Term: Rna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Mrna Processing -> Biodomain: RNA Spliceosome, Gene Expression, Epigenetic, DNA Repair, Proteostasis
GO Term: Mrna 3'-End Processing By Stem-Loop Binding And Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Trna Metabolic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna Modification -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Mrna Catabolic Process -> Biodomain: RNA Spliceosome  
Immune Response  
Apoptosis  
Cell Cycle  
Epigenetic
GO Term: Rna Localization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Rna Import Into Nucleus -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Snrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Trna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Translation -> Biodomain: Proteostasis, Macromolecular Metabolism, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Translational Initiation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Translational Elongation -> Biodomain: Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: Translational Termination -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Trna Aminoacylation For Protein Translation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
