Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: (1->3)-Beta-D-Glucan Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Lipopolysaccharide Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Response To Yeast -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Detection Of Yeast -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mullerian Duct Regression -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Nucleoside Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Purine Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Endothelial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Endothelial Cell Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Selenium Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Glucuronyl-Galactosyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Extracellular Matrix,Golgi Apparatus,Cell Adhesion,Cell Signaling
GO Term: Liver Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Placenta Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Phagocytic Cup -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Embryonic Placenta Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Structural Stabilization, Epigenetic
GO Term: Maternal Placenta Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Tissue Homeostasis -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Retina Homeostasis -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Cell Killing -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Autophagy, Endolysosome
GO Term: Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Photoreceptor Inner Segment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Synapse
GO Term: Farnesylated Protein Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Structural Stabilization
GO Term: Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: B-1 B Cell Homeostasis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: B-1 B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Exocyst Assembly -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Uropod -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Oxidative Stress
GO Term: Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Female Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Male Pronucleus -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hair Follicle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Lymph Vessel Development -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Cell Cycle
GO Term: Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sebaceous Gland Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Intestinal D-Glucose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Blood Vessel Maturation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Positive Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Intramembranous Ossification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Endochondral Ossification -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Negative Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Alpha-1,3-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Startle Response -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: G-Protein Alpha-Subunit Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Lipid Metabolism
GO Term: Thigmotaxis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Suckling Behavior -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Fibronectin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Retinoic Acid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: G Protein-Coupled Adenosine Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Oxidative Stress
GO Term: Response To Amphetamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nervous System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Ischemic Conditions -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Negative Regulation Of Heart Rate Involved In Baroreceptor Response To Increased Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin-Angiotensin -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Vasopressin -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Norepinephrine-Epinephrine Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of The Force Of Heart Contraction By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Angiotensin-Mediated Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Angiotensin Levels In Blood -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Angiotensin Maturation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Morphogenesis Of An Epithelial Sheet -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Vasoconstriction Of Artery Involved In Ischemic Response To Lowering Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Blood Volume By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Volume By Renal Aldosterone -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Renin-Angiotensin Regulation Of Aldosterone Production -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Renal Output By Angiotensin -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Protease Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Diet Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Norepinephrine-Epinephrine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Desensitization Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Angiotensin-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Maintenance Of Blood Vessel Diameter Homeostasis By Renin-Angiotensin -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Brain Renin-Angiotensin System -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: P53 Binding -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Intussusceptive Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Opsin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Osteoblast Fate Commitment -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Adenine Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Uracil Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Purine Nucleobase Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Synapse, DNA Repair
GO Term: Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Chondrocyte Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Epithelial Cell Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Columnar/Cuboidal Epithelial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Endolysosome
GO Term: Glandular Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Glandular Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Columnar/Cuboidal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Glandular Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Optic Cup Morphogenesis Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Epigenetic
GO Term: Extraocular Skeletal Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Osteoblast Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Acrosome Matrix Dispersal -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Membrane Fusion Involved In Acrosome Reaction -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Inner Acrosomal Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Acrosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Outer Acrosomal Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Tau Homeostasis, APP Metabolism, Synapse
GO Term: Inhibition Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Diaphragm Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Respiratory Gaseous Exchange By Nervous System Process -> Biodomain: Synapse, Myelination, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lens Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Lens Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Negative Regulation Of Receptor Internalization -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Auditory Receptor Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Caveolar Macromolecular Signaling Complex -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Synapse
GO Term: Polkadots -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Trna Wobble Guanine Modification -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Trna Wobble Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Wobble Cytosine Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Podosome -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Interleukin-33 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-33 Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Interleukin-33 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Semaphorin Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Immune Response, Myelination
GO Term: Inter-Male Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Maternal Aggressive Behavior -> Biodomain: Immune Response, Oxidative Stress, Synapse, Epigenetic, Apoptosis
GO Term: Trna Wobble Base Cytosine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Nucleoside Ribose Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Wobble Position Ribose Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Polycystin Complex -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Utp Binding -> Biodomain: RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ctp Binding -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, DNA Repair, Proteostasis
GO Term: Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle, Vasculature
GO Term: Stereocilia Ankle Link -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Stereocilia Ankle Link Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Trna Wobble Position Uridine Thiolation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cytosolic Trna Wobble Base Thiouridylase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hypochlorous Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: G-Quadruplex Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Bile Acid Conjugation -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Steroid Receptor Rna Activator Rna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Osteoclast Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Desmosome Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Desmosome Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Apoptosis
GO Term: Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Dystroglycan Binding -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: High-Affinity Igm Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Localization To Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Manchette -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Cytoplasmic Translation -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
