Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Olfactory Bulb Mitral Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Uterus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Female Gonad Morphogenesis -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Negative Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Wound Healing -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Somite Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Myotome Development -> Biodomain: Muscle, Skeletal System, Embryogenesis, Cell Differentiation, Organ Development
GO Term: Sclerotome Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Muscle Structure Development -> Biodomain: Structural Stabilization, Cell Organization, Mitochondrial Metabolism, Cell Cycle, Vasculature
GO Term: Iris Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Ciliary Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Lung Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Endolysosome, Immune Response, Vasculature, Synapse
GO Term: Neuroendocrine Cell Differentiation -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Differentiation, Endocrine System, Developmental Biology, Gastrointestinal Tract, Cell Signaling
GO Term: Carotid Body Glomus Cell Differentiation -> Biodomain: Oxidative Stress, Vasculature, Structural Stabilization, Synapse, Apoptosis
GO Term: Adrenal Chromaffin Cell Differentiation -> Biodomain: Endolysosome, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Immune Response
GO Term: Seminal Vesicle Epithelium Development -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature, Epigenetic
GO Term: Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Branching Involved In Pancreas Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Lung Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Morphogenesis Of A Branching Epithelium -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Alveolar Primary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Alveolar Secondary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lung Smooth Muscle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Autophagy
GO Term: Trachea Gland Development -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Mrna Destabilization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Immune Response
GO Term: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Autophagy, Apoptosis, Proteostasis, Immune Response
GO Term: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Polarization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mammary Gland Epithelium Development -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Structural Stabilization, Epigenetic
GO Term: Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sclerotome Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Taste Bud Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Immune Response
GO Term: Fungiform Papilla Development -> Biodomain: Epithelial, Organ Morphogenesis, Neurogenesis, Craniofacial, Sensory Perception
GO Term: Fungiform Papilla Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Fungiform Papilla Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Paramesonephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Immune Response
GO Term: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cerebellum Vasculature Development -> Biodomain: Vasculature, Neuroinflammation, Structural Stabilization, Endolysosome, Immune Response
GO Term: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cornea Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Apoptosis, Immune Response
GO Term: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Notch Signaling Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic
GO Term: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Renal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Renal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Cardiac Conduction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Oxidative Stress, Autophagy
GO Term: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair, Apoptosis
GO Term: Wnt Protein Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Vasculature
GO Term: Optic Chiasma Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Behavioral Response To Formalin Induced Pain -> Biodomain: Pain Response, Neuroinflammation, Sensory Processing, Neuroimmunology, Behavior
GO Term: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Determination Of Heart Left/Right Asymmetry -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Mammillary Axonal Complex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Mammillothalamic Axonal Tract Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Lipid Metabolism
GO Term: Mammary Gland Lobule Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Inferior Colliculus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Cell Migration In Diencephalon -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Heart Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Closure Of Optic Fissure -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Cellular Response To Methionine -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Establishment Of Skin Barrier -> Biodomain: Structural Stabilization, Epithelial, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Renal Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Endocardial Cushion Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Endocardial Cushion Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Reproductive System Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: L-Arginine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Vasculature, Endolysosome
GO Term: Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Lipid Metabolism
GO Term: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Phagolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Response To Tnf Agonist -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Memory T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Myeloid Cell Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Monocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Microglial Cell Proliferation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Macrophage Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Langerhans Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: Cilium Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Hindgut Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Acetylcholine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sympathetic Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Vasculature
GO Term: Cranial Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Trigeminal Ganglion Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Axon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Actin Filament Bundle Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Asap Complex -> Biodomain: Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, DNA Repair, Autophagy, Apoptosis
GO Term: Colon Epithelial Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy, Immune Response
GO Term: Intestinal Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Calcium Activated Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Myelination
GO Term: Molybdopterin Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Molybdopterin Molybdotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Nuclear Import Signal Receptor Activity -> Biodomain: Cell Cycle, RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis
GO Term: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Mirna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, Proteostasis
GO Term: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Micos Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Canonical Glycolysis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolytic Process From Galactose -> Biodomain: Glycolysis, Mitochondrial Metabolism, Carbohydrate Metabolism, Energy Metabolism, Metabolic Processes
GO Term: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Chemoattraction Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
