Running with TEMP=0.9, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cellular Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Lead Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, DNA Repair, Lipid Metabolism
GO Term: Cellular Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Cellular Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Cellular Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cellular Response To Retinoic Acid -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Vitamin D -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Cellular Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Vitamin K -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cellular Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Caffeine -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Cellular Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cellular Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Cellular Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Cellular Response To Atp -> Biodomain: Mitochondrial Metabolism, Immune Response, Autophagy, Proteostasis, Cell Cycle
GO Term: Cellular Response To Camp -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Cellular Response To Cgmp -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Cellular Response To Carbohydrate Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Sucrose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Fructose Stimulus -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Hair Follicle Cell Proliferation -> Biodomain: Epithelial Integrity, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Mll1 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair, Oxidative Stress
GO Term: Cellular Response To Cytokine Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Cellular Response To Interleukin-11 -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Cellular Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Interleukin-18 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Interleukin-4 -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Interleukin-6 -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Cellular Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Inflammation, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Cellular Response To Type I Interferon -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Dsrna -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Exogenous Dsrna -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Cellular Response To Ether -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Epidermal Growth Factor Stimulus -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Cellular Response To Gonadotropin Stimulus -> Biodomain: Endolysosome, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cellular Response To Follicle-Stimulating Hormone Stimulus -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Cellular Response To Luteinizing Hormone Stimulus -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Cellular Response To Peptide Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Corticotropin-Releasing Hormone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Glucagon Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Growth Hormone Stimulus -> Biodomain: Cell Cycle, Lipid Metabolism, Immune Response, Vasculature, Epigenetic
GO Term: Cellular Response To Prostaglandin Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Steroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Corticosteroid Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Glucocorticoid Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Corticosterone Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Cellular Response To Cortisol Stimulus -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Cellular Response To Mineralocorticoid Stimulus -> Biodomain: Vasculature, Immune Response, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cellular Response To Estrogen Stimulus -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, DNA Repair
GO Term: Cellular Response To Estradiol Stimulus -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Progesterone Stimulus -> Biodomain: Epigenetic, Lipid Metabolism, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Testosterone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Cellular Response To Jasmonic Acid Stimulus -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Cellular Response To Cholesterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cellular Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Endolysosome
GO Term: Cellular Response To High Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Cellular Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Genistein -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Amine Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Succinate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Malate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Rrna (Cytosine-N4-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, DNA Repair
GO Term: Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Clathrin Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cellular Response To Pheromone -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Hydroperoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Superoxide -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Anoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Hyperoxia -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Localization To Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Cellular Response To Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Cellular Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Cellular Response To Ph -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cellular Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cellular Response To Osmotic Stress -> Biodomain: Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cellular Response To Non-Ionic Osmotic Stress -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Cellular Hypotonic Response -> Biodomain: Structural Stabilization, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Cellular Hypotonic Salinity Response -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To X-Ray -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To High Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cellular Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Cellular Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Proteostasis
GO Term: Cellular Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization, Epigenetic
GO Term: Cellular Response To Temperature Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Heparin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, APP Metabolism, Epigenetic
GO Term: Cellular Response To Heparin -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cellular Response To Mycophenolic Acid -> Biodomain: Immune Response, DNA Repair, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Phosphopantothenoylcysteine Decarboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Trna Re-Export From Nucleus -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Cementum Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Ankyrin Repeat Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Ring-Like Zinc Finger Domain Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3E -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3M -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Diphosphoinositol Polyphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inositol Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Pi-Body -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Pip-Body -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, RNA Spliceosome
GO Term: Response To Dexamethasone -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Cellular Response To Dexamethasone Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Structural Stabilization
GO Term: Histone H3K27Me2/H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Transforming Growth Factor Beta -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nucleus-Vacuole Junction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Npbaf Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Nbaf Complex -> Biodomain: Epigenetic, Structural Stabilization, Synapse, DNA Repair, Proteostasis
GO Term: Ufm1 Activating Enzyme Activity -> Biodomain: Ubiquitin Proteasome Pathway, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Deufmylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Ufm1 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Ufmylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Zinc Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Zinc Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Zinc Ion Transmembrane Import -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Caax-Box Protein Processing -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lymphocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nem1-Spo7 Phosphatase Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The N-End Rule Pathway -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Autophagy, Cellular Homeostasis
GO Term: Neuronal Ribonucleoprotein Granule -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Otic Vesicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Phytosphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Endothelial Cell-Cell Adhesion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Linoleic Acid Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Vasculature
GO Term: Lysophospholipid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Lysophosphatidylethanolamine Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Chemokine Signaling Pathway, Inflammation, Cell Migration, Immune Cell Trafficking
GO Term: Vocalization Behavior -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Mastication -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Cytoplasm Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Nuclear Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Negative Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cell Signaling, Cytokine Activity, Chemotaxis
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 4 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Synapse, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Ip-10 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Ip-10 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Positive Regulation Of Granzyme B Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
