Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Ear Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Vasculature
GO Term: Nose Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Synapse
GO Term: Nose Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Epigenetic
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Epigenetic, Cell Cycle
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Skin Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Proteostasis
GO Term: Skin Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Nitrate Catabolic Process -> Biodomain: Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Amide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Amide Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Astrocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Response To Estrogen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Host Cell -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Axon Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Cell Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Structural Stabilization
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytidine Kinase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Acireductone Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, DNA Repair
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, DNA Repair
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Suramin Binding -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Signal Transduction, Cell Signaling, Epigenetic, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Cellular Component Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, DNA Repair, Cell Cycle
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, APP Metabolism, Autophagy
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of System Process -> Biodomain: Vasculature, Immune Response, Synapse, Myelination, Structural Stabilization
GO Term: Regulation Of Respiratory System Process -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Myelination
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Oxidative Stress, Endolysosome, Immune Response, Synapse, Apoptosis
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cytolytic Granule -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle, DNA Repair
GO Term: Translation Initiation Ternary Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization, Cell Cycle
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, DNA Repair
GO Term: Ctp Salvage -> Biodomain: Autophagy, Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Synapse
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Apical Pole Of Neuron -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Organelle Membrane Contact Site -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Polysaccharide Digestion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cell-Cell Contact Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cell Body -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: C-Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Main Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Immune Response, Autophagy
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Leptin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, DNA Repair, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Transmembrane Transporter Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Dendritic Spine Neck -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Stem Cell Differentiation, Signal Transduction, Developmental Biology, Transcriptional Regulation, Cell Fate Commitment
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Cell Cycle, Structural Stabilization
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Macropinosome -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, DNA Repair, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Rrna Stability -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Peroxisome Size -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Synapse
GO Term: Microspike -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Nsl Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Innate Immunity, Apoptosis, Oxidative Stress, Inflammatory Response
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, Tau Homeostasis, Synapse, Proteostasis, Immune Response
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Daunorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Synapse, Mitochondrial Metabolism
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Tooth Eruption -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Autophagy
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
