Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Corvet Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Choline Binding -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Node Of Ranvier -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Internode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Response To Vitamin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Vitamin B2 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Actin-Myosin Filament Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Transcription Factor Tftc Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Vitamin D -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Epigenetic, Cell Cycle
GO Term: Eukaryotic 48S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Eukaryotic 80S Initiation Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: T-Tubule Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Dehydroascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Cell Cycle Comprising Mitosis Without Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Phytol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Meiotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Udp-D-Xylose Biosynthetic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Extracellular Matrix Organization, Protein Modification, Metabolic Pathways
GO Term: Cerebrospinal Fluid Secretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Leydig Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature
GO Term: Peroxisome Membrane Targeting Sequence Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: L-Asparagine Catabolic Process Via L-Aspartate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: S-Adenosylmethionine Cycle -> Biodomain: Methylation, Amino Acid Metabolism, Sulfur Compound Metabolism, Polyamine Metabolism, Lipid Metabolism
GO Term: Secretory Granule Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Mast Cell Secretory Granule Organization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Protein Localization To Organelle -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Protein Localization To Secretory Granule -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Autophagy
GO Term: T Cell Secretory Granule Organization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Maintenance Of Protease Location In Mast Cell Secretory Granule -> Biodomain: Proteostasis, Immune Response, Endolysosome, Structural Stabilization, Autophagy
GO Term: Maintenance Of Granzyme B Location In T Cell Secretory Granule -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Synapse
GO Term: Geranyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Geranyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Geranylgeranyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Putrescine Biosynthetic Process From Arginine, Via Ornithine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Putrescine Biosynthetic Process From Arginine, Via Agmatine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Chromatoid Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Endolysosome
GO Term: Beta-Alanine Biosynthetic Process Via 3-Ureidopropionate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Methylmethionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intracellular Nitric Oxide Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Cholesterol Biosynthetic Process Via 24,25-Dihydrolanosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metabolic Process, Structural Stabilization, Autophagy
GO Term: Cholesterol Biosynthetic Process Via Desmosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cholesterol Biosynthetic Process Via Lathosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Galactose Catabolic Process Via Udp-Galactose, Leloir Pathway -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Carbohydrate Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Hulc Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Floor Plate Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Vasculature
GO Term: Floor Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via Saccharopine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via L-Pipecolate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Oxidase -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Map Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Map Kinase Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Vitamin B3 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Rdna Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cellular Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Multicellular Organismal Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Slx1-Slx4 Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Protein Lysine Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Folate Reductase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Dorsal/Ventral Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Anterior/Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Escrt-0 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Gamma-Tubulin Complex Localization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Dna Replication, Okazaki Fragment Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Transferrin Transport -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Response To Testosterone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Elongator Holoenzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Response To Cobalamin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Rna Strand Annealing Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Brca2-Mage-D1 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Hydroxyisoflavone -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Response To Genistein -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Tsc1-Tsc2 Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Mitotic Checkpoint Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, DNA Repair, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epithelial Function, Glandular Function, Hormonal Signaling, Cell Growth Regulation
GO Term: Negative Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, APP Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Catecholamine Secretion -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Oxalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Receptor Serine/Threonine Kinase Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Mitochondrial Cytochrome C Oxidase Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Membrane Protein Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Integrin Activation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Regulation Of Integrin Activation -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Integrin Activation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Integrin Activation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Integrin Activation By Cell Surface Receptor Linked Signal Transduction -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Positive Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: 5'-3' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis
GO Term: 3'-5' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Luteinizing Hormone Secretion -> Biodomain: Endocrine Signaling, Neurotransmitter Release and Synapse Function, Signaling Pathways, Cell Communication, Immune Response
GO Term: Positive Regulation Of Luteinizing Hormone Secretion -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Sialic Acid Binding -> Biodomain: Immune Response, Lipid Metabolism, Myelination, Proteostasis, Structural Stabilization
GO Term: Neurofilament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse, Cell Cycle
GO Term: Heterochromatin Boundary Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Dna 5'-Adenosine Monophosphate Hydrolase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Myelination, Autophagy
GO Term: 3-Beta-Hydroxy-5-Beta-Steroid Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Aldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aspartate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peptide-Methionine (R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Methionine:Thioredoxin-Disulfide S-Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Methionine-(R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H3R2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Histone H4R3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Indoleamine 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Response To Glucagon -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Steroid Dehydrogenase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cholesterol 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: 24S-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: 25-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Endolysosome
GO Term: Cyanocobalamin Reductase (Cyanide-Eliminating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoyl-Coa 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Thyroxine 5-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Propanoyl-Coa C-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Lipoyl(Octanoyl) Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Procollagen Glucosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Cellular Processes, Epigenetic, Autophagy, Endolysosome
GO Term: N-Acetyl-Beta-Glucosaminyl-Derivative 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, Epigenetic
GO Term: 5-Diphosphoinositol Pentakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: N-Acetylgalactosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Ump Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Autophagy
GO Term: Positive Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Fas-Activated Serine/Threonine Kinase Activity -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Choloyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pyridoxal Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 10-Hydroxy-9-(Phosphonooxy)Octadecanoate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: N-Sulfoglucosamine-3-Sulfatase Activity -> Biodomain: Endolysosome, Autophagy, Immune Response, Vasculature, Structural Stabilization
GO Term: Deoxyribonuclease (Pyrimidine Dimer) Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Ribonuclease T2 Activity -> Biodomain: RNA Spliceosome, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Hyaluronoglucuronidase Activity -> Biodomain: Endolysosome, Immune Response, Structural Stabilization, Vasculature, Autophagy
GO Term: Glucan 1,3-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Mannosyl-Glycoprotein Endo-Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cis-Stilbene-Oxide Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: P-Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Synapse
GO Term: Cholesterol-5,6-Oxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Box H/Aca Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: D-Dopachrome Decarboxylase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fad-Amp Lyase (Cyclizing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Silicon Dioxide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Deoxyhypusine Synthase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Epigenetic
GO Term: 8-Oxo-7,8-Dihydroguanine Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Atpase-Coupled Lipid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Abc-Type Sterol Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Poly(G) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Symbiont-Induced Defense-Related Programmed Cell Death -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Estrogen Response Element Binding -> Biodomain: Hormone Signaling, Epigenetic, Transcription Regulation, DNA Binding, Nuclear Regulation
GO Term: Rna Strand-Exchange Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: 5'-3' Rna Polymerase Activity -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Structural Stabilization
GO Term: Ric1-Rgp1 Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Localization To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cenp-A Containing Chromatin Assembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
