Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Carboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hydroxylysine Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ketone Body Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Autophagy
GO Term: Ketone Body Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nonassociative Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Habituation -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Sensitization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Immune Response
GO Term: Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Transport -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Immune Response, Myelination
GO Term: Nuclear Retinoid X Receptor Binding -> Biodomain: Transcription Regulation, Nuclear Receptor Signaling, Lipid Metabolism, Cell Differentiation & Development, Cellular Signaling & Communication
GO Term: Nuclear Thyroid Hormone Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cytosol To Endoplasmic Reticulum Transport -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Peptide Antigen Transport -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Histone H3K9 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Histone H4K16 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K16 Acetyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone H3K9 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K36 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Transcription, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K27 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Tap Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tap1 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tap2 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tapasin Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Heterodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Protein Dimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Regulation Of Hemoglobin Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Hemoglobin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Hemoglobin Biosynthetic Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: N-Hydroxyarylamine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 17-Alpha,20-Alpha-Dihydroxypregn-4-En-3-One Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Hydroxy-2-Methylbutyryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cholest-5-Ene-3-Beta,7-Alpha-Diol 3-Beta-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Prostaglandin F Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: 15-Hydroxyprostaglandin-D Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: 7-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Androsterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 5-Alpha-Androstane-3-Beta,17-Beta-Diol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Testosterone Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Androstan-3-Alpha,17-Beta-Diol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Testosterone 17-Beta-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Vitamin-K-Epoxide Reductase (Warfarin-Sensitive) Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Vitamin-K-Epoxide Reductase (Warfarin-Insensitive) Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phospholipid-Hydroperoxide Glutathione Peroxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Apoptosis, Autophagy
GO Term: Ketosteroid Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Aminomuconate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: 4-Trimethylammoniobutyraldehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trans-1,2-Dihydrobenzene-1,2-Diol Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Delta1-Piperideine-2-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Thiomorpholine-Carboxylate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase (Nadp+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Saccharopine Dehydrogenase (Nad+, L-Glutamate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein-Disulfide Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: 2-Acylglycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Betaine-Homocysteine S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Plasmalogen Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: 1-Alkenylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Phosphatidylcholine-Retinol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Platelet-Activating Factor Acetyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: 1-Acylglycerophosphocholine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate 9-O-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: 2-Acylglycerophosphocholine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 1-Alkylglycerophosphocholine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: 1-Alkylglycerophosphocholine O-Acetyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Long-Chain-Alcohol O-Fatty-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Myelination, Autophagy
GO Term: L-Cysteine-S-Conjugate N-Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Galactosylxylosylprotein 3-Beta-Galactosyltransferase Activity -> Biodomain: Glycosylation, Extracellular Matrix Organization, Protein Modification, Structural Stabilization, Proteostasis
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, APP Metabolism
GO Term: Acetylgalactosaminyl-O-Glycosyl-Glycoprotein Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Acetylgalactosaminyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Glucuronylgalactosylproteoglycan 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Glucuronosyl-N-Acetylgalactosaminyl-Proteoglycan 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Lipid Metabolism, Vasculature
GO Term: Lactosylceramide 1,3-N-Acetyl-Beta-D-Glucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosphingolipid Metabolism, Glycosylation, Cell Membrane, Structural Stabilization
GO Term: Galactosylgalactosylglucosylceramide Beta-D-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: N-Acetyllactosaminide 3-Alpha-Galactosyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Globoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Glycan Metabolism, Metabolic Pathways, Enzymatic Activity
GO Term: Nicotinamide Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Beta-D-Galactosyl-(1->3)-N-Acetyl-Beta-D-Galactosaminide Alpha-2,3- Sialyltransferase -> Biodomain: Glycosylation, Glycobiology, Post-translational Modification, Metabolic Pathways, Cell Adhesion and Signaling
GO Term: Alpha-N-Acetylneuraminyl-2,3-Beta-Galactosyl-1,3-N-Acetyl-Galactosaminide 6-Alpha-Sialyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Lactosylceramide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Apoptosis, Endolysosome
GO Term: (S)-3-Amino-2-Methylpropionate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: (R)-3-Amino-2-Methylpropionate-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Kynurenine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Glutamine-Phenylpyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: [Hydroxymethylglutaryl-Coa Reductase (Nadph)] Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: [3-Methyl-2-Oxobutanoate Dehydrogenase (Acetyl-Transferring)] Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Inositol-3,4,5,6-Tetrakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Inositol-1,3,4,6-Tetrakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Fucose-1-Phosphate Guanylyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, Vasculature
GO Term: D-Ribitol-5-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Adenylylsulfate-Ammonia Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: 1-Alkenyl-2-Acylglycerol Choline Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Succinate-Hydroxymethylglutarate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Monoacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Methylumbelliferyl-Acetate Deacetylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: All-Trans-Retinyl-Palmitate Hydrolase, All-Trans-Retinol Forming Activity -> Biodomain: Lipid Metabolism, Endolysosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Acetylalkylglycerol Acetylhydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: [3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Protein Modification, Enzyme Regulation, Metabolic Pathways
GO Term: Glycerophosphocholine Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Glycerophosphocholine Cholinephosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Alkylglycerophosphoethanolamine Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Immune Response, Structural Stabilization
GO Term: Glycerophosphoinositol Inositolphosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycerophosphoinositol Glycerophosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Protein-Glucosylgalactosylhydroxylysine Glucosidase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Adp-Ribosyl-[Dinitrogen Reductase] Hydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Alkenylglycerophosphocholine Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Myelination, Immune Response
GO Term: N-(Long-Chain-Acyl)Ethanolamine Deacylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: N-Acetylgalactosamine-6-Phosphate Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Nucleoside Triphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: N-Acylneuraminate-9-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Atp-Dependent Nad(P)H-Hydrate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Heparosan-N-Sulfate-Glucuronate 5-Epimerase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Regulation Of Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Ceramide Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Vesicle Transport Along Microtubule -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Myelination
GO Term: Mitochondrion Transport Along Microtubule -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Calcium-Dependent Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Calcium-Independent Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Damp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Proteostasis
GO Term: 15-Oxoprostaglandin 13-Reductase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: 2-Aminoadipate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: 2-Hydroxyglutarate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 3',5'-Cyclic-Gmp Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: 3-Dehydrosphinganine Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: 7-Dehydrocholesterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Acetoacetyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetylputrescine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Acetylspermidine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Aconitate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Acylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Adenylylsulfatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Adp-Ribose Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Apoptosis
GO Term: Albendazole Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Alkylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Allyl-Alcohol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Alpha-Amino-Acid Esterase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Arachidonate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Arachidonate 8(R)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Amine Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Detoxification, Immune Response, Oxidative Stress, Proteostasis
GO Term: Atp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Proteostasis
GO Term: Beta-Adrenergic Receptor Kinase Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Epigenetic
GO Term: Bile-Salt Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Biotinidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Bis(5'-Adenosyl)-Triphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Galactolipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Myelination, Autophagy
GO Term: Indanol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Iron-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Carnosine Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cdp-Glycerol Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Chlordecone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cholate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cholestanetetraol 26-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cholestenol Delta-Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: 3-Oxo-5-Alpha-Steroid 4-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondroitin 4-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Chondroitin-Glucuronate 5-Epimerase Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: (S)-Citramalyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Corticosterone 18-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Delta4-3-Oxosteroid 5Beta-Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cysteamine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Cysteine-S-Conjugate Beta-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cytidylate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: D-Glutamate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Glutamate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Hypotaurine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Synapse, Proteostasis
