Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Glycogen Metabolism, Carbohydrate Metabolism, Metabolic Pathways, Energy Metabolism, Mitochondrial Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Deoxycytidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Dihydrofolate Reductase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Cell Cycle, Apoptosis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Synapse, Metal Binding and Homeostasis
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Tau Homeostasis, Immune Response, Endolysosome, Autophagy
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Endolysosome
GO Term: Metalloendopeptidase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Proteostasis, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epoxide Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Cellular Metabolism, Energy Metabolism, Metabolic Pathways
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Apoptosis
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gluconolactonase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Endolysosome
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Glutamine Synthetase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Cofactor and Vitamin Metabolism, One-Carbon Metabolism, Enzyme Activities
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Cofactor and Vitamin Metabolism, One-Carbon Metabolism, Oxidative Stress
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Lipid Metabolism, Endomembrane System, Protein Modification Enzymes
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Glycosylation & Glycobiology, Post-translational Modification, Enzymes & Enzyme Pathways, Metabolism, Cell Surface Proteins
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Glycosylation,Post-translational Modification,Immune Response,Cell Surface,Protein Trafficking
GO Term: Gdp Phosphatase Activity -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Gmp Kinase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis
GO Term: Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Immune Response, Proteostasis
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Glycolysis and Glucose Metabolism, Metabolic Pathways, Energy Pathways, Enzyme Regulation
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Apoptosis, Endolysosome
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Immune Response
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Lactose Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Cell Cycle
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Myelination
