Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Thyroid Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Folate Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Aspartate Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelin Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Intestinal Absorption -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Intestinal Absorption -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Tetrahydrofolate -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Protein Localization To Ciliary Transition Zone -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Ac-Asp-Glu Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Epigenetic
GO Term: Tetrahydrofolyl-Poly(Glutamate) Polymer Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Protein Localization To Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Positive Regulation Of Torc2 Signaling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Localization To Cytoplasmic Microtubule Plus-End -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Cell Cycle, Synapse
GO Term: Regulation Of Myofibroblast Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Response To Arachidonate -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Cellular Response To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: L-Tryptophan Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Proteostasis
GO Term: L-Alanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol 5-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Vasculature
GO Term: Cellular Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Vasculature, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Response To Wortmannin -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Wortmannin -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Immune Response, Endolysosome
GO Term: Negative Regulation Of Selenocysteine Incorporation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Response To Polyamine Macromolecule -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Cellular Response To Putrescine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Glycoprotein -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: Regulation Of Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Protein Import -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Serotonin-Activated Cation-Selective Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Response To Biphenyl -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Response To Glucoside -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Ionomycin -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Resveratrol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Resveratrol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Methionine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Curcumin -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Cellular Response To Curcumin -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Response To Amyloid-Beta -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Cellular Response To Amyloid-Beta -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Atp Export -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Autophagy
GO Term: Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Negative Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Alpha-Aminoacyl-Trna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Myo-Inositol Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Peptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Mitochondrial Metabolism, APP Metabolism
GO Term: Response To 3-Methylcholanthrene -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Metalloendopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Midbrain Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Regulation Of Granulosa Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Beta-Catenin Destruction Complex Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Wnt-Frizzled-Lrp5/6 Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Autophagy, DNA Repair
GO Term: Tertiary Granule Lumen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Replicative Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis  
Developmental Signaling  
Morphogenesis  
Tissue Remodeling  
Cell Death Mechanisms
GO Term: Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Nucleolus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Regulation Of Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Proteostasis, Vasculature
GO Term: Negative Regulation Of Myofibroblast Differentiation -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Positive Regulation Of Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Chaperone-Mediated Autophagy Translocation Complex Disassembly -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: All-Trans-Retinol Binding -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Proteostasis, Apoptosis
GO Term: Response To Tetrachloromethane -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Regulation Of Protein Localization To Centrosome -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Nlrp1 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Translation Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Rrna Acetylation Involved In Maturation Of Ssu-Rrna -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Ficolin-1-Rich Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Purine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein Localization To Microtubule Plus-End -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Negative Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Positive Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Dorsal Root Ganglion Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Beta-Catenin-Tcf Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Torc2 Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Response To Nitroglycerin -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To Nitroglycerin -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To L-Glutamine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Synapse
GO Term: Negative Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Proteasome Core Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Regulatory Particle Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cytolytic Granule Lumen -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Dna Synthesis Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Neurotransmission, Cell Adhesion, Neural Circuit
GO Term: Negative Regulation Of Beta-Catenin-Tcf Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Protein Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Cajal Body -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Synapse
GO Term: Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Vasculature, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Hydrogen Sulfide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Cellular Response To Hydrogen Sulfide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Telomerase Catalytic Core Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Beta-Catenin Destruction Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Beta-Catenin Destruction Complex Disassembly -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Wnt Signalosome Assembly -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Vasculature, Structural Stabilization
GO Term: Cranial Skeletal System Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Nervous System, Signaling, Neuron
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Escrt Complex Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Positive Regulation Of Hepatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Escrt Iii Complex Assembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Escrt Iii Complex Disassembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Telomeric -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Establishment Of Rna Localization To Telomere -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Negative Regulation Of Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Amphisome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Mcm Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
