Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Secretion By Lung Epithelial Cell Involved In Lung Growth -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Olfactory Bulb Mitral Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Tissue Morphogenesis, Developmental Processes, Cellular Differentiation, Extracellular Matrix Organization
GO Term: Negative Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Uterus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Female Gonad Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Wound Healing -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Somite Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Sclerotome Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Muscle Structure Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Iris Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Ciliary Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Tissue Morphogenesis, Sensory Organ Development, Cellular Morphogenesis
GO Term: Regulation Of Neural Retina Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Synapse, Autophagy
GO Term: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Lung Neuroendocrine Cell Differentiation -> Biodomain: Cell Differentiation, Cell Development, Neurogenesis, Epithelial Development, Cell Morphogenesis
GO Term: Neuroendocrine Cell Differentiation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Carotid Body Glomus Cell Differentiation -> Biodomain: Oxidative Stress, Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Adrenal Chromaffin Cell Differentiation -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Seminal Vesicle Epithelium Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Branching Involved In Pancreas Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Lung Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Morphogenesis Of A Branching Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Alveolar Primary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Alveolar Secondary Septum Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Lung Smooth Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Vasculature
GO Term: Trachea Gland Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Establishment Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Polarization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mammary Gland Epithelium Development -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Negative Regulation Of Dermatome Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sclerotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Taste Bud Development -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Apoptosis, Vasculature
GO Term: Fungiform Papilla Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Fungiform Papilla Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Fungiform Papilla Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Paramesonephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Cerebellum Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Neurovascular Unit, Structural Stabilization, Motor Function, Development
GO Term: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Cornea Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Notch Signaling Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, RNA Spliceosome
GO Term: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Renal Tubule Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Autophagy
GO Term: Renal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Cardiac Conduction -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, RNA Spliceosome
GO Term: Wnt Protein Secretion -> Biodomain: Proteostasis, Synapse, APP Metabolism, Epigenetic, Immune Response
GO Term: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Vasculature
GO Term: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Optic Chiasma Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Behavioral Response To Formalin Induced Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Myelination, Mitochondrial Metabolism
GO Term: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Apoptosis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Determination Of Heart Left/Right Asymmetry -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Mammillary Axonal Complex Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Mammillothalamic Axonal Tract Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Apoptosis
GO Term: Mammary Gland Lobule Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Inferior Colliculus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Cell Migration In Diencephalon -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Lipid Metabolism, Myelination
GO Term: Heart Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Closure Of Optic Fissure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism
GO Term: Cellular Response To Methionine -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Skin Barrier -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Renal Artery Morphogenesis -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Endocardial Cushion Cell Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Endocardial Cushion Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Connective Tissue Development -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: Trophoblast Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Reproductive System Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: L-Arginine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, B Cell Function, Signal Transduction, Epigenetic, Apoptosis
GO Term: Phagolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Response To Tnf Agonist -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Homeostasis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Memory T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Endolysosome
GO Term: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Myeloid Cell Development -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Monocyte Proliferation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Microglial Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Macrophage Homeostasis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Vasculature, Proteostasis
GO Term: Langerhans Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Cilium Disassembly -> Biodomain: Cell Cycle, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Hindgut Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Acetylcholine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Neuronal Signaling, Synaptic Vesicle Trafficking, Signaling Pathways, Exocytosis
GO Term: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Sympathetic Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cranial Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Trigeminal Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Axon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Morphology, Cell Cycle, Cell Growth
GO Term: Actin Filament Bundle Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Asap Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Colon Epithelial Cell Migration -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Intestinal Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Calcium Activated Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Molybdopterin Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin Molybdotransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Import Signal Receptor Activity -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis
GO Term: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Mirna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Immune Response
GO Term: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Micos Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Canonical Glycolysis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Glycolytic Process From Galactose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, DNA Repair
GO Term: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Tau Homeostasis
