Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Kinetochore Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Response To Glucocorticoid -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Mineralocorticoid -> Biodomain: Vasculature, Electrolyte Homeostasis, Hormone Signaling, Lipid Metabolism, Stress Response
GO Term: Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Negative Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Trna Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Trna Cytidine N4-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, APP Metabolism
GO Term: Bh Domain Binding -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Ch Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Response To Corticosterone -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Cortisone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Cortisol -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Microtubule Nucleation By Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Microtubule Nucleation By Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Corticotropin-Releasing Hormone Binding -> Biodomain: Stress Response, Hormone Activity, Neurotransmitter Systems, Cellular Response to Stimuli, Receptor Binding
GO Term: Ptb Domain Binding -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Synapse, Immune Response
GO Term: Hormone Receptor Binding -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Cell Cycle, Vasculature
GO Term: Peptide Hormone Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Synapse
GO Term: Corticotropin-Releasing Hormone Receptor Binding -> Biodomain: Oxidative Stress, Synapse, Apoptosis, Immune Response, Proteostasis
GO Term: Corticotropin-Releasing Hormone Receptor 1 Binding -> Biodomain: Receptor Binding, Endocrine, Stress Response, Neuronal Signaling, Cell Signaling
GO Term: Corticotropin-Releasing Hormone Receptor 2 Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Bh3 Domain Binding -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Positive Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myoblast Migration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Intracellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Immune Response, Apoptosis, Oxidative Stress
GO Term: Regulation Of Intracellular Ph -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Ph Elevation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Spindle Attachment To Meiosis I Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Maintenance Of Protein Location In Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Corticotropin Secretion -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Synapse, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Corticotropin Secretion -> Biodomain: Neuroendocrine, Regulation of Hormone Levels, Stress Response, Endocrine System, Cell Signaling
GO Term: Positive Regulation Of Corticotropin Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Cortisol Secretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Endolysosome, Proteostasis
GO Term: Vesicle Fusion With Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: D-Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: D-Tyrosyl-Trna(Tyr) Deacylase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Adenine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Unidimensional Cell Growth -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Nfat Protein Binding -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Synapse
GO Term: Iron-Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 2 Iron, 2 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: 3 Iron, 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 4 Iron, 4 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Elastin Metabolic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Keratinocyte Migration -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Keratinocyte Migration -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Autophagy
GO Term: Positive Regulation Of Keratinocyte Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Flavone Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Mitochondrial Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Smooth Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 5'-Deoxyribose-5-Phosphate Lyase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Camp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Response To Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Folic Acid -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Methylglyoxal -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Methylmercury -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Meiotic Recombination Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Exocyst Localization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Response To Electrical Stimulus -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Oxidative Stress, Vasculature
GO Term: Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Protein Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Detection Of Stimulus -> Biodomain: Immune Response, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Defense Response To Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Histamine Transport -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Histamine Uptake -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Vasculature
GO Term: Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Epinephrine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Regulation Of Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Barbed-End Actin Filament Uncapping -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Actin Filament Network Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Organelle Localization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Endoplasmic Reticulum Localization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Golgi Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Nucleus Localization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Establishment Of Localization In Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Establishment Of Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Maintenance Of Location In Cell -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Establishment Of Organelle Localization -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Maintenance Of Nucleus Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Maintenance Of Mitochondrion Location -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis, Autophagy
GO Term: Establishment Of Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Maintenance Of Centrosome Location -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Pore Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Membrane Raft Localization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Actin Cortical Patch Localization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Localization Within Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Disruption Of Plasma Membrane Integrity In Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Localization Of Cell -> Biodomain: Immune Response, Vasculature, Myelination, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Golgi Localization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Maintenance Of Golgi Location -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Er Location -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Pointed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Actin Filament Uncapping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Delipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Biological Process Involved In Interaction With Host -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Biological Process Involved In Interaction With Symbiont -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Other Organism -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cytolysis In Another Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity, Acting On Cpg Substrates -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Protein Phosphatase 2A Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Synapse
GO Term: Protein C-Terminal Methylesterase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Nad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein De-Adp-Ribosylation -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Germline Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: Phosphorylation, DNA Repair, Nucleic Acid Binding/Modification, Kinase Activity, Genome Integrity
GO Term: Atp-Dependent Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Atp-Dependent Polyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytosine C-5 Dna Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Utp-Monosaccharide-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Delta(3,5)-Delta(2,4)-Dienoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Meiotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Homologous Chromosome Movement Towards Spindle Pole In Meiosis I Anaphase -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Actin Crosslink Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Inositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Behavioral Response To Nutrient -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: All-Trans-Retinol 13,14-Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Cell Cycle, Proteostasis
GO Term: Misfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Short-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Medium-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Medium-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Myelination
GO Term: Medium-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Apoptosis
GO Term: Positive Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Phosphatidylinositol-3,4-Bisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cytolysis By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Host-Mediated Perturbation Of Symbiont Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Glycolipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Histone H3K36 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Autophagy
GO Term: Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: General Adaptation Syndrome -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: General Adaptation Syndrome, Behavioral Process -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Killing By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
