Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Endothelial Cell Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Endothelial Cell Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Selenium Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Glucuronyl-Galactosyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Synapse
GO Term: Liver Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Placenta Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Phagocytic Cup -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Embryonic Placenta Development -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Maternal Placenta Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Structural Stabilization, Apoptosis
GO Term: Tissue Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Retina Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Cell Killing -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Unknown
GO Term: Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Photoreceptor Inner Segment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Synapse
GO Term: Farnesylated Protein Binding -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Immune Response
GO Term: Negative Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: B-1 B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: B-1 B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Exocyst Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Cell Cycle
GO Term: Uropod -> Biodomain: Structural Stabilization, Immune Response, Synapse, Apoptosis, Unknown
GO Term: Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Signal Transduction, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Synapse
GO Term: Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Female Pronucleus -> Biodomain: Unknown, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Unknown
GO Term: Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hair Follicle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Apoptosis
GO Term: Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Lymph Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Unknown, Proteostasis
GO Term: Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Sebaceous Gland Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Structural Stabilization, Immune Response, Proteostasis
GO Term: Intestinal D-Glucose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Blood Vessel Maturation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Intramembranous Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Endochondral Ossification -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Alpha-1,3-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Neurotransmitter Release and Signaling, Dopamine Signaling, Neuronal Signaling, Vesicle Trafficking
GO Term: Startle Response -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: G-Protein Alpha-Subunit Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Endolysosome
GO Term: Thigmotaxis -> Biodomain: Unknown, Synapse, Structural Stabilization, Vasculature, Immune Response
GO Term: Suckling Behavior -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Synapse, Autophagy
GO Term: Fibronectin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Retinoic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Cell Cycle, Epigenetic, Autophagy
GO Term: G Protein-Coupled Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Lipid Metabolism
GO Term: Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Response To Amphetamine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Nervous System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Epigenetic
GO Term: Regulation Of Systemic Arterial Blood Pressure By Ischemic Conditions -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Heart Rate Involved In Baroreceptor Response To Increased Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Synapse, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Vasopressin -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Unknown
GO Term: Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Norepinephrine-Epinephrine Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Positive Regulation Of The Force Of Heart Contraction By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Angiotensin-Mediated Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Signaling, Kidney Function, Endocrine, Cellular Processes
GO Term: Regulation Of Angiotensin Levels In Blood -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Angiotensin Maturation -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Endolysosome
GO Term: Morphogenesis Of An Epithelial Sheet -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Vasoconstriction Of Artery Involved In Ischemic Response To Lowering Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Blood Volume By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Volume By Renal Aldosterone -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Renin-Angiotensin Regulation Of Aldosterone Production -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Regulation Of Renal Output By Angiotensin -> Biodomain: Vasculature, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Protease Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Diet Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Norepinephrine-Epinephrine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Synapse, Immune Response, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Desensitization Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Angiotensin-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Maintenance Of Blood Vessel Diameter Homeostasis By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Brain Renin-Angiotensin System -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Immune Response
GO Term: Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, APP Metabolism
GO Term: P53 Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Intussusceptive Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Migration, Angiogenesis, Endothelial Cell Biology, Extracellular Matrix Organization
GO Term: Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Opsin Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Osteoblast Fate Commitment -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Positive Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Unknown
GO Term: Adenine Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Uracil Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Purine Nucleobase Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Immune Response, Epigenetic
GO Term: Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Chondrocyte Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Proteostasis
GO Term: Epithelial Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Columnar/Cuboidal Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Glandular Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Glandular Epithelial Cell Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Columnar/Cuboidal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Glandular Epithelial Cell Maturation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Optic Cup Morphogenesis Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Extraocular Skeletal Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Osteoblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Epigenetic
GO Term: Acrosome Matrix Dispersal -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Membrane Fusion Involved In Acrosome Reaction -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Inner Acrosomal Membrane -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Lipid Metabolism, Unknown
GO Term: Acrosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Outer Acrosomal Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Unknown
GO Term: Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Depalmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Tau Homeostasis, APP Metabolism
GO Term: Inhibition Of Neuroepithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Diaphragm Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Respiratory Gaseous Exchange By Nervous System Process -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Lens Development In Camera-Type Eye -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Lens Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, APP Metabolism
GO Term: Negative Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Auditory Receptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Unknown
GO Term: Caveolar Macromolecular Signaling Complex -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Polkadots -> Biodomain: Immune Response, Apoptosis, Proteostasis, Unknown, Cell Cycle
GO Term: Trna Wobble Uridine Modification -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown, Oxidative Stress
GO Term: Trna Wobble Guanine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, RNA Spliceosome, Unknown
GO Term: Trna Wobble Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Trna Wobble Cytosine Modification -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Unknown, Epigenetic
GO Term: Podosome -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Autophagy
GO Term: Interleukin-33 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-33 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-33 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Semaphorin Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Aggressive Behavior -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Epigenetic, Unknown
GO Term: Inter-Male Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Maternal Aggressive Behavior -> Biodomain: Synapse, Structural Stabilization, Unknown, Immune Response, Autophagy
GO Term: Trna Wobble Base Cytosine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Unknown
GO Term: Trna Nucleoside Ribose Methylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Wobble Position Ribose Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Polycystin Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Utp Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Ctp Binding -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism
GO Term: Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Stereocilia Ankle Link -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Stereocilia Ankle Link Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Unknown
GO Term: Trna Wobble Position Uridine Thiolation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Unknown
GO Term: Cytosolic Trna Wobble Base Thiouridylase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, RNA Spliceosome, Unknown
GO Term: Hypochlorous Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: G-Quadruplex Rna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Bile Acid Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Steroid Receptor Rna Activator Rna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune Response, Endolysosome, Vasculature, Epigenetic
GO Term: Desmosome Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Unknown
GO Term: Desmosome Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Synapse
GO Term: Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Dystroglycan Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: High-Affinity Igm Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein Localization To Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Cell Cycle
GO Term: Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Manchette -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Unknown
GO Term: Palmitoyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Cytoplasmic Translation -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
GO Term: Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Unknown, Cell Cycle, Autophagy, Endolysosome
GO Term: Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cytoplasmic Translational Termination -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle
GO Term: Translation Reinitiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Ribose Phosphate Diphosphokinase Complex -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Unknown
GO Term: Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Ires-Dependent Translational Initiation Of Linear Mrna -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Maml1-Rbp-Jkappa- Icn1 Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Hepatocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Ser-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Zona Pellucida Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
