Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Nk T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: (1->3)-Beta-D-Glucan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Lipopolysaccharide Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Yeast -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Detection Of Yeast -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mullerian Duct Regression -> Biodomain: Apoptosis, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Immune Response, Epigenetic
GO Term: Purine Nucleoside Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Endothelial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Endothelial Cell Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Selenium Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glucuronyl-Galactosyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Liver Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Placenta Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Cell Cycle
GO Term: Phagocytic Cup -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Embryonic Placenta Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Maternal Placenta Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Tissue Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Retina Homeostasis -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cell Killing -> Biodomain: Apoptosis, Immune Response, Autophagy, Oxidative Stress, Proteostasis
GO Term: Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Photoreceptor Inner Segment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Farnesylated Protein Binding -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: B-1 B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: B-1 B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Regulation Of Exocyst Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Uropod -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Apoptosis
GO Term: Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Protein Phosphorylation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Female Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Hair Follicle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Lymph Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Heart Looping -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Sebaceous Gland Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Intestinal D-Glucose Absorption -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Apoptosis
GO Term: Blood Vessel Maturation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Intramembranous Ossification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Endochondral Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Alpha-1,3-Galactosyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Proteostasis, Cell Surface, Immune Response
GO Term: Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Startle Response -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: G-Protein Alpha-Subunit Binding -> Biodomain: Signal Transduction, Metabolism, Cell Cycle, Epigenetic, Proteostasis
GO Term: Thigmotaxis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Suckling Behavior -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Synapse, Structural Stabilization
GO Term: Fibronectin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Activation Of Membrane Attack Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Retinoic Acid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: G Protein-Coupled Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Autophagy
GO Term: Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Response To Amphetamine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Nervous System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Ischemic Conditions -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Heart Rate Involved In Baroreceptor Response To Increased Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Vasopressin -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Norepinephrine-Epinephrine Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of The Force Of Heart Contraction By Epinephrine-Norepinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Angiotensin-Mediated Vasoconstriction Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Angiotensin Levels In Blood -> Biodomain: Vasculature, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Angiotensin Maturation -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Morphogenesis Of An Epithelial Sheet -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Cell Cycle, Epigenetic
GO Term: Vasoconstriction Of Artery Involved In Ischemic Response To Lowering Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Autophagy, Apoptosis
GO Term: Regulation Of Blood Volume By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy
GO Term: Regulation Of Blood Volume By Renal Aldosterone -> Biodomain: Vasculature, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Renin-Angiotensin Regulation Of Aldosterone Production -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Renal Output By Angiotensin -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Protease Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Response To Dietary Excess -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Autophagy, Proteostasis
GO Term: Diet Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Norepinephrine-Epinephrine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Endolysosome, Structural Stabilization
GO Term: Desensitization Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Vasculature, Synapse, Immune Response
GO Term: Angiotensin-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Maintenance Of Blood Vessel Diameter Homeostasis By Renin-Angiotensin -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Brain Renin-Angiotensin System -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Positive Regulation Of L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: P53 Binding -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Intussusceptive Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Opsin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Osteoblast Fate Commitment -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Adenine Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Uracil Binding -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Purine Nucleobase Binding -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Columnar/Cuboidal Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Glandular Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Glandular Epithelial Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Columnar/Cuboidal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Glandular Epithelial Cell Maturation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Optic Cup Morphogenesis Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Extraocular Skeletal Muscle Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Osteoblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Acrosome Matrix Dispersal -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Membrane Fusion Involved In Acrosome Reaction -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Inner Acrosomal Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Acrosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Outer Acrosomal Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Inhibition Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Diaphragm Contraction -> Biodomain: Muscle System, Respiratory System, Energy Metabolism, Neuronal Signaling, Skeletal System
GO Term: Regulation Of Respiratory Gaseous Exchange By Nervous System Process -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lens Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Vasculature
GO Term: Lens Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Vasculature
GO Term: Negative Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Auditory Receptor Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Caveolar Macromolecular Signaling Complex -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Polkadots -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Trna Wobble Uridine Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Trna Wobble Guanine Modification -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trna Wobble Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Wobble Cytosine Modification -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Podosome -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Interleukin-33 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Interleukin-33 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-33 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Store-Operated Calcium Entry -> Biodomain: Immune Response, Vasculature, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Semaphorin Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Aggressive Behavior -> Biodomain: Synapse, Epigenetic, Immune Response, Oxidative Stress, Proteostasis
GO Term: Inter-Male Aggressive Behavior -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Structural Stabilization
GO Term: Maternal Aggressive Behavior -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Trna Wobble Base Cytosine Methylation -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna Nucleoside Ribose Methylation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Wobble Position Ribose Methylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Polycystin Complex -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Utp Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Ctp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Stereocilia Ankle Link -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Stereocilia Ankle Link Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Trna Wobble Position Uridine Thiolation -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: Cytosolic Trna Wobble Base Thiouridylase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Hypochlorous Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: G-Quadruplex Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Bile Acid Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Steroid Receptor Rna Activator Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Thyroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, RNA Spliceosome, Oxidative Stress
GO Term: Osteoclast Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Desmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Desmosome Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Dystroglycan Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: High-Affinity Igm Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Protein Localization To Paranode Region Of Axon -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Manchette -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Cytoplasmic Translation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
