Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cellular Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cellular Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Cellular Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Cellular Response To Mercury Ion -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cellular Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Cellular Response To Retinoic Acid -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Vitamin D -> Biodomain: Mitochondrial Metabolism, Immune Response, Epigenetic, Cell Cycle, Autophagy
GO Term: Cellular Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Vitamin K -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Alkaloid -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Caffeine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Cellular Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cellular Response To Nicotine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Epigenetic
GO Term: Cellular Response To Atp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Camp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Cgmp -> Biodomain: Signal Transduction, Intracellular Signaling, Cell Communication, Regulation of Cellular Process, Response to Chemical
GO Term: Cellular Response To Carbohydrate Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Cellular Response To Sucrose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Cellular Response To Fructose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Mll1 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Cytokine Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Interleukin-1 -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Gene Expression Regulation
GO Term: Cellular Response To Interleukin-11 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cellular Response To Interleukin-12 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Interleukin-18 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cellular Response To Interleukin-4 -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-6 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Cellular Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Type I Interferon -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Cellular Response To Dsrna -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Cellular Response To Exogenous Dsrna -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Cellular Response To Ether -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Epidermal Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Cellular Response To Gonadotropin Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Cellular Response To Follicle-Stimulating Hormone Stimulus -> Biodomain: Endolysosome, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Luteinizing Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Autophagy, Epigenetic
GO Term: Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Cellular Response To Peptide Hormone Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Epigenetic, Autophagy
GO Term: Cellular Response To Corticotropin-Releasing Hormone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Glucagon Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Growth Hormone Stimulus -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Cellular Response To Prostaglandin Stimulus -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Steroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Corticosteroid Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cellular Response To Glucocorticoid Stimulus -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Cellular Response To Corticosterone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Cortisol Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Mineralocorticoid Stimulus -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Cellular Response To Estrogen Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Estradiol Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Progesterone Stimulus -> Biodomain: Hormone Response, Signal Transduction, Gene Expression Regulation, Cell Cycle, Epigenetic
GO Term: Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Jasmonic Acid Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Cholesterol -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Cellular Response To High Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cellular Response To Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Endolysosome
GO Term: Cellular Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cellular Response To Genistein -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Cellular Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Amine Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Cellular Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Succinate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Malate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rrna (Cytosine-N4-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Clathrin Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Cellular Response To Pheromone -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Cellular Response To Hydroperoxide -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Cellular Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cellular Response To Superoxide -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Response To Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Anoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Hyperoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Protein Localization To Chromosome, Centromeric Region -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Cellular Response To Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Cellular Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cellular Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Acidic Ph -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Alkaline Ph -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Cellular Response To Osmotic Stress -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Non-Ionic Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cellular Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cellular Hypotonic Response -> Biodomain: Ion Homeostasis, Stress Response, Cell Volume Regulation, Signaling Pathways, Membrane Transport
GO Term: Cellular Hypotonic Salinity Response -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cellular Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cellular Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Uv-A -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Cellular Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Autophagy
GO Term: Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Heparin -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cellular Response To Heparin -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Cellular Response To Mycophenolic Acid -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Apoptosis
GO Term: Phosphopantothenoylcysteine Decarboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Immune Response, Structural Stabilization, Vasculature, Apoptosis
GO Term: Trna Re-Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cementum Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Ankyrin Repeat Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, DNA Repair
GO Term: Ring-Like Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3E -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3M -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Epigenetic, Apoptosis, Cell Cycle
GO Term: Diphosphoinositol Polyphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Inositol Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis, Synapse
GO Term: Pi-Body -> Biodomain: Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Pip-Body -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Response To Dexamethasone -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Dexamethasone Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Histone H3K27Me2/H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Response To Transforming Growth Factor Beta -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nucleus-Vacuole Junction -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Npbaf Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Nbaf Complex -> Biodomain: Epigenetic, Synapse, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Ufm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Deufmylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ufm1 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Protein Ufmylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Zinc Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Zinc Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Zinc Ion Transmembrane Import -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Caax-Box Protein Processing -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Lymphocyte Aggregation -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Proteostasis
GO Term: Nem1-Spo7 Phosphatase Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The N-End Rule Pathway -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Neuronal Ribonucleoprotein Granule -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Structural Stabilization, Oxidative Stress
GO Term: Otic Vesicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Phytosphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Endothelial Cell-Cell Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Linoleic Acid Epoxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Lysophospholipid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lysophosphatidylethanolamine Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Vocalization Behavior -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Immune Response
GO Term: Mastication -> Biodomain: Structural Stabilization, Synapse, Myelination, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cytoplasm Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nuclear Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Immune Signaling, Cell Communication
GO Term: Negative Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Chemotaxis, Innate Immunity
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 4 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
GO Term: Negative Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Positive Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Ip-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
