Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Endothelial Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Extracellular Matrix Organization, Cellular Response to Mechanical Stimulus, Proteostasis
GO Term: Intermicrovillar Adhesion -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Calcium Ion Transmembrane Transport Via Low Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Reversible Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Scc2-Scc4 Cohesin Loading Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Adaptive Immune Memory Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Adaptive Immune Memory Response Involving T Cells And B Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Primary Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Primary Adaptive Immune Response Involving T Cells And B Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Receptor-Receptor Interaction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Central Region Of Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Las1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cofilin-Actin Rod -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Tenascin Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Site Of Dna Damage -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Telomere Maintenance Via Telomere Trimming -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Glycolysis From Storage Polysaccharide Through Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Ceramide Binding -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adipokinetic Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adipokinetic Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Energy Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Phagocytic Vesicle Lumen -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Ciliary Plasm -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: L27 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Renal Protein Absorption -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Renal Albumin Absorption -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Copii Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Lymphocyte Migration Into Lymphoid Organs -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Lymphocyte Migration Into Lymph Node -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Fructose 6-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Autophagy
GO Term: Mpp7-Dlg1-Lin7 Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Ubiquitin-Protein Transferase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Dendritic Cell Differentiation -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Mature Conventional Dendritic Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Membrane Lipid Distribution -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Plasma Membrane Sterol Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Heme Export -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Vasculature
GO Term: Perinuclear Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Phosphatidylserine Exposure On Blood Platelet -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: L-Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism
GO Term: L-Kynurenine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: L-Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Agmatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Traf2-Gstp1 Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Crlf-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Cntfr-Clcf1 Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Myelination, Vasculature
GO Term: Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Dendritic Spine Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Anterior Head Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Epigenetic
GO Term: Response To Thyroid Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Thyroxine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Thyroxine Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ductus Arteriosus Closure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Plasma Membrane Selenite Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Vascular Associated Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Methyl-Branched Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Craniofacial Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Supercoiled Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Blood Vessel Endothelial Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Endothelial Tip Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hedgehog Family Protein Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Synapse, Epigenetic
GO Term: Neuroligin Family Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Scaffold Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Gamma-Aminobutyric Acid Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Synapse
GO Term: Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Nmda Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Neurexin Clustering Involved In Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Guanylate Kinase-Associated Protein Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Neuroligin Clustering Involved In Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Cyclin A1-Cdk1 Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Cyclin A2-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Cyclin A1-Cdk2 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Cyclin A2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Cyclin B1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Cyclin D1-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Cyclin D2-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cyclin D3-Cdk4 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Cyclin D1-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin D2-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Cyclin D3-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin E1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Cyclin E2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Bcl-2 Family Protein Complex -> Biodomain: Apoptosis, Proteostasis, DNA Repair, Oxidative Stress, Cell Cycle
GO Term: Bad-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Bim-Bcl-Xl Complex -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Bim-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Bax Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Bak Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Centralspindlin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Neuronal Stem Cell Population Maintenance -> Biodomain: Stem Cell Population, Neurogenesis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Gabaergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Fasciculation Of Sensory Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Fasciculation Of Motor Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Tau Homeostasis
GO Term: Pre-Mrna Intronic Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Pre-Mrna Intronic Pyrimidine-Rich Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Polychlorinated Biphenyl Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Dh Domain Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Mads Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sulfur Carrier Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, DNA Repair
GO Term: Circadian Regulation Of Translation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Aim2 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Epoxide Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Mitochondrial Ribosome Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ruffle Assembly -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Protease Inhibitor Complex -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Serine Protease Inhibitor Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor V Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Protein C Inhibitor-Coagulation Factor Xa Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor Xi Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Response To Azide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Amelogenesis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dentinogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Dentin Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Immune Response, Cell Cycle
GO Term: Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Pilomotor Reflex -> Biodomain: Muscle Function, Nervous System, Stress Response, Reflexes, Thermoregulation
GO Term: Shu Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Tetraspanin-Enriched Microdomain -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Renal Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Epidermal Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Gonadotropin-Releasing Hormone -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Cellular Response To Gonadotropin-Releasing Hormone -> Biodomain: Signal Transduction, Endocrine, Reproduction, Transcriptional Regulation, Development
GO Term: Lysosomal Membrane Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Mitochondrial Mrna Polyadenylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sperm Midpiece -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Sperm Annulus -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Sperm Principal Piece -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sperm End Piece -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Alveolar Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Epidermal Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cellular Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Hematopoietic Stem Cell Migration To Bone Marrow -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Amyloid-Beta Clearance -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Flavonoid Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Mitochondrial Respirasome Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Renal Tubular Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: R2Tp Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Leukotriene B4 12-Hydroxy Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: 20-Hydroxy-Leukotriene B4 Omega Oxidase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
GO Term: 20-Aldehyde-Leukotriene B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Omega-Hydroxylase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature
GO Term: Cytoophidium -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: All-Trans-Decaprenyl-Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Ammonium Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Histamine Secretion Mediated By Ige Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Immune Complex Formation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Epithelial, Cell Death, Cellular Processes, Dermatological
GO Term: Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Renal Phosphate Ion Absorption -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: 'De Novo' Xmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Regulation Of Nucleus Size -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Response To Alcohol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Plasma Membrane Tubulation -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 7Sk Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: B Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Apoptosis
GO Term: Melanocyte Migration -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Melanocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Melanocyte Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Response To Antineoplastic Agent -> Biodomain: Apoptosis, Oxidative Stress, DNA Repair, Cell Cycle, Immune Response
GO Term: Response To Antipsychotic Drug -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Zymogen Inhibition -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Ripoptosome -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Ripoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Neutrophil Clearance -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
