Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Rrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Unknown
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Neuron Projection Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphopantetheine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Peptide Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Poz Domain Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Scar Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Rsf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Unknown
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Auditory Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Endolysosome, Immune Response, Synapse, Vasculature, Structural Stabilization
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Immune Response
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Cell Projection Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Unknown
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response, Vasculature
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Uropod Membrane -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Synapse
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome, Autophagy
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Unknown
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Autophagy  
Apoptosis
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Autophagy
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Structural Stabilization
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Rnai Effector Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Autophagy, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Protein Synthesis, RNA Metabolism, Epigenetic, Cell Cycle
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Unknown, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Ubiquitin Proteasome System, Proteostasis, Protein Processing, Autophagy, Endolysosome
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic,RNA Spliceosome,DNA Repair,Proteostasis,Cell Cycle
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, Apoptosis
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Myelination, Vasculature, Apoptosis
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Chloride Ion Binding -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Structural Stabilization
GO Term: Carboxylic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, APP Metabolism, Unknown
GO Term: Natb Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Natc Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Unknown
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Epigenetic, Structural Stabilization
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Response To Methotrexate -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Unknown
GO Term: M Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Unknown, Vasculature
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Unknown, Autophagy
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Unknown
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Glycine Betaine Transport -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, DNA Repair
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Immune Response
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, DNA Repair, Cell Cycle, Apoptosis
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, DNA Repair, Cell Cycle
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Myosin V Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Myosin V Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Unknown
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Unknown
GO Term: Motile Cilium -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Unknown
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Myb Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Filopodium Membrane -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Ruffle Organization -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Unknown, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Oxidative Stress
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Unknown
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Signal Transduction, Neuronal Survival, Neuronal Development, Learning and Memory
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle
DNA Repair
Apoptosis
Epigenetic
Oxidative Stress
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair
Cell Cycle
Epigenetic
Oxidative Stress
Apoptosis
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Centrosomal Corona -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Ubiquitin Proteasome System, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Unknown
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Inflammation, Stress Response, Homeostasis, Metabolism
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Beta-Endorphin Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, GPCR Signaling, Neurotransmitter Receptors, Receptors, Signal Transduction
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Vesicle Trafficking, Exocytosis, Synaptic Signaling, Cell Communication
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Autophagy, Lipid Metabolism
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Epigenetic, Synapse
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Myelination, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Heat Generation -> Biodomain: Thermoregulation, Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Signaling, Response to Stress, Oxidative Stress, Lipid Metabolism
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
