Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, Myelination, Synapse, Vasculature
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Immune Response, Proteostasis
GO Term: Regulation Of Axon Diameter -> Biodomain: Structural Stabilization, Myelination, Neuronal Processes, Cellular Organization, Synapse
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Autophagy, APP Metabolism, DNA Repair
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Rrna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Phosphopantetheine Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Poz Domain Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Rsf Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Auditory Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Apoptosis
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Synapse, Apoptosis
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Cellular Process, Autophagy
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Cell Projection Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Endolysosome
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Lamellipodium Membrane -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Uropod Membrane -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Cell Cycle  
Autophagy
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Synapse
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rnai Effector Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Apoptosis
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, APP Metabolism
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Protein Synthesis, Translation Regulation, RNA Metabolism, Epigenetic
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Ubiquitin Homeostasis, Autophagy, Protein Degradation, Proteasome
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, DNA Repair, Immune Response, Autophagy, Apoptosis
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Endolysosome
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Chloride Ion Binding -> Biodomain: Endolysosome, Synapse, Immune Response, Structural Stabilization, Autophagy
GO Term: Carboxylic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Nata Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Natb Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Natc Complex -> Biodomain: Proteostasis, Autophagy, Epigenetic, Endolysosome, Structural Stabilization
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Autophagy
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Response To Methotrexate -> Biodomain: Cell Cycle, DNA Repair, Immune Response, Apoptosis, Oxidative Stress
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: M Band -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Apoptosis
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, Autophagy
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Glycine Betaine Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair
GO Term: Nuclear Membrane Reassembly -> Biodomain: Structural Stabilization, Membrane Organization, Cellular Component Assembly, Organelle Organization, Endolysosome
GO Term: Myosin V Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Myosin V Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Chromatin Organization, Protein-containing complex binding
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Myb Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Filopodium Membrane -> Biodomain: Structural Stabilization, Synapse, Cell Adhesion, Lipid Metabolism, Proteostasis
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Ruffle Organization -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Vasculature, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle  
DNA Repair  
Apoptosis  
Epigenetic  
Autophagy
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis  
Synapse  
Lipid Metabolism  
Proteostasis  
Oxidative Stress
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Centrosomal Corona -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Inflammatory Response, Defense Response, Response to Stress, Oxidative Stress
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Inflammation, Homeostasis, Stress Response, Defense Response
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Beta-Endorphin Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Membrane Organization, Vesicle Trafficking, Regulation of Transport, Exocytosis
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Apoptosis
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Protein Metabolism
