Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Developmental Biology, Cell Signaling, Developmental Signaling, Morphogenesis, Cell Differentiation
GO Term: Regulation Of Axon Diameter -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Endolysosome, Autophagy
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Scf-Dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Ubiquitin Proteasome, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Histone H3K79 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Phosphatidylinositol Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Rrna Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Otolith Mineralization Completed Early In Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Phosphopantetheine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptide Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Snare Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endoplasmic Reticulum Sec Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Sec62/Sec63 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Poz Domain Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Scar Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Structural Stabilization
GO Term: Rsf Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Auditory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Oxidative Stress
GO Term: Extrinsic Component Of External Side Of Plasma Membrane -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Apoptosis
GO Term: Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Immune Response
GO Term: Actin Rod Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Denatured Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Pan Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Projection Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Vasculature, Cell Cycle
GO Term: Cell Trailing Edge -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Leading Edge Membrane -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Lamellipodium Membrane -> Biodomain: Structural Stabilization, Cell Motility, Membrane Dynamics, Immune Response, Synapse
GO Term: Uropod Membrane -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Proteostasis
GO Term: Pseudopodium Membrane -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Synapse
GO Term: Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Ndc80 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Cd95 Death-Inducing Signaling Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Small Gtpase Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Pseudopodium Organization -> Biodomain: Structural Stabilization, Immune Response, Synapse, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Pseudopodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Cyclase Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Guanylate Cyclase Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Membrane Protein Intracellular Domain Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: T Cell Costimulation -> Biodomain: Immune Response, Cell Cycle, Synapse, Structural Stabilization, Apoptosis
GO Term: B Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Replication Fork Protection Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Extrinsic Component Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Rnai Effector Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Vesicle Trafficking, Lipid Metabolism
GO Term: Positive Regulation Of Vesicle Fusion -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune Response, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Translation Initiation Factor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Eukaryotic Initiation Factor 4G Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Ubiquitin Conjugating Enzyme Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ubc13-Mms2 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Nuclear Rna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Protein Tag Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Rad17 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Ctf18 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Elg1 Rfc-Like Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Positive Regulation Of Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Sodium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Myelination, Vasculature, Structural Stabilization
GO Term: Lithium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Chloride Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Carboxylic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Oxylipin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Cytoplasmic Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Nata Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Natb Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Natc Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: L-Ascorbic Acid Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cobalamin Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Recq Family Helicase-Topoisomerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Keratinization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Response To Methotrexate -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
GO Term: Box C/D Methylation Guide Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Box H/Aca Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: M Band -> Biodomain: Structural Stabilization, Muscle System, Contractile Fiber, Cytoskeleton Organization, Proteostasis
GO Term: Dbf4-Dependent Protein Kinase Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Titin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Apoptosis
GO Term: Telethonin Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Mitogen-Activated Protein Kinase Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism
GO Term: Mitogen-Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Brca1-Bard1 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis, Synapse
GO Term: Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Fast-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Slow-Twitch Skeletal Muscle Fiber Contraction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis
GO Term: Glycine Betaine Transport -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cullin-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Cul2-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Cul3-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Apoptosis
GO Term: Cul4A-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Cul4B-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Cul5-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Cul7-Ring Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: Nuclear Membrane Reassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Myosin V Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Myosin Vii Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Myosin V Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Chromatin Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nucleosome Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Nucleosomal Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Tramp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Mannosyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Protein-Containing Complex Localization -> Biodomain: Proteostasis, Cell Cycle, Autophagy, DNA Repair, Structural Stabilization
GO Term: Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Pericentric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Sumo Activating Enzyme Complex -> Biodomain: Proteostasis, Catalytic Complex, Epigenetic, DNA Repair, Protein Synthesis
GO Term: Mis6-Sim4 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Vasculature
GO Term: Trna (M1A) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Pcg Protein Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Myb Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Brush Border Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Filopodium Membrane -> Biodomain: Structural Stabilization, Synapse, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Microvillus Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Synapse
GO Term: Ruffle Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Gonadotropin-Releasing Hormone Receptor Binding -> Biodomain: Signaling, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Autophagy, Apoptosis
GO Term: Mrna Capping Enzyme Complex -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Peptidyl-Proline Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Proline 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Peptidyl-Proline 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle  
DNA Repair  
Apoptosis  
Proteostasis  
Oxidative Stress
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hemidesmosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome  
Proteostasis  
Metal Binding and Homeostasis  
Epigenetic  
Autophagy
GO Term: Centrosomal Corona -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Ubiquitin/Proteasome System, Protein Aggregation, Autophagy, Synapse
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Ubiquitin Signaling, Apoptosis, Endolysosome
GO Term: Beta-Endorphin Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Apoptosis
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Chromosome Organization, DNA Metabolic Process, Nucleic Acid Metabolism, Epigenetic
GO Term: Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Zymogen Activation -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Nervous System Development, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination  
Structural Stabilization  
Lipid Metabolism  
Proteostasis  
Synapse
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Myelination, Apoptosis
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Tau Homeostasis, Apoptosis
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
