Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Bmp Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Sperm Flagellum -> Biodomain: Structural Stabilization, Unknown, Autophagy, Cell Cycle, Proteostasis
GO Term: Catsper Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Prostaglandin H2 Endoperoxidase Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Prostaglandin D2 11-Ketoreductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: 12-Hydroxyheptadecatrienoic Acid Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Unknown
GO Term: Peptidyl-Histidine Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Unknown
GO Term: [Protein]-Asparagine 3-Dioxygenase Activity -> Biodomain: Hypoxia Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Kringle Domain Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Dendritic Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Mycotoxin -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Phosphatidylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Phosphatidylinositol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phosphatidylserine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphatidylethanolamine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Triglyceride Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Inner Dynein Arm -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Autophagy, Cell Cycle
GO Term: Outer Dynein Arm -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Outer Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Inner Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Unknown, Unknown
GO Term: Phenotypic Switching -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Glutaredoxin Disulfide As Acceptor -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Osteoclast Maturation -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: 13-Lipoxin Reductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Early Phagosome Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Muscle Cell Projection Membrane -> Biodomain: Structural Stabilization, Muscle Cell Projection, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dttp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Gtp Diphosphatase Activity -> Biodomain: Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Itp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Utp Diphosphatase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Xtp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Nuclear Inner Membrane -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Peroxisome Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Response To Methylamine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Multivesicular Body Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Multivesicular Body Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: 7-Methylguanosine Cap Hypermethylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Rna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Unknown, Proteostasis
GO Term: Swimming -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Structural Stabilization
GO Term: Swimming Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Unknown
GO Term: Tubulobulbar Complex -> Biodomain: Spermatogenesis, Cytoskeleton, Cell Adhesion, Reproductive System, Cellular Structures
GO Term: Saga Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Peptidyl-Serine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cellular Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Autophagy, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Increased Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Recombinational Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Atrioventricular Canal Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Umbilical Cord Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Ameloblast Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Embryonic Heart Tube Elongation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Protein Localization To M-Band -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Atp-Dependent Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Autophagy, Epigenetic
GO Term: Phosphatidylinositol 3-Kinase Regulatory Subunit Binding -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Phosphatidylinositol 3-Kinase Catalytic Subunit Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Sterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Srebp-Scap Complex Retention In Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Tyrosyl-Rna Phosphodiesterase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Endolysosome
GO Term: Ghrelin Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Vascular Endothelial Growth Factor Receptor-1 Signaling Pathway -> Biodomain: Vasculature, Apoptosis, Immune Response, Structural Stabilization, Epigenetic
GO Term: Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Vascular Endothelial Growth Factor Receptor-3 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Unknown
GO Term: Placental Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Hepatocyte Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intestinal Stem Cell Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Dendritic Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Lymphocyte Adhesion To Endothelial Cell Of High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Unknown
GO Term: Post-Anal Tail Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Psychomotor Behavior -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Platelet Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Platelet Maturation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Renal Potassium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Unknown, Endolysosome
GO Term: Light Adaption -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cone Photoresponse Recovery -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Localization To T-Tubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Opsin Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: L-Fucose Mutarotase Activity -> Biodomain: Unknown, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Glutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Sodium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcitriol Biosynthetic Process From Calciol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Myofilament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Cdp Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Unknown
GO Term: Thiocyanate Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Rna N6-Methyladenosine Methyltransferase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Tcr Signalosome -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Tcr Signalosome Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome-Activating Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Arachidonate 8(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: Histone H3K14 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3-K14 Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Trna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Epigenetic
GO Term: L-Phosphoserine Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Cmp Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Dcmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: K48-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, APP Metabolism, Autophagy
GO Term: Maintenance Of Lens Transparency -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Endolysosome
GO Term: Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Neuronal Stem Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Microtubule Minus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Tau Homeostasis
GO Term: L-Methionine-(S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Keratohyalin Granule -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Hepatocyte Growth Factor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Bloc-2 Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Trail Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytoplasmic Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Synaptic Vesicle Recycling -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Synaptic Vesicle Recycling Via Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: 5-Hydroxy-L-Tryptophan Decarboxylase Activity -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Immune Response
GO Term: L-Dopa Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Tyrosine 3-Monooxygenase Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Cellular Response To Glyoxal -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Somatodendritic Compartment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: L-Dopa Decarboxylase Activator Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peroxidase Inhibitor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Trunk Neural Crest Cell Migration -> Biodomain: Vasculature, Synapse, Structural Stabilization, Immune Response, Unknown
GO Term: Ventral Trunk Neural Crest Cell Migration -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Nitric-Oxide Synthase Inhibitor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Chop-C/Ebp Complex -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ufd1-Npl4 Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Derlin-1-Vimp Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Prosaposin Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Maintenance Of Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Protein Alpha-1,2-Demannosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Structural Stabilization
GO Term: Derlin-1 Retrotranslocation Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Dopaminergic Neuron Axon Guidance -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Unknown
GO Term: Serotonergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Chemoattraction Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Chemoattraction Of Serotonergic Neuron Axon -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Unknown
GO Term: Chemorepulsion Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Astrocyte-Dopaminergic Neuron Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Neuronal Signaling
GO Term: Protein Deglycase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Protein Deglycation -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Paracrine Signaling -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Autophagy
GO Term: G Protein-Coupled Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Epidermal Growth Factor Receptor Ligand Maturation -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Netrin-Activated Signaling Pathway -> Biodomain: Synapse, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Regulation Of Signal Transduction By Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Insulin Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Wnt Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Insulin Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Leptin Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: G Protein-Coupled Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Cargo Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Reelin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Reelin-Mediated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis By Vegf-Activated Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Ligand-Independent Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Cell Cycle
GO Term: Sphingosine-1-Phosphate Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: G Protein-Coupled Receptor Dimeric Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Structural Stabilization
GO Term: G Protein-Coupled Receptor Homodimeric Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Vasculature
GO Term: G Protein-Coupled Receptor Heterodimeric Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Cross-Receptor Inhibition Within G Protein-Coupled Receptor Heterodimer -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Interleukin-5-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Enkephalin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Morphine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Dynorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Estrogen Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Unknown
GO Term: Nitric Oxide-Cgmp-Mediated Signaling -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Tyrosine Kinase Collagen Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Synapse
GO Term: Collagen-Activated Tyrosine Kinase Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Collagen Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Collagen-Activated Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: P38Mapk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Vascular Endothelial Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation By Vegf-Activated Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Endolysosome
GO Term: Nodal Signaling Pathway -> Biodomain: Developmental Processes, Signal Transduction, Cell Differentiation, Cell Proliferation, Embryonic Development
GO Term: Fc Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Fc-Gamma Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Epigenetic, Apoptosis
GO Term: Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Activation By Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Sequestering Of Bmp From Receptor Via Bmp Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Structural Stabilization, Apoptosis
