Running with TEMP=0.5, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Telomerase Rna Stabilization -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Endolysosome, Structural Stabilization
GO Term: Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Endothelial Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Intermicrovillar Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism
GO Term: Calcium Ion Transmembrane Transport Via Low Voltage-Gated Calcium Channel -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Reversible Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Scc2-Scc4 Cohesin Loading Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Adaptive Immune Memory Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Adaptive Immune Memory Response Involving T Cells And B Cells -> Biodomain: Immune Response, Adaptive Immunity, Immunological Memory, Immune System Development, Lymphocyte Activation
GO Term: Primary Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Primary Adaptive Immune Response Involving T Cells And B Cells -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Proteostasis
GO Term: Receptor-Receptor Interaction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Central Region Of Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Las1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, DNA Repair
GO Term: Cofilin-Actin Rod -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tenascin Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Site Of Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Telomere Maintenance Via Telomere Trimming -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Glycolysis From Storage Polysaccharide Through Glucose-1-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Ceramide Binding -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Adipokinetic Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Adipokinetic Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Energy Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Phagocytic Vesicle Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ciliary Plasm -> Biodomain: Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: L27 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Endolysosome
GO Term: Renal Protein Absorption -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Renal Albumin Absorption -> Biodomain: Proteostasis, Vasculature, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Copii Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Lymphocyte Migration Into Lymphoid Organs -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Lymphocyte Migration Into Lymph Node -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Fructose 6-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mpp7-Dlg1-Lin7 Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Ubiquitin-Protein Transferase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mature Conventional Dendritic Cell Differentiation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Regulation Of Membrane Lipid Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Plasma Membrane Sterol Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Heme Export -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Perinuclear Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Oxidative Stress
GO Term: Phosphatidylserine Exposure On Blood Platelet -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, Synapse
GO Term: Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: L-Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis
GO Term: L-Kynurenine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: L-Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Pathways, Proteostasis, Oxidative Stress
GO Term: Agmatine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Traf2-Gstp1 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Crlf-Clcf1 Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Cntfr-Clcf1 Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dendritic Spine Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Anterior Head Development -> Biodomain: Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Response To Thyroid Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Response To Thyroxine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Thyroxine Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ductus Arteriosus Closure -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Plasma Membrane Selenite Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Vascular Associated Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Methyl-Branched Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Craniofacial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Supercoiled Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Blood Vessel Endothelial Cell Fate Specification -> Biodomain: Vasculature, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Endothelial Tip Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hedgehog Family Protein Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature, Structural Stabilization
GO Term: Neuroligin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Scaffold Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Gamma-Aminobutyric Acid Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nmda Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurexin Clustering Involved In Presynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Guanylate Kinase-Associated Protein Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Neuroligin Clustering Involved In Postsynaptic Membrane Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Neuronal Function, Cell Signaling
GO Term: Cyclin A1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Cyclin A2-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Cyclin A1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Cyclin A2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Cyclin B1-Cdk1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin D1-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Autophagy
GO Term: Cyclin D2-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Cyclin D3-Cdk4 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Cyclin D1-Cdk6 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Cyclin D2-Cdk6 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Cyclin D3-Cdk6 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Cyclin E1-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Cyclin E2-Cdk2 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Bcl-2 Family Protein Complex -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Bad-Bcl-2 Complex -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Bim-Bcl-Xl Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Bim-Bcl-2 Complex -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bax Complex -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Bak Complex -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Centralspindlin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Neuronal Stem Cell Population Maintenance -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Gabaergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fasciculation Of Sensory Neuron Axon -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Tau Homeostasis
GO Term: Fasciculation Of Motor Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Pre-Mrna Intronic Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Pre-Mrna Intronic Pyrimidine-Rich Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Polychlorinated Biphenyl Binding -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Endolysosome
GO Term: Dh Domain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Mads Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sulfur Carrier Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nuclear Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Circadian Regulation Of Translation -> Biodomain: Proteostasis, Autophagy, Circadian Regulation, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Oxidative Stress
GO Term: Aim2 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epoxide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Mitochondrial Ribosome Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Protease Inhibitor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine Protease Inhibitor Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Protein C Inhibitor-Coagulation Factor V Complex -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Protein C Inhibitor-Coagulation Factor Xa Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein C Inhibitor-Coagulation Factor Xi Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Response To Azide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Amelogenesis -> Biodomain: Structural Stabilization, Mineralization, Tissue Development, Extracellular Matrix Organization, Cell Differentiation
GO Term: Dentinogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Proteostasis
GO Term: Dentin Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Pilomotor Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Shu Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Tetraspanin-Enriched Microdomain -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Vasculature
GO Term: Renal Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Epidermal Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Response To Gonadotropin-Releasing Hormone -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Gonadotropin-Releasing Hormone -> Biodomain: Epigenetic, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Lysosomal Membrane Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Lysosomal Membrane Permeability -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Mitochondrial Mrna Polyadenylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sperm Midpiece -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Sperm Annulus -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sperm Principal Piece -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Sperm End Piece -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Alveolar Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Epidermal Lamellar Body Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Hematopoietic Stem Cell Migration To Bone Marrow -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Amyloid-Beta Clearance -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Flavonoid Binding -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Respirasome Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Renal Tubular Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: R2Tp Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Leukotriene B4 12-Hydroxy Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: 20-Hydroxy-Leukotriene B4 Omega Oxidase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: 20-Aldehyde-Leukotriene B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Omega-Hydroxylase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cytoophidium -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: All-Trans-Decaprenyl-Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Ammonium Homeostasis -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Histamine Secretion Mediated By Ige Immunoglobulin -> Biodomain: Immune Response, Inflammation, Cellular Response, Defense Response, Signal Release
GO Term: Immune Complex Formation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Renal Phosphate Ion Absorption -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 'De Novo' Xmp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Nucleus Size -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Alcohol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Plasma Membrane Tubulation -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: 7Sk Snrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: B Cell Adhesion -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Cell Cycle
GO Term: Melanocyte Migration -> Biodomain: Cell Migration, Development, Neuronal Activities, Cell Motility, Cell Differentiation
GO Term: Melanocyte Proliferation -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Melanocyte Adhesion -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Antineoplastic Agent -> Biodomain: Apoptosis, Oxidative Stress, DNA Repair, Proteostasis, Immune Response
GO Term: Response To Antipsychotic Drug -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Zymogen Inhibition -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Ripoptosome -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
