Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Corvet Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Choline Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Node Of Ranvier -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Internode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Paranode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Response To Vitamin -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Response To Vitamin B2 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Actin-Myosin Filament Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Mitochondrial Metabolism
GO Term: Transcription Factor Tftc Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Neurogenesis and Neuronal Cytoskeleton, Development, Neuronal Signaling, Synapse
GO Term: Response To Vitamin D -> Biodomain: Immune Response, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Eukaryotic 48S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Eukaryotic 80S Initiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: T-Tubule Organization -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Dehydroascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cell Cycle Comprising Mitosis Without Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Epigenetic
GO Term: Phytol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Meiotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Udp-D-Xylose Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Cerebrospinal Fluid Secretion -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Leydig Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Endolysosome
GO Term: Peroxisome Membrane Targeting Sequence Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: L-Asparagine Catabolic Process Via L-Aspartate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: S-Adenosylmethionine Cycle -> Biodomain: Mitochondrial Metabolism, Methylation, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Secretory Granule Organization -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Mast Cell Secretory Granule Organization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein Localization To Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Protein Localization To Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: T Cell Secretory Granule Organization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Maintenance Of Protease Location In Mast Cell Secretory Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Maintenance Of Granzyme B Location In T Cell Secretory Granule -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Geranyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Geranyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Geranylgeranyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Putrescine Biosynthetic Process From Arginine, Via Ornithine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Putrescine Biosynthetic Process From Arginine, Via Agmatine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Chromatoid Body -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Beta-Alanine Biosynthetic Process Via 3-Ureidopropionate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: S-Methylmethionine Metabolic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Intracellular Nitric Oxide Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Vasculature
GO Term: Cholesterol Biosynthetic Process Via 24,25-Dihydrolanosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cholesterol Biosynthetic Process Via Desmosterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Cholesterol Biosynthetic Process Via Lathosterol -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Structural Stabilization
GO Term: Galactose Catabolic Process Via Udp-Galactose, Leloir Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carbohydrate Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Hulc Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Floor Plate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Floor Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Synapse
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via Saccharopine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via L-Pipecolate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Oxidase -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Map Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Map Kinase Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Response To Vitamin B3 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Rdna Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cellular Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Multicellular Organismal Response To Stress -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Slx1-Slx4 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Protein Lysine Deacetylase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Folate Reductase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Dorsal/Ventral Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Anterior/Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Escrt-0 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Gamma-Tubulin Complex Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Dna Replication, Okazaki Fragment Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Transferrin Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Testosterone -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Vasculature, Synapse
GO Term: Elongator Holoenzyme Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Response To Cobalamin -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Structural Stabilization, Immune Response, Autophagy, Apoptosis
GO Term: Rna Strand Annealing Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Immune Response, Structural Stabilization
GO Term: Brca2-Mage-D1 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Response To Hydroxyisoflavone -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy
GO Term: Response To Genistein -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Tsc1-Tsc2 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Mitotic Checkpoint Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Signal Transduction, Neurotransmitter Regulation, Stress Response, Endocrine System
GO Term: Positive Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Oxidative Stress, Vasculature, Autophagy, Immune Response
GO Term: Oxalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Receptor Serine/Threonine Kinase Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Cytochrome C Oxidase Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Membrane Protein Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Integrin Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Integrin Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Integrin Activation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Integrin Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Integrin Activation By Cell Surface Receptor Linked Signal Transduction -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Dna/Rna Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: 5'-3' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, DNA Replication, Transcription, Epigenetic, Cell Cycle
GO Term: 3'-5' Dna/Rna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Luteinizing Hormone Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Endolysosome, Immune Response
GO Term: Positive Regulation Of Luteinizing Hormone Secretion -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Vasculature, Structural Stabilization
GO Term: Sialic Acid Binding -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Neurofilament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Autophagy
GO Term: Heterochromatin Boundary Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Dna 5'-Adenosine Monophosphate Hydrolase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Autophagy, Structural Stabilization
GO Term: 3-Beta-Hydroxy-5-Beta-Steroid Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Aldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Aspartate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Peptide-Methionine (R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Methionine:Thioredoxin-Disulfide S-Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: L-Methionine-(R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histone H3R2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Autophagy
GO Term: Histone H4R3 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Indoleamine 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Response To Glucagon -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Steroid Dehydrogenase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cholesterol 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: 24S-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 25-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Cyanocobalamin Reductase (Cyanide-Eliminating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoyl-Coa 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Thyroxine 5-Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Propanoyl-Coa C-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Lipoyl(Octanoyl) Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen Glucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism
GO Term: O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: N-Acetyl-Beta-Glucosaminyl-Derivative 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Immune Response
GO Term: 5-Diphosphoinositol Pentakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Cell Cycle, Immune Response
GO Term: N-Acetylgalactosamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: Ump Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Fas-Activated Serine/Threonine Kinase Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Choloyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Pyridoxal Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 10-Hydroxy-9-(Phosphonooxy)Octadecanoate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: N-Sulfoglucosamine-3-Sulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Deoxyribonuclease (Pyrimidine Dimer) Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Autophagy
GO Term: Ribonuclease T2 Activity -> Biodomain: Endolysosome, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Hyaluronoglucuronidase Activity -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: Glucan 1,3-Alpha-Glucosidase Activity -> Biodomain: Glycosylation, Glycogen Metabolism, Protein Deglycosylation, ERAD Pathway, Protein Folding
GO Term: Mannosyl-Glycoprotein Endo-Beta-N-Acetylglucosaminidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Cis-Stilbene-Oxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: P-Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Cell Cycle
GO Term: Cholesterol-5,6-Oxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Box H/Aca Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: D-Dopachrome Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fad-Amp Lyase (Cyclizing) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Silicon Dioxide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Deoxyhypusine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanine Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Atpase-Coupled Lipid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Abc-Type Sterol Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Poly(G) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Symbiont-Induced Defense-Related Programmed Cell Death -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Estrogen Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, APP Metabolism
GO Term: Rna Strand-Exchange Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: 5'-3' Rna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Ric1-Rgp1 Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Localization To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Autophagy
